Review text,teks_bersih
"truntukkkk Shoppe yg terhormat tolonggg di perbikinnn lagi apk nyyy ,masa dimna2 nongol truss iklanyaaa,pdhalll di situ gaada iklan shopee TPI tiba2 lngsung msuk,,,ke Shoppe nyy ,,,saya lagi lagi nontonn filmm ,Bru juga opening tiba2 lngsung pindh ke Shoppe dengan sendirinya PDAhal saya g sentuh apapun,,dan di lyarrny jugaa gaada iklann shoppeee,,,,,, ngenganggu bgttt apalgii klau lgii ngrjainn tugass tiba2 dengan sendirinya pindh ke shoppee!!!!!",truntukkkk Shoppe terhormat tolonggg perbikinnn lagi nyyy masa dimna2 nongol truss iklanyaaapdhalll situ gaada iklan shopee tiba2 lngsung msukke Shoppe saya lagi lagi nontonn filmm juga opening tiba2 lngsung pindh Shoppe dengan sendirinya PDAhal saya sentuh apapundan lyarrny jugaa gaada iklann shoppeee ngenganggu bgttt apalgii klau lgii ngrjainn tugass tiba2 dengan sendirinya pindh shoppee
Cepat transfernya dan terpercaya,Cepat transfernya terpercaya
"very easy, thnx a lot shopee",very easy thnx shopee
cukup keren tapi limit harus bisa kecil dan lebih banyak,cukup keren tapi limit harus bisa kecil lebih banyak
membantu pisan kangge transaksi 😂🤭,membantu pisan kangge transaksi
puas blanja di shoppe,puas blanja shoppe
mantap appnya,mantap appnya
"harus banget pake parenting ya pake nya? ID Aja terus yang mau lu ambil, mau bayar, ID, Mau transfer? ID lagi, alah jembot",harus banget pake parenting pake terus yang ambil bayar transfer lagi alah jembot
bagus sekali,bagus sekali
bagus memudahkn,bagus memudahkn
"data tidak terferivikasi jawabnya umur 16 tahun. aneh mana ada 16 tahun boleh ada ktp, kan lucu",data tidak terferivikasi jawabnya umur tahun aneh mana tahun boleh lucu
good,good
sangat membantu serta memberikan kemudahan di saat belanja.,sangat membantu serta memberikan kemudahan saat belanja
apk dongo gapunya saldo mau pesan makan pembayaran tunai(cod) tidak tersedia aneh aneh bikin susah,dongo gapunya saldo pesan makan pembayaran tunaicod tidak tersedia aneh aneh bikin susah
bagus aman mudah dan cepat dalam segala transaksi hanya tolong banyak reseler yang ga jujur sering tidak sesuai pesanan,bagus aman mudah cepat dalam segala transaksi hanya tolong banyak reseler yang jujur sering tidak sesuai pesanan
ok,
"kalo bisa sih tambahin fitur keamanan verifikasi wajah saat login, mengantisipasi klo nomor mati dan di daur ulang",kalo bisa tambahin fitur keamanan verifikasi wajah saat login mengantisipasi nomor mati daur ulang
sangat membantu,sangat membantu
"kak kok saya tranfer dana saldo gak kirim tapi saldo akun shopeepay hilang ya kak gak kesana nya, tapi saldo gak kembali, notif transfer tanda berhasil gak ada? apakah shoopepay jadi penipu sekarang? gak ada notif, tanda pembayaran seperti biasanya,pemberitahuan gak ada berhasil/gagal gak ada, plis shopee kembali saldo saya mau 406k lebih itu nyari nya gak gampang ya, pihak shopee sekarang perbaiki bug ini ini merugikan semua orang kejadian pukul 16.58 perkiraan kejadian: tolong ya!!",saya tranfer dana saldo kirim tapi saldo akun shopeepay hilang kesana tapi saldo kembali notif transfer tanda berhasil apakah shoopepay jadi penipu sekarang notif tanda pembayaran seperti biasanyapemberitahuan berhasilgagal plis shopee kembali saldo saya 406k lebih nyari gampang pihak shopee sekarang perbaiki merugikan semua orang kejadian pukul 1658 perkiraan kejadian tolong
sangat bagus,sangat bagus
transaksi keuangan cepat pake shopeepay,transaksi keuangan cepat pake shopeepay
asyiknya,asyiknya
"sangat bagus , mudah ketika melakukan pembayaran",sangat bagus mudah ketika melakukan pembayaran
ga bisa pembayar lewat qris beli pulsa juga ga bisa ini gimna si pihak shopepay jadi ga nyaman untuk transaksi lainya,bisa pembayar lewat qris beli pulsa juga bisa gimna pihak shopepay jadi nyaman untuk transaksi lainya
top bgt,
Bagus,Bagus
terimakasih,terimakasih
cukup puas dengan shopee pay karena memudahkan transaksi,cukup puas dengan shopee karena memudahkan transaksi
bagusss,bagusss
cukup membantu dalam transaksi,cukup membantu dalam transaksi
"pelayanan buruk, tidak mampu menyelesaikan masalah customer dengan cepat...uang sya blm di kembalikan dri pihak shopee",pelayanan buruk tidak mampu menyelesaikan masalah customer dengan cepatuang kembalikan pihak shopee
"oke lah, membantu",membantu
PENIPU!. Saya klaim reward Shopee VIP Roti'o 1 Rupiah mesti suruh Instal shopeepay. Udah download ternyata cuma reward 100 rupiah. Seharusnya S&K nya dibilang di awal. P E N I PU,PENIPU Saya klaim reward Shopee Rotio Rupiah mesti suruh Instal shopeepay Udah download ternyata cuma reward rupiah Seharusnya dibilang awal
"penipu, tulis diskon 14% pas mau beli malah gk dapat diskonnya, org udh di tf lagi 22.400",penipu tulis diskon beli malah dapat diskonnya lagi 22400
ga bisa ganti KTP baru,bisa ganti baru
"Pengembalian dana sangat tidak adil, pengembalian barang juga sangat sulit tidak bisa di jemput kurir padahal toko banyak penipu. membuat saya rugi menerima aja keputusan tidak adil. aplikasi sangat mengecewakan.",Pengembalian dana sangat tidak adil pengembalian barang juga sangat sulit tidak bisa jemput kurir padahal toko banyak penipu membuat saya rugi menerima keputusan tidak adil aplikasi sangat mengecewakan
"praktis, mudah digunakan",praktis mudah digunakan
⭐⭐⭐⭐⭐ 👍👍👍👍👍,
aku kasih bintang lima biar komen aku di atas ini aplikasi sangat tidak bagus,kasih bintang lima biar komen atas aplikasi sangat tidak bagus
"suka berguna juga ya,programnya & internalnya lebih fleksibel dipakai,tidak beriklan,bug,ataupun lelet,cepat bila dijalankan & mengakses smu menu2nya. Tapi di sayangkan pernah juga dipakai terkadang agak"" sulit membukanya pas saat koneksi lagi buruk / tidak stabil,terkadang perputarannya lambat banget dan cuma berputar-putar saja. mungkin cuma hal yang biasa terjadi di apps ini dan yang lain-lainnya sesuai pengalaman transaksi sukses,,masukan tuk perkembangannya dibenahi segalanya...",suka berguna juga yaprogramnya internalnya lebih fleksibel dipakaitidak beriklanbugataupun leletcepat bila dijalankan mengakses menu2nya Tapi sayangkan pernah juga dipakai terkadang agak sulit membukanya saat koneksi lagi buruk tidak stabilterkadang perputarannya lambat banget cuma berputarputar saja mungkin cuma yang biasa terjadi apps yang lainlainnya sesuai pengalaman transaksi suksesmasukan perkembangannya dibenahi segalanya
mantap pake shopeepay,mantap pake shopeepay
setiap minggu minta update apk.bikin lemot dan kenapa pinjaman saya selalu ditolak.,setiap minggu minta update apkbikin lemot kenapa pinjaman saya selalu ditolak
Oke,
bagus ..semua pembayaran bisa pakai spay...mudah dan cepat,bagus semua pembayaran bisa pakai spaymudah cepat
sangat mudah dn cepat,sangat mudah cepat
Depresi,Depresi
lebih pakai aplikasi ini,lebih pakai aplikasi
sangat baik,sangat baik
sangat membantu. makasih,sangat membantu makasih
Tidak bisa buat bayar quaris padahal udah update dan bersihkan data cache. Tidak ada perbaikan!!! selalu muncul kesalahan sistem😔😭,Tidak bisa buat bayar quaris padahal udah update bersihkan data cache Tidak perbaikan selalu muncul kesalahan sistem
aplikasi busuk gk bs terpakai saldo saya nyangkut di aplikasi gk bs di tarik gk bs buat belanja. Bgmn tuh min?,aplikasi busuk terpakai saldo saya nyangkut aplikasi tarik buat belanja Bgmn
bagus banget pula,bagus banget pula
baik,baik
good job,good
saya mendapatkan voucher gratis cicilan 1x pembayaran tapi tetap saja harus membayarnya. kecewa.,saya mendapatkan voucher gratis cicilan pembayaran tapi tetap saja harus membayarnya kecewa
"pengen ganti nomor ribetnya minta ampun, minta kode OTP selalu ada kesalahan.👎",pengen ganti nomor ribetnya minta ampun minta kode selalu kesalahan
"kak acc aku ,aku mau kredit tapi selalu ditolak,acc plis bingung kalo hrs ditolak trs🥺🥺",kredit tapi selalu ditolakacc plis bingung kalo ditolak
oklah,oklah
cukup membantu,cukup membantu
aku suka apk ini,suka
agak lemot,agak lemot
TOP BGT,
mudah di gunakan dan proseny cepat,mudah gunakan proseny cepat
"kurang nyaman, susah buat ganti ganti akun",kurang nyaman susah buat ganti ganti akun
Aplikasinya sangat bagus,Aplikasinya sangat bagus
serba bisaa,serba bisaa
jos bagus dan membantu,bagus membantu
sangat membantu ok mantap,sangat membantu mantap
"boleh di coba, kalau tidak terbukti silahkan uninstall kalau saya sejauh ini masih sangat puas belum ada aplikasi pesaing yang bisa gantikan shoopee dan fiturnya di hati dan kehidupan sehari-hari saya. kalau kamu saya gak tau coba cek ke diri kamu sendiri aja jangan ikutan orang nyamannya kamu dimna. kalau aku disini",boleh coba kalau tidak terbukti silahkan uninstall kalau saya sejauh masih sangat puas belum aplikasi pesaing yang bisa gantikan shoopee fiturnya hati kehidupan seharihari saya kalau kamu saya coba diri kamu sendiri jangan ikutan orang nyamannya kamu dimna kalau disini
aplikasi yg sangat berguna,aplikasi sangat berguna
top sekali,sekali
kereeeeen,kereeeeen
Mantul,Mantul
love sakebon,love sakebon
luar biasa,luar biasa
bagus ..,bagus
shopee kasi aku playleter,shopee kasi playleter
love you,love
nice,nice
Sangat membantu,Sangat membantu
reguler pra bayar pun TELAT BRUTAL,reguler bayar TELAT BRUTAL
sangat membantu sekali...mantap,sangat membantu sekalimantap
semua jadi lebih mudah dengan Shoppe pay,semua jadi lebih mudah dengan Shoppe
"Suka berguna praktis, program & internalnya lebih fleksibel dipakai,bebas iklan,bug,ataupun lelet,cepat bila dijalankan & mengakses smua menu2nya.Tapi di sayangkan pernah juga dipake terkadang agak"" sulit membukanya pas saat koneksi lagi buruk / tidak stabil,terkadang perputarannya lambat banget dan cuma berputar-putar saja. mungkin cuma hal yang biasa terjadi di apps ini & yg lain-lainnya sesuai pengalaman transaksi sukses,,masukan tuk perkembangannya dibenahi lebih bersinergi semuan.",Suka berguna praktis program internalnya lebih fleksibel dipakaibebas iklanbugataupun leletcepat bila dijalankan mengakses smua menu2nyaTapi sayangkan pernah juga dipake terkadang agak sulit membukanya saat koneksi lagi buruk tidak stabilterkadang perputarannya lambat banget cuma berputarputar saja mungkin cuma yang biasa terjadi apps lainlainnya sesuai pengalaman transaksi suksesmasukan perkembangannya dibenahi lebih bersinergi semuan
Nggak bisa buat bayar quaris padahal udah update dan hapus data cache. Kesalahan sistem terus👎👎👎,Nggak bisa buat bayar quaris padahal udah update hapus data cache Kesalahan sistem terus
ganggu banget ih lagi main game serius seriusnya malah muncul iklan ini mulu mana langsung masuk ke aplikasi nyaaa 😭,ganggu banget lagi main game serius seriusnya malah muncul iklan mulu mana langsung masuk aplikasi nyaaa
Aplikasi Paling Best Pokoknya😇😇😇,Aplikasi Paling Best Pokoknya
"Minta update, m-mulu HBSin kuota.. otw hapus atuh•!🙏🥺",Minta update mmulu HBSin kuota hapus atuh
"Pokoknya bagus juga harga,terjangkau.programnya & internalnya lebih bekerja dgn baik,bebas iklan,bug,ataupun lelet,cepatlah ketika dijalankan & mengakses smua menu2nya.Tapi di sayangkan sering ketika dipakai terkadang agak"" sulit membukanya pas saat koneksi lagi buruk / tidak stabil, terkadang loadingnya lambat banget dan cuma berputar-putar saja. mungkin cuma hal yang biasa terjadi di apps ini dan yang lain-lainnya sesuai pengalaman transaksi mantap,masukan tuk bagusnya dibenahi segalanya👍.",Pokoknya bagus juga hargaterjangkauprogramnya internalnya lebih bekerja baikbebas iklanbugataupun leletcepatlah ketika dijalankan mengakses smua menu2nyaTapi sayangkan sering ketika dipakai terkadang agak sulit membukanya saat koneksi lagi buruk tidak stabil terkadang loadingnya lambat banget cuma berputarputar saja mungkin cuma yang biasa terjadi apps yang lainlainnya sesuai pengalaman transaksi mantapmasukan bagusnya dibenahi segalanya
pas dengan keadaan,dengan keadaan
good apk,good
gud,
tolong hapus seluruh data saya yh terdaftar di Shopeepay ini.. saya gk jadi ajukan pinjaman..alasannya baru instal apk ini.. baru daftar langsung di tolak ..dgn alasan tidak dapat memberikan pinjaman. padahal saya blm mengajukan pinjaman . yaa sudah saya hapus lagi aja apk ini untuk apalagi percumah...,tolong hapus seluruh data saya terdaftar Shopeepay saya jadi ajukan pinjamanalasannya baru instal baru daftar langsung tolak alasan tidak dapat memberikan pinjaman padahal saya mengajukan pinjaman sudah saya hapus lagi untuk apalagi percumah
"apk nya simple dan bagus buat transaksi,terima kasih",simple bagus buat transaksiterima kasih
wihh keren,wihh keren
belanja paling enak dsini 😊,belanja paling enak dsini
Terima kasih,Terima kasih
okey sih,okey
saran buat shopeepay saat kirim sesama shopee pay kalau bisa di tampilkan nama dan no penerima kan tujuan.nya buat bukti,saran buat shopeepay saat kirim sesama shopee kalau bisa tampilkan nama penerima tujuannya buat bukti
sangat menarik dan mempermudah untuk pembayaran,sangat menarik mempermudah untuk pembayaran
good loh,good
ada diamond geratis,diamond geratis
sangat memudahkan untuk bertransaksi,sangat memudahkan untuk bertransaksi
Sangat membantu utk segala proses pembayaran transaksi keuangan sy khususnya utk media pembayaran..,Sangat membantu segala proses pembayaran transaksi keuangan khususnya media pembayaran
apk mantapp lancar Jaya.. kpn Shopee pinjam lolos min?? saya sdh rajin belanja.. saya perlu spinjam untuk usaha warung agar berkembang ke dpn.. semoga di dengarkan keluh kesah saya,mantapp lancar Jaya Shopee pinjam lolos saya rajin belanja saya perlu spinjam untuk usaha warung agar berkembang semoga dengarkan keluh kesah saya
mantap mudah 🥰,mantap mudah
sangat canggih,sangat canggih
bagus praktis,bagus praktis
membuat jadi lebih mudah dan praktis,membuat jadi lebih mudah praktis
Terima kasih... dengan Shopee saya bisa menambah wawasan baru dalam transaksi digital,Terima kasih dengan Shopee saya bisa menambah wawasan baru dalam transaksi digital
good nice,good nice
Saya topup gopay dari tgl 25 sampai sekarang dananya gk masuk.... Mana kalian bilang dana akan masuk di tgl 29?? saya bener2 butuh itu dana tapi kalian pending dana saya!!!!!!!.... JANGAN PERNAH TOPUP ATAU APAPUN DR APK INI NANTI DI PENDING... YANG SUSAH KITA SEBAGAI KONSUMEN. DARI KEMARIN CS BLG PENGECEKAN SELAMA ITU KAH? KALIAN MINTA BUKTI SS TRANSAKSI DR GOPAY.. SAYA KIRIM DAN BUKTI MEMANG SALDO GK MASUK SAMPAI KEMARIN,Saya topup gopay dari sampai sekarang dananya masuk Mana kalian bilang dana akan masuk saya bener2 butuh dana tapi kalian pending dana saya JANGAN PERNAH TOPUP ATAU APAPUN NANTI PENDING YANG SUSAH KITA SEBAGAI KONSUMEN DARI KEMARIN PENGECEKAN SELAMA KALIAN MINTA BUKTI TRANSAKSI GOPAY SAYA KIRIM BUKTI MEMANG SALDO MASUK SAMPAI KEMARIN
mantappp,mantappp
gaga banget,gaga banget
gak ada kejelasan topup saldo di pending 1 hari,kejelasan topup saldo pending hari
"saya berusaha untuk menggunakan dan sampai saat ini saya tidak bisa, apakah dapat di gunakan atau belum saldo Splateer 300 itu🤦🤦",saya berusaha untuk menggunakan sampai saat saya tidak bisa apakah dapat gunakan atau belum saldo Splateer
simple,simple
sangat membantu tuk urusan uang digital,sangat membantu urusan uang digital
suka,suka
aplikasihnya okee mudah di gunakan mantep dahh👍👍,aplikasihnya okee mudah gunakan mantep dahh
"bagus, banyakin promonya ya!",bagus banyakin promonya
"Bagus dan oke juga harga,terjangkau.programnya & internalnya lebih bekerja dgn baik,bebas iklan,bug,ataupun lelet,cepatlah ketika dijalankan & mengakses smua menu2nya. Tapi di sayangkan sering ketika dipakai terkadang agak"" sulit membukanya pas saat koneksi lagi buruk / tidak stabil, terkadang loadingnya lambat banget dan cuma berputar-putar saja. mungkin cuma hal yang biasa terjadi di apps ini dan yang lain-lainnya sesuai pengalaman transaksi sukses,masukan tuk bagusnya dibenahi segalanya🎉",Bagus juga hargaterjangkauprogramnya internalnya lebih bekerja baikbebas iklanbugataupun leletcepatlah ketika dijalankan mengakses smua menu2nya Tapi sayangkan sering ketika dipakai terkadang agak sulit membukanya saat koneksi lagi buruk tidak stabil terkadang loadingnya lambat banget cuma berputarputar saja mungkin cuma yang biasa terjadi apps yang lainlainnya sesuai pengalaman transaksi suksesmasukan bagusnya dibenahi segalanya
bagus dan Bermanfaat,bagus Bermanfaat
aplikasi nya keren,aplikasi keren
aplikasi sangat bagus mantap 👍👍,aplikasi sangat bagus mantap
dompet belanja sehari2. sayang limit blm bisa nambah,dompet belanja sehari2 sayang limit bisa nambah
mudah dan efisien,mudah efisien
susuh isi saldo,susuh saldo
sangat membantu cuma kalo bisa ekspedisi spx pengirimannya tolong diperhatikan karena update terbaru kadang tidak ditampilkan,sangat membantu cuma kalo bisa ekspedisi pengirimannya tolong diperhatikan karena update terbaru kadang tidak ditampilkan
is the best,best
Good..👍👍👍👍👍,Good
sangat bantu transaksi,sangat bantu transaksi
harusss bintang lima sihhh ini soal nya aplikasi nya bagus dan terjangkau,harusss bintang lima sihhh soal aplikasi bagus terjangkau
gampang dan mudah dalam pembelian dengan shopeepay,gampang mudah dalam pembelian dengan shopeepay
"Apk suka kluar2 sndiri sblum mlakukan transaksi, perbaiki lah",suka kluar2 sndiri sblum mlakukan transaksi perbaiki
sayang,sayang
buruk sekali pelayanannya😡😡,buruk sekali pelayanannya
best bangey,best bangey
baguss,baguss
SANGAT MUDAH DAN MEMBANTU YG MEMBUTUHKANNYA,SANGAT MUDAH MEMBANTU MEMBUTUHKANNYA
top,
sangat membantu buat pembayaran online,sangat membantu buat pembayaran online
tentang bayar nanti itu jangka waktu pembayarannya 1 bulan atau harus dibayar di bulan yang sama?,tentang bayar nanti jangka waktu pembayarannya bulan atau harus dibayar bulan yang sama
sya cukup sangat merasa nyaman dngn apk shoopepay in. bgtu mmbntu,cukup sangat merasa nyaman dngn shoopepay bgtu mmbntu
the best,best
"keren, sangat baik",keren sangat baik
aplikasinya mantap dan tidak menyesal menggunakannya,aplikasinya mantap tidak menyesal menggunakannya
"Heran akun paylater di bekukan, padahal belanja selalu di shopee.. di tanya jawabannya muter2 aplikasi sampah",Heran akun paylater bekukan padahal belanja selalu shopee tanya jawabannya muter2 aplikasi sampah
belanja tepat cepat,belanja tepat cepat
Mantap,Mantap
rekomended,rekomended
mudah dan cepat,mudah cepat
aplikasi terbaik untuk android,aplikasi terbaik untuk android
"tempat bagus dan praktis juga harganya terjangkau,program & internalnya lebih bekerja dengan oke,bebas iklan,bug,ataupun lelet,enak ketika dijalankan & mengakses menu menunya.Tapi di sayangkan sering ketika dipakai terkadang agak"" sulit membukanya pas saat koneksi lagi buruk/tidak stabil,terkadang loading nya lambat banget dan cuma berputar putar saja. Mungkin cuma hal yang biasa terjadi di apps ini dan yang lainnya sesuai pengalaman transaksi sukses,masukan tuk bagusnya dibenahi segalanya🎉🎉",tempat bagus praktis juga harganya terjangkauprogram internalnya lebih bekerja dengan okebebas iklanbugataupun leletenak ketika dijalankan mengakses menu menunyaTapi sayangkan sering ketika dipakai terkadang agak sulit membukanya saat koneksi lagi buruktidak stabilterkadang loading lambat banget cuma berputar putar saja Mungkin cuma yang biasa terjadi apps yang lainnya sesuai pengalaman transaksi suksesmasukan bagusnya dibenahi segalanya
mudah,mudah
ShopeePay inspirasi ku,ShopeePay inspirasi
kerennn,kerennn
Suck,Suck
sangat membantu dalam transaksi,sangat membantu dalam transaksi
aplikasi ini sangat membantu,aplikasi sangat membantu
bagus dan membantu,bagus membantu
saya puas,saya puas
GOOD,GOOD
puas,puas
terbaik,terbaik
muter muter doang,muter muter doang
membantu,membantu
jelek terlalu ribet mau ganti no telepon malah disuruh masukan sandi sudah tau kita lupa sandi kan aneh udh no telepon kita mati gmna si ini shopee,jelek terlalu ribet ganti telepon malah disuruh masukan sandi sudah kita lupa sandi aneh telepon kita mati gmna shopee
mantap semuanya keren,mantap semuanya keren
baguss dan lebi cepat,baguss lebi cepat
semoga sukses selalu shopee. kerenn pokonya,semoga sukses selalu shopee kerenn pokonya
untuk aplikasi sangat bagus mudah digunakan gak ribet,untuk aplikasi sangat bagus mudah digunakan ribet
"IKLAN LU NGESELIN! ADA DIMANA MANA, GAK MINAT PENCET MALAH BUKA APLIAKSI SENDIRI!!!",IKLAN NGESELIN DIMANA MANA MINAT PENCET MALAH BUKA APLIAKSI SENDIRI
👍👍👍👍👌👌👌👌ok,
apknya sangat membantu,apknya sangat membantu
"ini kenapa sih mau beli paket, token listrik, bahkan bayar paylater malah gambar putih mulu. udah on/off data, hapus cache, hapus data, restart hp nggak ngaruh. aplikasinya tetep warna putih ga bisa login. ayolah benerin aplikasinya, ntar saya bisa2 kena jatuh tempo gara2 appnya busuk ga bisa bayar",kenapa beli paket token listrik bahkan bayar paylater malah gambar putih mulu udah onoff data hapus cache hapus data restart nggak ngaruh aplikasinya tetep warna putih bisa login ayolah benerin aplikasinya ntar saya bisa2 kena jatuh tempo gara2 appnya busuk bisa bayar
ok bgt,
OK,
apk paling bgs,paling
ngapa saya tidak bisa install,ngapa saya tidak bisa install
"aplikasinya berat banget buat sebagai seller yang nge-upload produk. setiap kali beralih halaman atau klik sesuatu, lama proses loadingnya minta ampun. mohon segera dibenahi ya, tim developer shopee. thanks.",aplikasinya berat banget buat sebagai seller yang ngeupload produk setiap kali beralih halaman atau klik sesuatu lama proses loadingnya minta ampun mohon segera dibenahi developer shopee thanks
mantab lebih di tingkatkan lagi.,mantab lebih tingkatkan lagi
saya mau upgrade shopee pay plus sulit,saya upgrade shopee plus sulit
bagus semua transaksi ada,bagus semua transaksi
saya sangat suka dengan ini,saya sangat suka dengan
cakep bgt,cakep
good👍,good
simpel dan membantu,simpel membantu
mantab bonus nya,mantab bonus
👍👍👍,
sangat membantu harga yang ditawarkan sangat murah dan kwalitas,sangat membantu harga yang ditawarkan sangat murah kwalitas
"isi saldo 400.000 pertahankan saldo 100.000 dapat koin 20.000,ternyata ohh..ternyata",saldo 400000 pertahankan saldo 100000 dapat koin 20000ternyata ohhternyata
tidak bisa minjam,tidak bisa minjam
semuanya baik,semuanya baik
mantap.,mantap
"saya bener"" kecewa sama shopee pay ,, transfer via e-wallet proses nya lama banget pengembalian dana nya kacau ,, jangan harap dowload guys",saya bener kecewa sama shopee transfer ewallet proses lama banget pengembalian dana kacau jangan harap dowload guys
"bagus dan praktis, harganya juga murah, bebas biaya admin juga. program-program internalnya oke, mantappp",bagus praktis harganya juga murah bebas biaya admin juga programprogram internalnya mantappp
great,great
"males, nomor mati malah di suruh verif ke sms",males nomor mati malah suruh verif
sangat membantu untuk menabung ( menyimpan uang ),sangat membantu untuk menabung menyimpan uang
"saya beli pulsa disini. kalau pulsa 25 ribu, di shopee 25.999 tapi disini, dpt potongan byarnya cuma 20 ribu. best banget",saya beli pulsa disini kalau pulsa ribu shopee 25999 tapi disini potongan byarnya cuma ribu best banget
mantapp,mantapp
keren,keren
sangat mantap membantu banget buat transaksi,sangat mantap membantu banget buat transaksi
belanja jadi lebih mudah,belanja jadi lebih mudah
bgus,bgus
"cuma belanja aja👌, untuk game di shopee penuh setingan.. ga sengaja masuk game candi entah ke pencet apa point ilang 9,999 padahal ngasih koin nya pelit bgt.. 🤣🤣",cuma belanja untuk game shopee penuh setingan sengaja masuk game candi entah pencet point ilang 9999 padahal ngasih koin pelit
overall bagus sih tapi agak lemot banget pas bagian mau scan nya 😔 padahal awal awal mah engga....,overall bagus tapi agak lemot banget bagian scan padahal awal awal engga
bagus aplikasi dan hemat tanpa biaya admin,bagus aplikasi hemat tanpa biaya admin
memudahkan dan memberi manfaat,memudahkan memberi manfaat
luarbisa saya suka sihpey,luarbisa saya suka sihpey
"aplikasi keren,banyak promonyaaa, sukaaa",aplikasi kerenbanyak promonyaaa sukaaa
memudahkan transaksi digital,memudahkan transaksi digital
lebih praktis buat belanja,lebih praktis buat belanja
🫰👍,
sangat mmbantu,sangat mmbantu
Karena susah ingat yang PIN,Karena susah ingat yang
kami pengusaha yang yang siap mandiri dan merubah yg tidak baik,kami pengusaha yang yang siap mandiri merubah tidak baik
"lebi bagus dan praktis juga harganya terjangkau,program & internalnya sdh bekerja dengan oke,bebas iklan,bug,ataupun lelet,enak ketika dijalankan & mengakses menu menunya. Tapi di sayangkan pernah ketika dipakai terkadang agak"" sulit membukanya pas saat koneksi lagi buruk/tidak stabil,terkadang loading nya lambat banget dan cuma berputar putar saja. Mungkin cuma hal yang biasa terjadi di apps ini dan yang lainnya sesuai pengalaman transaksi sukses,masukan tuk bagusnya dibenahi segalanya.",lebi bagus praktis juga harganya terjangkauprogram internalnya bekerja dengan okebebas iklanbugataupun leletenak ketika dijalankan mengakses menu menunya Tapi sayangkan pernah ketika dipakai terkadang agak sulit membukanya saat koneksi lagi buruktidak stabilterkadang loading lambat banget cuma berputar putar saja Mungkin cuma yang biasa terjadi apps yang lainnya sesuai pengalaman transaksi suksesmasukan bagusnya dibenahi segalanya
"mantap,jaya terus",mantapjaya terus
pengalaman saya belanja di shopee sangat puas....harganyanya murah dan produknya juga bagus,pengalaman saya belanja shopee sangat puasharganyanya murah produknya juga bagus
bagus saya suka,bagus saya suka
iklan shope ama spaylater ganggu aku udah make dns biar gak muncul kalo lagi baca komik malah ttp maksa ada mulu ya kurang ngajar,iklan shope spaylater ganggu udah make biar muncul kalo lagi baca komik malah maksa mulu kurang ngajar
"kirim uang dan ambil uang jadi mudah, mau jajan di mana aja gampang, semoga semakin baik lagi dan sukses",kirim uang ambil uang jadi mudah jajan mana gampang semoga semakin baik lagi sukses
sangat bagusss,sangat bagusss
nerima gercep giliran kirim uang lemot duitku nyangkut dimana woy,nerima gercep giliran kirim uang lemot duitku nyangkut dimana
keren sangat membantu sekali terimakasih shopee,keren sangat membantu sekali terimakasih shopee
mudah digunakan dan praktis,mudah digunakan praktis
cukup baik dapat membantu untuk memudahkan pada metode pembayaran nya tanpa harus membuka aplikasi shopee nya,cukup baik dapat membantu untuk memudahkan pada metode pembayaran tanpa harus membuka aplikasi shopee
transaksi lebih mudah .. banyak promo juga yg bikin mama² happy,transaksi lebih mudah banyak promo juga bikin mama² happy
Sangat bagus,Sangat bagus
aplikasi bagus...,aplikasi bagus
"kode otp ga pernah terkirim , dari tadi mau nyambungin akun susah banget",kode pernah terkirim dari tadi nyambungin akun susah banget
sangat memuaskan semuanya jadi lebih mudah ⭐⭐⭐⭐⭐,sangat memuaskan semuanya jadi lebih mudah
