full_text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data,label
@susno2g @Kemenperin_RI @kementan @KementerianESDM @pertamina @BobibosBBN @Danantara_ri @detikcom @KompasTV @tempodotco BBM nabati itu etanol. Bukan penemuan baru. Tumbuhan yang di fermentasi lalu di suling itu penemuan lama.,susnog kemenperinri kementan kementerianesdm pertamina bobibosbbn danantarari detikcom kompastv tempodotco nabati etanol bukan penemuan baru tumbuhan yang fermentasi lalu suling penemuan lama,susnog kemenperinri kementan kementerianesdm pertamina bobibosbbn danantarari detikcom kompastv tempodotco nabati etanol bukan penemuan baru tumbuhan yang fermentasi lalu suling penemuan lama,"['susnog', 'kemenperinri', 'kementan', 'kementerianesdm', 'pertamina', 'bobibosbbn', 'danantarari', 'detikcom', 'kompastv', 'tempodotco', 'nabati', 'etanol', 'bukan', 'penemuan', 'baru', 'tumbuhan', 'yang', 'fermentasi', 'lalu', 'suling', 'penemuan', 'lama']","['susnog', 'kemenperinri', 'kementan', 'kementerianesdm', 'pertamina', 'bobibosbbn', 'danantarari', 'detikcom', 'kompastv', 'tempodotco', 'nabati', 'etanol', 'penemuan', 'tumbuhan', 'fermentasi', 'suling', 'penemuan']",susnog kemenperinri tan kementerianesdm pertamina bobibosbbn danantarari detikcom kompastv tempodotco nabati etanol temu tumbuh fermentasi suling temu,
Pertamina menilai etanol 70 persen lebih murah dari bensin dan membuka peluang ekonomi baru serta energi ramah lingkungan https://t.co/zjBjw0yi72,pertamina menilai etanol persen lebih murah dari bensin membuka peluang ekonomi baru serta energi ramah lingkungan tcozjbjwyi,pertamina menilai etanol persen lebih murah dari bensin membuka peluang ekonomi baru serta energi ramah lingkungan tcozjbjwyi,"['pertamina', 'menilai', 'etanol', 'persen', 'lebih', 'murah', 'dari', 'bensin', 'membuka', 'peluang', 'ekonomi', 'baru', 'serta', 'energi', 'ramah', 'lingkungan', 'tcozjbjwyi']","['pertamina', 'menilai', 'etanol', 'persen', 'murah', 'bensin', 'membuka', 'peluang', 'ekonomi', 'energi', 'ramah', 'lingkungan', 'tcozjbjwyi']",pertamina nilai etanol persen murah bensin buka peluang ekonomi energi ramah lingkung tcozjbjwyi,neutral
Pertamina Bidik Peluang dari Etanol: 70 Persen Lebih Murah dari Bensin https://t.co/oVZRPRbh19,pertamina bidik peluang dari etanol persen lebih murah dari bensin tcoovzrprbh,pertamina bidik peluang dari etanol persen lebih murah dari bensin tcoovzrprbh,"['pertamina', 'bidik', 'peluang', 'dari', 'etanol', 'persen', 'lebih', 'murah', 'dari', 'bensin', 'tcoovzrprbh']","['pertamina', 'bidik', 'peluang', 'etanol', 'persen', 'murah', 'bensin', 'tcoovzrprbh']",pertamina bidik peluang etanol persen murah bensin tcoovzrprbh,
@innovacommunity oo ic yang mereka ga mau itu bbm etanol yg udah dicampur pertamina,innovacommunity yang mereka etanol udah dicampur pertamina,innovacommunity yang mereka etanol sudah dicampur pertamina,"['innovacommunity', 'yang', 'mereka', 'etanol', 'sudah', 'dicampur', 'pertamina']","['innovacommunity', 'etanol', 'dicampur', 'pertamina']",innovacommunity etanol campur pertamina,
@tanyakanrl 1st cleanser : minyak telon fw : bimoli 12 liter exfo : pertalite ( pertamina ) toner : etanol serum / ampul : kampas oli moist : minyak rem ss : zambuk oil vera semoga bermanfaat,tanyakanrl cleanser minyak telon bimoli liter exfo pertalite pertamina toner etanol serum ampul kampas moist minyak zambuk vera semoga bermanfaat,tanyakanrl cleanser minyak telon bimoli liter exfo pertalite pertamina toner etanol serum ampul kampas moist minyak zambuk vera semoga bermanfaat,"['tanyakanrl', 'cleanser', 'minyak', 'telon', 'bimoli', 'liter', 'exfo', 'pertalite', 'pertamina', 'toner', 'etanol', 'serum', 'ampul', 'kampas', 'moist', 'minyak', 'zambuk', 'vera', 'semoga', 'bermanfaat']","['tanyakanrl', 'cleanser', 'minyak', 'telon', 'bimoli', 'liter', 'exfo', 'pertalite', 'pertamina', 'toner', 'etanol', 'serum', 'ampul', 'kampas', 'moist', 'minyak', 'zambuk', 'vera', 'semoga', 'bermanfaat']",tanyakanrl cleanser minyak ton bimoli liter exfo pertalite pertamina toner etanol serum ampul kampas moist minyak zambuk vera moga manfaat,neutral
@halliintar gua. etanol pertamina RON 98 mudah ngegaet kamu.,halliintar etanol pertamina mudah ngegaet kamu,halliintar etanol pertamina mudah ngegaet kamu,"['halliintar', 'etanol', 'pertamina', 'mudah', 'ngegaet', 'kamu']","['halliintar', 'etanol', 'pertamina', 'mudah', 'ngegaet']",halliintar etanol pertamina mudah ngegaet,
ga ada apa-apanya sih sama feromon gua etanol pertamina RON 98. yeah.,apaapanya sama feromon etanol pertamina yeah,apaapanya sama feromon etanol pertamina yeah,"['apaapanya', 'sama', 'feromon', 'etanol', 'pertamina', 'yeah']","['apaapanya', 'feromon', 'etanol', 'pertamina', 'yeah']",apaapanya feromon etanol pertamina yeah,positive
@susno2g @pertamina @Kemenperin_RI @KementerianESDM @Danantara_ri @KompasTV @tribunnews @tvOneNews yg jd masalah itu etanol/alkohol pak.. byk kendaraan tidak cocok u/ etanol.. etanol itu bahan dasarnya air.. air itu menyebabkan karat (apalg kadarnya tdk mendekati 100%) karet alami tdk tahan dg etanol tkg reparasi elektronik paham etanol meninggalkan bercak putih dll..,susnog pertamina kemenperinri kementerianesdm danantarari kompastv tribunnews tvonenews masalah etanolalkohol kendaraan tidak cocok etanol etanol bahan dasarnya menyebabkan karat apalg kadarnya mendekati karet alami tahan etanol reparasi elektronik paham etanol meninggalkan bercak putih,susnog pertamina kemenperinri kementerianesdm danantarari kompastv tribunnews tvonenews masalah etanolalkohol kendaraan tidak cocok etanol etanol bahan dasarnya menyebabkan karat apalagi kadarnya mendekati karet alami tahan etanol reparasi elektronik paham etanol meninggalkan bercak putih,"['susnog', 'pertamina', 'kemenperinri', 'kementerianesdm', 'danantarari', 'kompastv', 'tribunnews', 'tvonenews', 'masalah', 'etanolalkohol', 'kendaraan', 'tidak', 'cocok', 'etanol', 'etanol', 'bahan', 'dasarnya', 'menyebabkan', 'karat', 'apalagi', 'kadarnya', 'mendekati', 'karet', 'alami', 'tahan', 'etanol', 'reparasi', 'elektronik', 'paham', 'etanol', 'meninggalkan', 'bercak', 'putih']","['susnog', 'pertamina', 'kemenperinri', 'kementerianesdm', 'danantarari', 'kompastv', 'tribunnews', 'tvonenews', 'etanolalkohol', 'kendaraan', 'cocok', 'etanol', 'etanol', 'bahan', 'dasarnya', 'menyebabkan', 'karat', 'kadarnya', 'mendekati', 'karet', 'alami', 'tahan', 'etanol', 'reparasi', 'elektronik', 'paham', 'etanol', 'meninggalkan', 'bercak', 'putih']",susnog pertamina kemenperinri kementerianesdm danantarari kompastv tribunnews tvonenews etanolalkohol kendara cocok etanol etanol bahan dasar sebab karat kadar dekat karet alami tahan etanol reparasi elektronik paham etanol tinggal bercak putih,negative
@susno2g @pertamina @KementerianESDM @Danantara_ri @Kemenperin_RI @kementan @tvOneNews @KompasTV &amp; rawan pengoplosan dg air.. bikin mubil/montror brebet.. bengsin campur etanol aja mrk udah berani ngoplos dg air pak.. spt pidiyo cak ji jatim.. https://t.co/UNDMhNmYNt,susnog pertamina kementerianesdm danantarari kemenperinri kementan tvonenews kompastv rawan pengoplosan bikin mubilmontror brebet bengsin campur etanol udah berani ngoplos pidiyo jatim tcoundmhnmynt,susnog pertamina kementerianesdm danantarari kemenperinri kementan tvonenews kompastv rawan pengoplosan bikin mubilmontror brebet bengsin campur etanol sudah berani ngoplos pidiyo jatim tcoundmhnmynt,"['susnog', 'pertamina', 'kementerianesdm', 'danantarari', 'kemenperinri', 'kementan', 'tvonenews', 'kompastv', 'rawan', 'pengoplosan', 'bikin', 'mubilmontror', 'brebet', 'bengsin', 'campur', 'etanol', 'sudah', 'berani', 'ngoplos', 'pidiyo', 'jatim', 'tcoundmhnmynt']","['susnog', 'pertamina', 'kementerianesdm', 'danantarari', 'kemenperinri', 'kementan', 'tvonenews', 'kompastv', 'rawan', 'pengoplosan', 'bikin', 'mubilmontror', 'brebet', 'bengsin', 'campur', 'etanol', 'berani', 'ngoplos', 'pidiyo', 'jatim', 'tcoundmhnmynt']",susnog pertamina kementerianesdm danantarari kemenperinri tan tvonenews kompastv rawan oplos bikin mubilmontror brebet bengsin campur etanol berani ngoplos pidiyo jatim tcoundmhnmynt,negative
@Informnts Good kasih dia BBM oplosan full etanol @pertamina,informnts good kasih oplosan full etanol pertamina,informnts good kasih oplosan full etanol pertamina,"['informnts', 'good', 'kasih', 'oplosan', 'full', 'etanol', 'pertamina']","['informnts', 'good', 'kasih', 'oplosan', 'full', 'etanol', 'pertamina']",informnts good kasih oplos full etanol pertamina,positive
@seungfinity fakboy? fakboy mana yang punya feromon etanol pertamina RON 98 kayak gua?,seungfinity fakboy fakboy mana yang punya feromon etanol pertamina kayak,seungfinity fakboy fakboy mana yang punya feromon etanol pertamina kayak,"['seungfinity', 'fakboy', 'fakboy', 'mana', 'yang', 'punya', 'feromon', 'etanol', 'pertamina', 'kayak']","['seungfinity', 'fakboy', 'fakboy', 'feromon', 'etanol', 'pertamina', 'kayak']",seungfinity fakboy fakboy feromon etanol pertamina kayak,
@SnaiperMask Maksudnya yang sekarang itu soal BBM Etanol padahal Pertamina masih jelek tingkat kepercayaan publiknya dan Kewajiban Harus Beli BBM Mentah bagi BBM Swasta yang malah mematikan bisnis BBM Swasta dan Monopoli Pertamina.,snaipermask maksudnya yang sekarang soal etanol padahal pertamina masih jelek tingkat kepercayaan publiknya kewajiban harus beli mentah bagi swasta yang malah mematikan bisnis swasta monopoli pertamina,snaipermask maksudnya yang sekarang soal etanol padahal pertamina masih jelek tingkat kepercayaan publiknya kewajiban harus beli mentah bagi swasta yang malah mematikan bisnis swasta monopoli pertamina,"['snaipermask', 'maksudnya', 'yang', 'sekarang', 'soal', 'etanol', 'padahal', 'pertamina', 'masih', 'jelek', 'tingkat', 'kepercayaan', 'publiknya', 'kewajiban', 'harus', 'beli', 'mentah', 'bagi', 'swasta', 'yang', 'malah', 'mematikan', 'bisnis', 'swasta', 'monopoli', 'pertamina']","['snaipermask', 'maksudnya', 'etanol', 'pertamina', 'jelek', 'tingkat', 'kepercayaan', 'publiknya', 'kewajiban', 'beli', 'mentah', 'swasta', 'mematikan', 'bisnis', 'swasta', 'monopoli', 'pertamina']",snaipermask maksud etanol pertamina jelek tingkat percaya publik wajib beli mentah swasta mati bisnis swasta monopoli pertamina,negative
haha. siapa kemarin bilang gua omega? gua sub? sorry. pheromone etanol pertamina RON 98 ga bisa berbohong. https://t.co/iIcS6FkuAD,haha siapa kemarin bilang omega sorry pheromone etanol pertamina bisa berbohong tcoiicsfkuad,haha siapa kemarin bilang omega sorry pheromone etanol pertamina bisa berbohong tcoiicsfkuad,"['haha', 'siapa', 'kemarin', 'bilang', 'omega', 'sorry', 'pheromone', 'etanol', 'pertamina', 'bisa', 'berbohong', 'tcoiicsfkuad']","['haha', 'kemarin', 'bilang', 'omega', 'sorry', 'pheromone', 'etanol', 'pertamina', 'berbohong', 'tcoiicsfkuad']",haha kemarin bilang omega sorry pheromone etanol pertamina bohong tcoiicsfkuad,positive
Pertamina kontol motor gue kecampur etanol bangsat cukimay. Lama-lama nih motor gw isi bimoli aja.,pertamina kontol motor kecampur etanol bangsat cukimay lamalama motor bimoli,pertamina kontol motor kecampur etanol bangsat cukimay lamalama motor bimoli,"['pertamina', 'kontol', 'motor', 'kecampur', 'etanol', 'bangsat', 'cukimay', 'lamalama', 'motor', 'bimoli']","['pertamina', 'kontol', 'motor', 'kecampur', 'etanol', 'bangsat', 'cukimay', 'lamalama', 'motor', 'bimoli']",pertamina kontol motor campur etanol bangsat cukimay lamalama motor bimoli,negative
 nek cangkeme sampeyan gak brebet aku melok nggo sepedaku tak isi etanol @bahlillahadalia #pertamina #etanol #bahlil https://t.co/H3tI2JwzBo,cangkeme sampeyan brebet melok nggo sepedaku etanol bahlillahadalia pertamina etanol bahlil tcohtijwzbo,cangkeme sampeyan brebet melok nggo sepedaku etanol bahlillahadalia pertamina etanol bahlil tcohtijwzbo,"['cangkeme', 'sampeyan', 'brebet', 'melok', 'nggo', 'sepedaku', 'etanol', 'bahlillahadalia', 'pertamina', 'etanol', 'bahlil', 'tcohtijwzbo']","['cangkeme', 'sampeyan', 'brebet', 'melok', 'nggo', 'sepedaku', 'etanol', 'bahlillahadalia', 'pertamina', 'etanol', 'bahlil', 'tcohtijwzbo']",cangkeme sampeyan brebet lok nggo sepeda etanol bahlillahadalia pertamina etanol bahlil tcohtijwzbo,negative
@Ndons_Back @florieliciouss @03__nakula @ardinat4_ @MyPertaminaID @pertamina @Abe_Mukti @andrewenas @Intel_Imut @AskPerplexity oh jelassssss ... sayang aja kenapa hal kek gini sepi ya malah yang rame etanol,ndonsback florieliciouss nakula ardinat mypertaminaid pertamina abemukti andrewenas intelimut askperplexity jelassssss sayang kenapa gini sepi malah yang rame etanol,ndonsback florieliciouss nakula ardinat mypertaminaid pertamina abemukti andrewenas intelimut askperplexity jelassssss sayang kenapa begini sepi malah yang rame etanol,"['ndonsback', 'florieliciouss', 'nakula', 'ardinat', 'mypertaminaid', 'pertamina', 'abemukti', 'andrewenas', 'intelimut', 'askperplexity', 'jelassssss', 'sayang', 'kenapa', 'begini', 'sepi', 'malah', 'yang', 'rame', 'etanol']","['ndonsback', 'florieliciouss', 'nakula', 'ardinat', 'mypertaminaid', 'pertamina', 'abemukti', 'andrewenas', 'intelimut', 'askperplexity', 'jelassssss', 'sayang', 'sepi', 'rame', 'etanol']",ndonsback florieliciouss nakula ardinat mypertaminaid pertamina abemukti andrewenas intelimut askperplexity jelassssss sayang sepi rame etanol,neutral
@SuperMan1750089 @zaraIIys @grok Etanol anaknya bahlil si Zara. Itu di gerai pertamina,superman zaraiiys grok etanol anaknya bahlil zara gerai pertamina,superman zaraiiys grok etanol anaknya bahlil zara gerai pertamina,"['superman', 'zaraiiys', 'grok', 'etanol', 'anaknya', 'bahlil', 'zara', 'gerai', 'pertamina']","['superman', 'zaraiiys', 'grok', 'etanol', 'anaknya', 'bahlil', 'zara', 'gerai', 'pertamina']",superman zaraiiys grok etanol anak bahlil zara gerai pertamina,
Jadi gimana ini keberlanjutannya pertamina?? Masih ada etanol nya nggak? Pusing bangett mau isi pake BP tapi sering banget habiss.. mau di isi pake pertamina udah trauma sepeda mogok kek kemarin. Udah di servis masa isi pertamina lagi? Gimana niihh:((( #pertamina #solusi,jadi gimana keberlanjutannya pertamina masih etanol nggak pusing bangett pake tapi sering banget habiss pake pertamina udah trauma sepeda mogok kemarin udah servis masa pertamina lagi gimana niihh pertamina solusi,jadi bagaimana keberlanjutannya pertamina masih etanol tidak pusing banget pakai tapi sering banget habiss pakai pertamina sudah trauma sepeda mogok kemarin sudah servis masa pertamina lagi bagaimana nih pertamina solusi,"['jadi', 'bagaimana', 'keberlanjutannya', 'pertamina', 'masih', 'etanol', 'tidak', 'pusing', 'banget', 'pakai', 'tapi', 'sering', 'banget', 'habiss', 'pakai', 'pertamina', 'sudah', 'trauma', 'sepeda', 'mogok', 'kemarin', 'sudah', 'servis', 'masa', 'pertamina', 'lagi', 'bagaimana', 'nih', 'pertamina', 'solusi']","['keberlanjutannya', 'pertamina', 'etanol', 'pusing', 'banget', 'pakai', 'banget', 'habiss', 'pakai', 'pertamina', 'trauma', 'sepeda', 'mogok', 'kemarin', 'servis', 'pertamina', 'nih', 'pertamina', 'solusi']",lanjut pertamina etanol pusing banget pakai banget habiss pakai pertamina trauma sepeda mogok kemarin servis pertamina nih pertamina solusi,negative
Pertamina disebut masih memakai etanol impor untuk memproduksi Pertamax Green 95. Bioetanol lokal dinilai belum memenuhi standar kualitas produksinya terbatas harganya lebih tinggi dan rantai pasoknya belum terintegrasi. Kondisi ini membuat pemanfaatan etanol dalam negeri https://t.co/9WDdtOF4Gx,pertamina disebut masih memakai etanol impor untuk memproduksi pertamax green bioetanol lokal dinilai belum memenuhi standar kualitas produksinya terbatas harganya lebih tinggi rantai pasoknya belum terintegrasi kondisi membuat pemanfaatan etanol dalam negeri tcowddtofgx,pertamina disebut masih memakai etanol impor untuk memproduksi pertamax green bioetanol lokal dinilai belum memenuhi standar kualitas produksinya terbatas harganya lebih tinggi rantai pasoknya belum terintegrasi kondisi membuat pemanfaatan etanol dalam negeri tcowddtofgx,"['pertamina', 'disebut', 'masih', 'memakai', 'etanol', 'impor', 'untuk', 'memproduksi', 'pertamax', 'green', 'bioetanol', 'lokal', 'dinilai', 'belum', 'memenuhi', 'standar', 'kualitas', 'produksinya', 'terbatas', 'harganya', 'lebih', 'tinggi', 'rantai', 'pasoknya', 'belum', 'terintegrasi', 'kondisi', 'membuat', 'pemanfaatan', 'etanol', 'dalam', 'negeri', 'tcowddtofgx']","['pertamina', 'memakai', 'etanol', 'impor', 'memproduksi', 'pertamax', 'green', 'bioetanol', 'lokal', 'dinilai', 'memenuhi', 'standar', 'kualitas', 'produksinya', 'terbatas', 'harganya', 'rantai', 'pasoknya', 'terintegrasi', 'kondisi', 'pemanfaatan', 'etanol', 'negeri', 'tcowddtofgx']",pertamina pakai etanol impor produksi pertamax green bioetanol lokal nilai penuh standar kualitas produksi batas harga rantai pasok integrasi kondisi manfaat etanol negeri tcowddtofgx,
