Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data,score,label
"Cukup membantu, saat melakukan pembayaran",cukup membantu saat melakukan pembayaran,cukup membantu saat melakukan pembayaran,"['cukup', 'membantu', 'saat', 'melakukan', 'pembayaran']","['membantu', 'pembayaran']",bantu bayar,4,positive
terima kasih sdh bersedia menerima konsultasi kami,terima kasih bersedia menerima konsultasi kami,terima kasih bersedia menerima konsultasi kami,"['terima', 'kasih', 'bersedia', 'menerima', 'konsultasi', 'kami']","['terima', 'kasih', 'bersedia', 'menerima', 'konsultasi']",terima kasih sedia terima konsultasi,11,positive
"mempermudah transaksi, dan tidak takut kalo tidak bawa uang cash",mempermudah transaksi tidak takut kalo tidak bawa uang cash,mempermudah transaksi tidak takut kalau tidak bawa uang cash,"['mempermudah', 'transaksi', 'tidak', 'takut', 'kalau', 'tidak', 'bawa', 'uang', 'cash']","['mempermudah', 'transaksi', 'takut', 'bawa', 'uang', 'cash']",mudah transaksi takut bawa uang cash,12,positive
"bagus membantu jangan banyak iklan, kebutuhan bisa aku dapat di shopee",bagus membantu jangan banyak iklan kebutuhan bisa dapat shopee,bagus membantu jangan banyak iklan kebutuhan bisa dapat shopee,"['bagus', 'membantu', 'jangan', 'banyak', 'iklan', 'kebutuhan', 'bisa', 'dapat', 'shopee']","['bagus', 'membantu', 'iklan', 'kebutuhan', 'shopee']",bagus bantu iklan butuh shopee,0,neutral
sangat ngebantu,sangat ngebantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu,3,positive
menarik,menarik,menarik,['menarik'],['menarik'],tarik,2,positive
Terbaik,terbaik,terbaik,['terbaik'],['terbaik'],baik,3,positive
kenapa akun saya tidak bisa di login kan kembali padahal baru saja saya isi saldo,kenapa akun saya tidak bisa login kembali padahal baru saja saya saldo,kenapa akun saya tidak bisa login kembali padahal baru saja saya saldo,"['kenapa', 'akun', 'saya', 'tidak', 'bisa', 'login', 'kembali', 'padahal', 'baru', 'saja', 'saya', 'saldo']","['akun', 'login', 'saldo']",akun login saldo,2,positive
tidak bisa login akun lama,tidak bisa login akun lama,tidak bisa login akun lama,"['tidak', 'bisa', 'login', 'akun', 'lama']","['login', 'akun']",login akun,0,neutral
"truntukkkk Shoppe yg terhormat tolonggg di perbikinnn lagi apk nyyy ,masa dimna2 nongol truss iklanyaaa,pdhalll di situ gaada iklan shopee TPI tiba2 lngsung msuk,,,ke Shoppe nyy ,,,saya lagi lagi nontonn filmm ,Bru juga opening tiba2 lngsung pindh ke Shoppe dengan sendirinya PDAhal saya g sentuh apapun,,dan di lyarrny jugaa gaada iklann shoppeee,,,,,, ngenganggu bgttt apalgii klau lgii ngrjainn tugass tiba2 dengan sendirinya pindh ke shoppee!!!!!",truntukkkk shoppe terhormat tolonggg perbikinnn lagi nyyy masa dimna nongol truss iklanyaaapdhalll situ gaada iklan shopee tiba lngsung msukke shoppe saya lagi lagi nontonn filmm juga opening tiba lngsung pindh shoppe dengan sendirinya pdahal saya sentuh apapundan lyarrny jugaa gaada iklann shoppeee ngenganggu bgttt apalgii klau lgii ngrjainn tugass tiba dengan sendirinya pindh shoppee,truntukkkk shoppe terhormat tolonggg perbikinnn lagi nyyy masa dimna nongol truss iklanyaaapdhalll situ tidak ada iklan shopee tiba langsung msukke shoppe saya lagi lagi nontonn filmm juga opening tiba langsung pindh shoppe dengan sendirinya padahal saya sentuh apapundan lyarrny juga tidak ada iklann shoppeee ngenganggu banget apalgii kalau lgii ngrjainn tugass tiba dengan sendirinya pindh shoppee,"['truntukkkk', 'shoppe', 'terhormat', 'tolonggg', 'perbikinnn', 'lagi', 'nyyy', 'masa', 'dimna', 'nongol', 'truss', 'iklanyaaapdhalll', 'situ', 'tidak', 'ada', 'iklan', 'shopee', 'tiba', 'langsung', 'msukke', 'shoppe', 'saya', 'lagi', 'lagi', 'nontonn', 'filmm', 'juga', 'opening', 'tiba', 'langsung', 'pindh', 'shoppe', 'dengan', 'sendirinya', 'padahal', 'saya', 'sentuh', 'apapundan', 'lyarrny', 'juga', 'tidak', 'ada', 'iklann', 'shoppeee', 'ngenganggu', 'banget', 'apalgii', 'kalau', 'lgii', 'ngrjainn', 'tugass', 'tiba', 'dengan', 'sendirinya', 'pindh', 'shoppee']","['truntukkkk', 'shoppe', 'terhormat', 'tolonggg', 'perbikinnn', 'nyyy', 'dimna', 'nongol', 'truss', 'iklanyaaapdhalll', 'situ', 'iklan', 'shopee', 'langsung', 'msukke', 'shoppe', 'nontonn', 'filmm', 'opening', 'langsung', 'pindh', 'shoppe', 'sentuh', 'apapundan', 'lyarrny', 'iklann', 'shoppeee', 'ngenganggu', 'banget', 'apalgii', 'lgii', 'ngrjainn', 'tugass', 'pindh', 'shoppee']",truntukkkk shoppe hormat tolonggg perbikinnn nyyy dimna nongol truss iklanyaaapdhalll situ iklan shopee langsung msukke shoppe nontonn filmm opening langsung pindh shoppe sentuh apapundan lyarrny iklann shoppeee ngenganggu banget apalgii lgii ngrjainn tugass pindh shoppee,6,positive
Cepat transfernya dan terpercaya,cepat transfernya terpercaya,cepat transfernya terpercaya,"['cepat', 'transfernya', 'terpercaya']","['cepat', 'transfernya', 'terpercaya']",cepat transfer percaya,5,positive
"very easy, thnx a lot shopee",very easy thnx shopee,very easy thnx shopee,"['very', 'easy', 'thnx', 'shopee']","['very', 'easy', 'thnx', 'shopee']",very easy thnx shopee,0,neutral
cukup keren tapi limit harus bisa kecil dan lebih banyak,cukup keren tapi limit harus bisa kecil lebih banyak,cukup keren tapi limit harus bisa kecil lebih banyak,"['cukup', 'keren', 'tapi', 'limit', 'harus', 'bisa', 'kecil', 'lebih', 'banyak']","['keren', 'limit']",keren limit,0,neutral
membantu pisan kangge transaksi 😂🤭,membantu pisan kangge transaksi,membantu pisan kangge transaksi,"['membantu', 'pisan', 'kangge', 'transaksi']","['membantu', 'pisan', 'kangge', 'transaksi']",bantu pis kangge transaksi,7,positive
puas blanja di shoppe,puas blanja shoppe,puas blanja shoppe,"['puas', 'blanja', 'shoppe']","['puas', 'blanja', 'shoppe']",puas blanja shoppe,3,positive
mantap appnya,mantap appnya,mantap appnya,"['mantap', 'appnya']","['mantap', 'appnya']",mantap appnya,5,positive
"harus banget pake parenting ya pake nya? ID Aja terus yang mau lu ambil, mau bayar, ID, Mau transfer? ID lagi, alah jembot",harus banget pake parenting pake terus yang ambil bayar transfer lagi alah jembot,harus banget pakai parenting pakai terus yang ambil bayar transfer lagi alah jembot,"['harus', 'banget', 'pakai', 'parenting', 'pakai', 'terus', 'yang', 'ambil', 'bayar', 'transfer', 'lagi', 'alah', 'jembot']","['banget', 'pakai', 'parenting', 'pakai', 'ambil', 'bayar', 'transfer', 'alah', 'jembot']",banget pakai parenting pakai ambil bayar transfer alah jembot,-7,negative
bagus sekali,bagus sekali,bagus sekali,"['bagus', 'sekali']",['bagus'],bagus,2,positive
bagus memudahkn,bagus memudahkn,bagus memudahkn,"['bagus', 'memudahkn']","['bagus', 'memudahkn']",bagus memudahkn,2,positive
"data tidak terferivikasi jawabnya umur 16 tahun. aneh mana ada 16 tahun boleh ada ktp, kan lucu",data tidak terferivikasi jawabnya umur tahun aneh mana tahun boleh lucu,data tidak terferivikasi jawabnya umur tahun aneh mana tahun boleh lucu,"['data', 'tidak', 'terferivikasi', 'jawabnya', 'umur', 'tahun', 'aneh', 'mana', 'tahun', 'boleh', 'lucu']","['data', 'terferivikasi', 'umur', 'aneh', 'lucu']",data terferivikasi umur aneh lucu,8,positive
good,good,good,['good'],['good'],good,5,positive
sangat membantu serta memberikan kemudahan di saat belanja.,sangat membantu serta memberikan kemudahan saat belanja,sangat membantu serta memberikan kemudahan saat belanja,"['sangat', 'membantu', 'serta', 'memberikan', 'kemudahan', 'saat', 'belanja']","['membantu', 'kemudahan', 'belanja']",bantu mudah belanja,9,positive
apk dongo gapunya saldo mau pesan makan pembayaran tunai(cod) tidak tersedia aneh aneh bikin susah,dongo gapunya saldo pesan makan pembayaran tunaicod tidak tersedia aneh aneh bikin susah,dongo tidak punya saldo pesan makan pembayaran tunaicod tidak tersedia aneh aneh bikin susah,"['dongo', 'tidak', 'punya', 'saldo', 'pesan', 'makan', 'pembayaran', 'tunaicod', 'tidak', 'tersedia', 'aneh', 'aneh', 'bikin', 'susah']","['dongo', 'saldo', 'pesan', 'makan', 'pembayaran', 'tunaicod', 'tersedia', 'aneh', 'aneh', 'bikin', 'susah']",dongo saldo pesan makan bayar tunaicod sedia aneh aneh bikin susah,13,positive
bagus aman mudah dan cepat dalam segala transaksi hanya tolong banyak reseler yang ga jujur sering tidak sesuai pesanan,bagus aman mudah cepat dalam segala transaksi hanya tolong banyak reseler yang jujur sering tidak sesuai pesanan,bagus aman mudah cepat dalam segala transaksi hanya tolong banyak reseler yang jujur sering tidak sesuai pesanan,"['bagus', 'aman', 'mudah', 'cepat', 'dalam', 'segala', 'transaksi', 'hanya', 'tolong', 'banyak', 'reseler', 'yang', 'jujur', 'sering', 'tidak', 'sesuai', 'pesanan']","['bagus', 'aman', 'mudah', 'cepat', 'transaksi', 'tolong', 'reseler', 'jujur', 'sesuai', 'pesanan']",bagus aman mudah cepat transaksi tolong reseler jujur sesuai pesan,25,positive
"kalo bisa sih tambahin fitur keamanan verifikasi wajah saat login, mengantisipasi klo nomor mati dan di daur ulang",kalo bisa tambahin fitur keamanan verifikasi wajah saat login mengantisipasi nomor mati daur ulang,kalau bisa tambahkan fitur keamanan verifikasi wajah saat login mengantisipasi nomor mati daur ulang,"['kalau', 'bisa', 'tambahkan', 'fitur', 'keamanan', 'verifikasi', 'wajah', 'saat', 'login', 'mengantisipasi', 'nomor', 'mati', 'daur', 'ulang']","['tambahkan', 'fitur', 'keamanan', 'verifikasi', 'wajah', 'login', 'mengantisipasi', 'nomor', 'mati', 'daur', 'ulang']",tambah fitur aman verifikasi wajah login antisipasi nomor mati daur ulang,10,positive
sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu,3,positive
"kak kok saya tranfer dana saldo gak kirim tapi saldo akun shopeepay hilang ya kak gak kesana nya, tapi saldo gak kembali, notif transfer tanda berhasil gak ada? apakah shoopepay jadi penipu sekarang? gak ada notif, tanda pembayaran seperti biasanya,pemberitahuan gak ada berhasil/gagal gak ada, plis shopee kembali saldo saya mau 406k lebih itu nyari nya gak gampang ya, pihak shopee sekarang perbaiki bug ini ini merugikan semua orang kejadian pukul 16.58 perkiraan kejadian: tolong ya!!",saya tranfer dana saldo kirim tapi saldo akun shopeepay hilang kesana tapi saldo kembali notif transfer tanda berhasil apakah shoopepay jadi penipu sekarang notif tanda pembayaran seperti biasanyapemberitahuan berhasilgagal plis shopee kembali saldo saya k lebih nyari gampang pihak shopee sekarang perbaiki merugikan semua orang kejadian pukul  perkiraan kejadian tolong,saya tranfer dana saldo kirim tapi saldo akun shopeepay hilang kesana tapi saldo kembali notif transfer tanda berhasil apakah shoopepay jadi penipu sekarang notif tanda pembayaran seperti biasanyapemberitahuan berhasilgagal plis shopee kembali saldo saya ke lebih mencari gampang pihak shopee sekarang perbaiki merugikan semua orang kejadian pukul perkiraan kejadian tolong,"['saya', 'tranfer', 'dana', 'saldo', 'kirim', 'tapi', 'saldo', 'akun', 'shopeepay', 'hilang', 'kesana', 'tapi', 'saldo', 'kembali', 'notif', 'transfer', 'tanda', 'berhasil', 'apakah', 'shoopepay', 'jadi', 'penipu', 'sekarang', 'notif', 'tanda', 'pembayaran', 'seperti', 'biasanyapemberitahuan', 'berhasilgagal', 'plis', 'shopee', 'kembali', 'saldo', 'saya', 'ke', 'lebih', 'mencari', 'gampang', 'pihak', 'shopee', 'sekarang', 'perbaiki', 'merugikan', 'semua', 'orang', 'kejadian', 'pukul', 'perkiraan', 'kejadian', 'tolong']","['tranfer', 'dana', 'saldo', 'kirim', 'saldo', 'akun', 'shopeepay', 'hilang', 'kesana', 'saldo', 'notif', 'transfer', 'tanda', 'berhasil', 'shoopepay', 'penipu', 'notif', 'tanda', 'pembayaran', 'biasanyapemberitahuan', 'berhasilgagal', 'plis', 'shopee', 'saldo', 'mencari', 'gampang', 'shopee', 'perbaiki', 'merugikan', 'orang', 'kejadian', 'perkiraan', 'kejadian', 'tolong']",tranfer dana saldo kirim saldo akun shopeepay hilang kesana saldo notif transfer tanda hasil shoopepay tipu notif tanda bayar biasanyapemberitahuan berhasilgagal plis shopee saldo cari gampang shopee baik rugi orang jadi kira jadi tolong,23,positive
sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],bagus,2,positive
transaksi keuangan cepat pake shopeepay,transaksi keuangan cepat pake shopeepay,transaksi keuangan cepat pakai shopeepay,"['transaksi', 'keuangan', 'cepat', 'pakai', 'shopeepay']","['transaksi', 'keuangan', 'cepat', 'pakai', 'shopeepay']",transaksi uang cepat pakai shopeepay,7,positive
asyiknya,asyiknya,asyiknya,['asyiknya'],['asyiknya'],asyik,0,neutral
"sangat bagus , mudah ketika melakukan pembayaran",sangat bagus mudah ketika melakukan pembayaran,sangat bagus mudah ketika melakukan pembayaran,"['sangat', 'bagus', 'mudah', 'ketika', 'melakukan', 'pembayaran']","['bagus', 'mudah', 'pembayaran']",bagus mudah bayar,7,positive
ga bisa pembayar lewat qris beli pulsa juga ga bisa ini gimna si pihak shopepay jadi ga nyaman untuk transaksi lainya,bisa pembayar lewat qris beli pulsa juga bisa gimna pihak shopepay jadi nyaman untuk transaksi lainya,bisa pembayar lewat qris beli pulsa juga bisa bagaimana pihak shopepay jadi nyaman untuk transaksi lainya,"['bisa', 'pembayar', 'lewat', 'qris', 'beli', 'pulsa', 'juga', 'bisa', 'bagaimana', 'pihak', 'shopepay', 'jadi', 'nyaman', 'untuk', 'transaksi', 'lainya']","['pembayar', 'qris', 'beli', 'pulsa', 'shopepay', 'nyaman', 'transaksi', 'lainya']",bayar qris beli pulsa shopepay nyaman transaksi lai,8,positive
Bagus,bagus,bagus,['bagus'],['bagus'],bagus,2,positive
terimakasih,terimakasih,terimakasih,['terimakasih'],['terimakasih'],terimakasih,5,positive
cukup puas dengan shopee pay karena memudahkan transaksi,cukup puas dengan shopee karena memudahkan transaksi,cukup puas dengan shopee karena memudahkan transaksi,"['cukup', 'puas', 'dengan', 'shopee', 'karena', 'memudahkan', 'transaksi']","['puas', 'shopee', 'memudahkan', 'transaksi']",puas shopee mudah transaksi,11,positive
bagusss,bagusss,bagus,['bagus'],['bagus'],bagus,2,positive
cukup membantu dalam transaksi,cukup membantu dalam transaksi,cukup membantu dalam transaksi,"['cukup', 'membantu', 'dalam', 'transaksi']","['membantu', 'transaksi']",bantu transaksi,7,positive
"pelayanan buruk, tidak mampu menyelesaikan masalah customer dengan cepat...uang sya blm di kembalikan dri pihak shopee",pelayanan buruk tidak mampu menyelesaikan masalah customer dengan cepatuang kembalikan pihak shopee,pelayanan buruk tidak mampu menyelesaikan masalah customer dengan cepatuang kembalikan pihak shopee,"['pelayanan', 'buruk', 'tidak', 'mampu', 'menyelesaikan', 'masalah', 'customer', 'dengan', 'cepatuang', 'kembalikan', 'pihak', 'shopee']","['pelayanan', 'buruk', 'menyelesaikan', 'customer', 'cepatuang', 'kembalikan', 'shopee']",layan buruk selesai customer cepatuang kembali shopee,-1,negative
"oke lah, membantu",membantu,membantu,['membantu'],['membantu'],bantu,3,positive
PENIPU!. Saya klaim reward Shopee VIP Roti'o 1 Rupiah mesti suruh Instal shopeepay. Udah download ternyata cuma reward 100 rupiah. Seharusnya S&K nya dibilang di awal. P E N I PU,penipu saya klaim reward shopee rotio rupiah mesti suruh instal shopeepay udah download ternyata cuma reward rupiah seharusnya dibilang awal,penipu saya klaim reward shopee rotio rupiah mesti suruh instal shopeepay sudah download ternyata cuma reward rupiah seharusnya dibilang awal,"['penipu', 'saya', 'klaim', 'reward', 'shopee', 'rotio', 'rupiah', 'mesti', 'suruh', 'instal', 'shopeepay', 'sudah', 'download', 'ternyata', 'cuma', 'reward', 'rupiah', 'seharusnya', 'dibilang', 'awal']","['penipu', 'klaim', 'reward', 'shopee', 'rotio', 'rupiah', 'mesti', 'suruh', 'instal', 'shopeepay', 'download', 'reward', 'rupiah', 'dibilang']",tipu klaim reward shopee rotio rupiah mesti suruh instal shopeepay download reward rupiah bilang,-5,negative
"penipu, tulis diskon 14% pas mau beli malah gk dapat diskonnya, org udh di tf lagi 22.400",penipu tulis diskon beli malah dapat diskonnya lagi ,penipu tulis diskon beli malah dapat diskonnya lagi,"['penipu', 'tulis', 'diskon', 'beli', 'malah', 'dapat', 'diskonnya', 'lagi']","['penipu', 'tulis', 'diskon', 'beli', 'diskonnya']",tipu tulis diskon beli diskon,6,positive
ga bisa ganti KTP baru,bisa ganti baru,bisa ganti baru,"['bisa', 'ganti', 'baru']",['ganti'],ganti,3,positive
"Pengembalian dana sangat tidak adil, pengembalian barang juga sangat sulit tidak bisa di jemput kurir padahal toko banyak penipu. membuat saya rugi menerima aja keputusan tidak adil. aplikasi sangat mengecewakan.",pengembalian dana sangat tidak adil pengembalian barang juga sangat sulit tidak bisa jemput kurir padahal toko banyak penipu membuat saya rugi menerima keputusan tidak adil aplikasi sangat mengecewakan,pengembalian dana sangat tidak adil pengembalian barang juga sangat sulit tidak bisa jemput kurir padahal toko banyak penipu membuat saya rugi menerima keputusan tidak adil aplikasi sangat mengecewakan,"['pengembalian', 'dana', 'sangat', 'tidak', 'adil', 'pengembalian', 'barang', 'juga', 'sangat', 'sulit', 'tidak', 'bisa', 'jemput', 'kurir', 'padahal', 'toko', 'banyak', 'penipu', 'membuat', 'saya', 'rugi', 'menerima', 'keputusan', 'tidak', 'adil', 'aplikasi', 'sangat', 'mengecewakan']","['pengembalian', 'dana', 'adil', 'pengembalian', 'barang', 'sulit', 'jemput', 'kurir', 'toko', 'penipu', 'rugi', 'menerima', 'keputusan', 'adil', 'aplikasi', 'mengecewakan']",kembali dana adil kembali barang sulit jemput kurir toko tipu rugi terima putus adil aplikasi kecewa,8,positive
"praktis, mudah digunakan",praktis mudah digunakan,praktis mudah digunakan,"['praktis', 'mudah', 'digunakan']","['praktis', 'mudah']",praktis mudah,8,positive
aku kasih bintang lima biar komen aku di atas ini aplikasi sangat tidak bagus,kasih bintang lima biar komen atas aplikasi sangat tidak bagus,kasih bintang lima biar komen atas aplikasi sangat tidak bagus,"['kasih', 'bintang', 'lima', 'biar', 'komen', 'atas', 'aplikasi', 'sangat', 'tidak', 'bagus']","['kasih', 'bintang', 'biar', 'komen', 'aplikasi', 'bagus']",kasih bintang biar komen aplikasi bagus,1,positive
"suka berguna juga ya,programnya & internalnya lebih fleksibel dipakai,tidak beriklan,bug,ataupun lelet,cepat bila dijalankan & mengakses smu menu2nya. Tapi di sayangkan pernah juga dipakai terkadang agak"" sulit membukanya pas saat koneksi lagi buruk / tidak stabil,terkadang perputarannya lambat banget dan cuma berputar-putar saja. mungkin cuma hal yang biasa terjadi di apps ini dan yang lain-lainnya sesuai pengalaman transaksi sukses,,masukan tuk perkembangannya dibenahi segalanya...",suka berguna juga yaprogramnya internalnya lebih fleksibel dipakaitidak beriklanbugataupun leletcepat bila dijalankan mengakses menunya tapi sayangkan pernah juga dipakai terkadang agak sulit membukanya saat koneksi lagi buruk tidak stabilterkadang perputarannya lambat banget cuma berputarputar saja mungkin cuma yang biasa terjadi apps yang lainlainnya sesuai pengalaman transaksi suksesmasukan perkembangannya dibenahi segalanya,suka berguna juga yaprogramnya internalnya lebih fleksibel dipakaitidak beriklanbugataupun leletcepat bila dijalankan mengakses menunya tapi sayangkan pernah juga dipakai terkadang agak sulit membukanya saat koneksi lagi buruk tidak stabilterkadang perputarannya lambat banget cuma berputarputar saja mungkin cuma yang biasa terjadi apps yang lainlainnya sesuai pengalaman transaksi suksesmasukan perkembangannya dibenahi segalanya,"['suka', 'berguna', 'juga', 'yaprogramnya', 'internalnya', 'lebih', 'fleksibel', 'dipakaitidak', 'beriklanbugataupun', 'leletcepat', 'bila', 'dijalankan', 'mengakses', 'menunya', 'tapi', 'sayangkan', 'pernah', 'juga', 'dipakai', 'terkadang', 'agak', 'sulit', 'membukanya', 'saat', 'koneksi', 'lagi', 'buruk', 'tidak', 'stabilterkadang', 'perputarannya', 'lambat', 'banget', 'cuma', 'berputarputar', 'saja', 'mungkin', 'cuma', 'yang', 'biasa', 'terjadi', 'apps', 'yang', 'lainlainnya', 'sesuai', 'pengalaman', 'transaksi', 'suksesmasukan', 'perkembangannya', 'dibenahi', 'segalanya']","['suka', 'berguna', 'yaprogramnya', 'internalnya', 'fleksibel', 'dipakaitidak', 'beriklanbugataupun', 'leletcepat', 'dijalankan', 'mengakses', 'menunya', 'sayangkan', 'dipakai', 'terkadang', 'sulit', 'membukanya', 'koneksi', 'buruk', 'stabilterkadang', 'perputarannya', 'lambat', 'banget', 'berputarputar', 'apps', 'lainlainnya', 'sesuai', 'pengalaman', 'transaksi', 'suksesmasukan', 'perkembangannya', 'dibenahi']",suka guna yaprogramnya internal fleksibel dipakaitidak beriklanbugataupun leletcepat jalan akses menu sayang pakai terkadang sulit buka koneksi buruk stabilterkadang putar lambat banget berputarputar apps lainlainnya sesuai alam transaksi suksesmasukan kembang benah,26,positive
mantap pake shopeepay,mantap pake shopeepay,mantap pakai shopeepay,"['mantap', 'pakai', 'shopeepay']","['mantap', 'pakai', 'shopeepay']",mantap pakai shopeepay,5,positive
setiap minggu minta update apk.bikin lemot dan kenapa pinjaman saya selalu ditolak.,setiap minggu minta update apkbikin lemot kenapa pinjaman saya selalu ditolak,setiap minggu meminta update apkbikin lemot kenapa pinjaman saya selalu ditolak,"['setiap', 'minggu', 'meminta', 'update', 'apkbikin', 'lemot', 'kenapa', 'pinjaman', 'saya', 'selalu', 'ditolak']","['minggu', 'update', 'apkbikin', 'lemot', 'pinjaman', 'ditolak']",minggu update apkbikin lot pinjam tolak,-9,negative
bagus ..semua pembayaran bisa pakai spay...mudah dan cepat,bagus semua pembayaran bisa pakai spaymudah cepat,bagus semua pembayaran bisa pakai spaymudah cepat,"['bagus', 'semua', 'pembayaran', 'bisa', 'pakai', 'spaymudah', 'cepat']","['bagus', 'pembayaran', 'pakai', 'spaymudah', 'cepat']",bagus bayar pakai spaymudah cepat,6,positive
sangat mudah dn cepat,sangat mudah cepat,sangat mudah cepat,"['sangat', 'mudah', 'cepat']","['mudah', 'cepat']",mudah cepat,7,positive
Depresi,depresi,depresi,['depresi'],['depresi'],depresi,-4,negative
lebih pakai aplikasi ini,lebih pakai aplikasi,lebih pakai aplikasi,"['lebih', 'pakai', 'aplikasi']","['pakai', 'aplikasi']",pakai aplikasi,-4,negative
sangat membantu. makasih,sangat membantu makasih,sangat membantu terima kasih,"['sangat', 'membantu', 'terima', 'kasih']","['membantu', 'terima', 'kasih']",bantu terima kasih,7,positive
Tidak bisa buat bayar quaris padahal udah update dan bersihkan data cache. Tidak ada perbaikan!!! selalu muncul kesalahan sistem😔😭,tidak bisa buat bayar quaris padahal udah update bersihkan data cache tidak perbaikan selalu muncul kesalahan sistem,tidak bisa buat bayar quaris padahal sudah update bersihkan data cache tidak perbaikan selalu muncul kesalahan sistem,"['tidak', 'bisa', 'buat', 'bayar', 'quaris', 'padahal', 'sudah', 'update', 'bersihkan', 'data', 'cache', 'tidak', 'perbaikan', 'selalu', 'muncul', 'kesalahan', 'sistem']","['bayar', 'quaris', 'update', 'bersihkan', 'data', 'cache', 'perbaikan', 'muncul', 'kesalahan', 'sistem']",bayar quaris update sih data cache baik muncul salah sistem,-6,negative
aplikasi busuk gk bs terpakai saldo saya nyangkut di aplikasi gk bs di tarik gk bs buat belanja. Bgmn tuh min?,aplikasi busuk terpakai saldo saya nyangkut aplikasi tarik buat belanja bgmn,aplikasi busuk terpakai saldo saya nyangkut aplikasi tarik buat belanja bagaimana,"['aplikasi', 'busuk', 'terpakai', 'saldo', 'saya', 'nyangkut', 'aplikasi', 'tarik', 'buat', 'belanja', 'bagaimana']","['aplikasi', 'busuk', 'terpakai', 'saldo', 'nyangkut', 'aplikasi', 'tarik', 'belanja']",aplikasi busuk pakai saldo nyangkut aplikasi tarik belanja,-7,negative
bagus banget pula,bagus banget pula,bagus banget pula,"['bagus', 'banget', 'pula']","['bagus', 'banget']",bagus banget,3,positive
good job,good,good,['good'],['good'],good,5,positive
saya mendapatkan voucher gratis cicilan 1x pembayaran tapi tetap saja harus membayarnya. kecewa.,saya mendapatkan voucher gratis cicilan pembayaran tapi tetap saja harus membayarnya kecewa,saya mendapatkan voucher gratis cicilan pembayaran tapi tetap saja harus membayarnya kecewa,"['saya', 'mendapatkan', 'voucher', 'gratis', 'cicilan', 'pembayaran', 'tapi', 'tetap', 'saja', 'harus', 'membayarnya', 'kecewa']","['voucher', 'gratis', 'cicilan', 'pembayaran', 'membayarnya', 'kecewa']",voucher gratis cicil bayar bayar kecewa,9,positive
