full_text,teks_bersih,label
@sjfi_twider Tak apelah bang udh pusing diriku sama negara sendiri mau kalian mocking pertamina silahkanlah terutama mocking bahlil aja sekalian si mister etanol itu si hitam dari gua hantu.,sjfi_twider apelah bang pusing diriku sama negara sendiri kalian mocking pertamina silahkanlah terutama mocking bahlil sekalian mister etanol hitam dari hantu,negative
bahlil ajg pertamina ajg etanol ajg ya kali sehari bensin habis 3 bar,bahlil pertamina etanol kali sehari bensin habis,negative
@kumparan Bukan masalah etanol nya BLENDING hasil kilang Pertamina yg jelek org kilang pertamina aja belum Euro 5 bahkan Euro 4 aja kayanya gak semua kilang wkwkwk,kumparan Bukan masalah etanol BLENDING hasil kilang Pertamina jelek kilang pertamina belum Euro bahkan Euro kayanya semua kilang wkwkwk,negative
@xremiums Ngeles @pertamina busi disalahin..tolol..? Belum pernah uji kelayakan BBM+Etanol ya kan..?,xremiums Ngeles pertamina busi disalahintolol Belum pernah kelayakan BBMEtanol,negative
Seorang pemilik bengkel di Sidoarjo viral setelah mengunggah video dengan ucapan terima kasih etanol busiku laku semua. Dua hari kemudian ia mengunggah video baru yang memperlihatkan enam orang dari Pertamina datang ke bengkelnya untuk melakukan investigasi. Kedatangan itu https://t.co/Yt8f7uLAxH,Seorang pemilik bengkel Sidoarjo viral setelah mengunggah video dengan ucapan terima kasih etanol busiku laku semua hari kemudian mengunggah video baru yang memperlihatkan enam orang dari Pertamina datang bengkelnya untuk melakukan investigasi Kedatangan httpstcoYt8f7uLAxH,negative
Pertamina pakai campuran 3.5% etanol : wah goblok pertamina motor gw jd rusak gara2 pakai bbm dari pertamina... Bobibos baham baku dari tanaman = etanol 100% : mantap karya anak bangsa yg bikin pertamina bangkrut... PE-nya pertamina cuma bisa ketawa lihat kelakuam netizen...,Pertamina pakai campuran etanol goblok pertamina motor rusak gara2 pakai dari pertamina Bobibos baham baku dari tanaman etanol mantap karya anak bangsa bikin pertamina bangkrut PEnya pertamina cuma bisa ketawa lihat kelakuam netizen,negative
NDASMU A TAK UNCALI MERCON BUSI? AKU WINGI GANTI BUSI SEK PANCET YO COK JANCOK GANTI PEMPERS E FUEL PUMP KU YO SEK PANCET COK SING JELAS OJOK NGGAE ETANOL BANGSAT !!! @pertamina,NDASMU UNCALI MERCON BUSI WINGI GANTI BUSI PANCET JANCOK GANTI PEMPERS FUEL PUMP PANCET SING JELAS OJOK NGGAE ETANOL BANGSAT pertamina,negative
@pertamina Saya adlh satu korban motor brebet skrng beralih beli BBM ke swasta. Rasanya susah untuk percaya lagi. Beberapa waktu lalu marak Pertamax dioplos skrng pertalite dicampur etanol. Para pemangku kebijakan tolonglah buat kebijakan yg pro terhadap rakyat jangan membuat susah rakyat.,pertamina Saya adlh satu korban motor brebet skrng beralih beli swasta Rasanya susah untuk percaya lagi Beberapa waktu lalu marak Pertamax dioplos skrng pertalite dicampur etanol Para pemangku kebijakan tolonglah buat kebijakan terhadap rakyat jangan membuat susah rakyat,negative
@skubipap @tilehopper bensin pertamina paling kotor didunia untuk sekelas literate people cities yeah motor gw brebet jauh sebelum etanol 10% ada. Bahkan itu etanol udah ada di awal 2025 dgn kadar random around 2-3% di daerah distribusi. Ntah itu yg bikin spbu trucuk kemasukan air or kandang ayam,skubipap tilehopper bensin pertamina paling kotor didunia untuk sekelas literate people cities yeah motor brebet jauh sebelum etanol Bahkan etanol udah awal 2025 kadar random around daerah distribusi Ntah bikin spbu trucuk kemasukan kandang ayam,negative
@xremiums Kok bisa busi orang rusak bareng sehabis isi pertalite eh etanol ding @pertamina,xremiums bisa busi orang rusak bareng sehabis pertalite etanol ding pertamina,negative
@ferdinand_mpu pertanyaanya simple @pertamina punya alatnya nggak?? kalo punya kok masih bermasalah?? kalo tidak keuntungan dari penjualan BBM buat apa?? masih mendukung BBM pake etanol kah sempak merah?? https://t.co/VjgnGhRVGS,ferdinand_mpu pertanyaanya simple pertamina punya alatnya nggak kalo punya masih bermasalah kalo tidak keuntungan dari penjualan buat masih mendukung pake etanol sempak merah httpstcoVjgnGhRVGS,negative
@sbyfess Bajingan pemerintah sampek nyorokno rakyat semono e. Mugo2 mereka keselek etanol. Kuburane kebek etanol. Jan njengkelno. Sampek mbaringene BUMN khususe Pertamina ngomong rugi tutuk ono bareng-bareng. Btw yang antri semoga diberikan kesehatan dan keamanan selalu️️️,sbyfess Bajingan pemerintah sampek nyorokno rakyat semono Mugo2 mereka keselek etanol Kuburane kebek etanol njengkelno Sampek mbaringene BUMN khususe Pertamina ngomong rugi tutuk barengbareng yang antri semoga diberikan kesehatan keamanan selalu,negative
Belum hilang di ingatan soal apes kena bensin oplos lumpur. Sekarang mobil udah ada tanda-tanda kena bensin oplos etanol. Baru beberapa bulan lalu lo padahal harus di caci maki sekasar apa si ini pertamina ??,Belum hilang ingatan soal apes kena bensin oplos lumpur Sekarang mobil udah tandatanda kena bensin oplos etanol Baru beberapa bulan lalu padahal harus caci maki sekasar pertamina,negative
 Seluruh BBM Petralite Pertamina dipastikan tidak dicampur dengan etanol. Pertamina pastikan seluruh BBM yang terdistribusi sesuai regulasi pemerintah ️ #Pertamina #BangkaBelitung prioritaskan kebutuhan rakyat #GalaxyA56 #Fyp https://t.co/KcJIDcc5S6,Seluruh Petralite Pertamina dipastikan tidak dicampur dengan etanol Pertamina pastikan seluruh yang terdistribusi sesuai regulasi pemerintah Pertamina BangkaBelitung prioritaskan kebutuhan rakyat GalaxyA56 httpstcoKcJIDcc5S6,negative
ada proyek pembukaan lahan buat tanem tanaman yg bisa dijadiin etanol ~&gt; alkohol kek apa ya ya emg disengaja aja semua udh bagian dari sistem bahkan internal Pertamina sekalipun. gw yakin di sana banyak kok ilmuan2 super cerdas individu2 pilihan yg emg sadar kalo itu salah,proyek pembukaan lahan buat tanem tanaman bisa dijadiin etanol alkohol disengaja semua bagian dari sistem bahkan internal Pertamina sekalipun yakin sana banyak ilmuan2 super cerdas individu2 pilihan sadar kalo salah,negative
@westhernsea Padahal pertamina ada etanol 5% aja ribut ini etanol 100% pada puja puni. Indon indon,westhernsea Padahal pertamina etanol ribut etanol pada puja puni Indon indon,negative
@tempodotco Orang idiot ya begitu jelas yg persulit rakyat anggota DPR Contoh kecil Pertamina pertalite dicampur etanol rakyat gatau itu etanol ATAU AIR GAREM dan ojol dilarang pake pertalite maksudnya apa? Terus BPJS rakyat bayar tiap bulan tp gamau sakit dicover pdhl duit kita,tempodotco Orang idiot begitu jelas persulit rakyat anggota Contoh kecil Pertamina pertalite dicampur etanol rakyat gatau etanol ATAU GAREM ojol dilarang pake pertalite maksudnya Terus BPJS rakyat bayar tiap bulan gamau sakit dicover pdhl duit kita,negative
@_updateinfo Lawak kau malah si shell ga mau beli dri pertamina karna ada kandungan etanol,_updateinfo Lawak malah shell beli pertamina karna kandungan etanol,negative
bahenol (bahlil etanol) anjing sekali ini beat saya brebet pertamina lol,bahenol bahlil etanol anjing sekali beat saya brebet pertamina,negative
@IongbIack Tpi ini bukan soal etanol tapi bensinnya kecampur air jir banyak lagi hampir 1/4 dari botol air mineral 1L wkwk stress kayanya pertamina,IongbIack bukan soal etanol tapi bensinnya kecampur banyak lagi hampir dari botol mineral wkwk stress kayanya pertamina,negative
@TirtoID knp spbu swasta rame? tanya pertamina lah knp hancurin customer trust lu peak. bbm oplosan mengandung aer mengandung etanol and wtf.,TirtoID spbu swasta rame tanya pertamina hancurin customer trust peak oplosan mengandung mengandung etanol,negative
@Ozi_Tyo Sorry bukan belain bahlil tapi kayanya emang kualitas pertamina yang jelek Dunia soalnya udah mulai beralih ke etanol buat campuran bahan bakar Disclaimer aku bukan pendukung bahlil,Ozi_Tyo Sorry bukan belain bahlil tapi kayanya emang kualitas pertamina yang jelek Dunia soalnya udah mulai beralih etanol buat campuran bahan bakar Disclaimer bukan pendukung bahlil,negative
be bahlil &gt;saingan pertamina pada di singkirin semua &gt;bikin kebijakan untuk campurkan bbm dengan etanol yang notabene ga sehat buat motor karbu lama ni orang bikin kebijakan ga pernah benar dah mulai dari gas lpg tambang sama sekarang bbm. aneh bat mentri lu wok,bahlil gtsaingan pertamina pada singkirin semua gtbikin kebijakan untuk campurkan dengan etanol yang notabene sehat buat motor karbu lama orang bikin kebijakan pernah benar mulai dari tambang sama sekarang aneh mentri,negative
Percayalah aku paling benci kasus ini kek literally semua orang bergantung banget ama BBM. Terus motor sekarang belum disesuaikan ama BBM 10% etanol itu kupikir kemarin itu bakal diperbaiki taunya malah dilanjutkan. Motor suamiku juga kena gegara isi BBM Pertamina ,Percayalah paling benci kasus literally semua orang bergantung banget Terus motor sekarang belum disesuaikan etanol kupikir kemarin bakal diperbaiki taunya malah dilanjutkan Motor suamiku juga kena gegara Pertamina,negative
Pertamina buka bengkel gratis untuk motor brebet. Lucu juga ya berarti mereka udah tahu ada yang salah sama BBM-nya. Ini bukan soal mesin motor tapi soal kebijakan campur etanol yang dipaksakan Bahlil. BBM makin hijau tapi motor malah batuk-batuk. https://t.co/4VsMBkZqtD,Pertamina buka bengkel gratis untuk motor brebet Lucu juga berarti mereka udah tahu yang salah sama BBMnya bukan soal mesin motor tapi soal kebijakan campur etanol yang dipaksakan Bahlil makin hijau tapi motor malah batukbatuk httpstco4VsMBkZqtD,negative
@RestaWardhani @peredam03 Sama Bae yg bermasalah kan aturan yg di bikin si goblin ompong itu Dimana bensin harus bercampur etanol Mau Pertamina atau swasta ya sama,RestaWardhani peredam03 Sama bermasalah aturan bikin goblin ompong Dimana bensin harus bercampur etanol Pertamina atau swasta sama,negative
@JemmyMultazam @txtdrimedia Iya ini pengalaman yg aneh menurutku dulu bahkan sebelum ada etanol. Pemakaian sama tapi BBM dari swasta awet bener dibanding Pertamina,JemmyMultazam txtdrimedia pengalaman aneh menurutku dulu bahkan sebelum etanol Pemakaian sama tapi dari swasta awet bener dibanding Pertamina,negative
@aditya_rimba Etanol itu baik asal bukan bikinan pertamina &amp; bahlil,aditya_rimba Etanol baik asal bukan bikinan pertamina bahlil,negative
@mini_niwdir Kayaknya masih minta based fuel sih kalaupun nantinya diwajibkan etanol itu seharusnya perusahaan nya sendiri yang racik kandungannya. Yang selama ini bikin masalah kan kandungan pertamina gak bagus.,mini_niwdir Kayaknya masih minta based fuel kalaupun nantinya diwajibkan etanol seharusnya perusahaan sendiri yang racik kandungannya Yang selama bikin masalah kandungan pertamina bagus,negative
@PresidenKopi Kalau @pertamina menjual bbm tanpa etanol meskipun harganya di naikkan. Saya yakin etanol ini pasti gak laku. Apakah ini cara pertamina utk monopoli pasar menyingkirkan pesaing trus naikin harga.???,PresidenKopi Kalau pertamina menjual tanpa etanol meskipun harganya naikkan Saya yakin etanol pasti laku Apakah cara pertamina monopoli pasar menyingkirkan pesaing trus naikin harga,negative
@CecepLagi @PresidenKopi @pertamina @pertamina harus bertanggungjawab atas kerusakan seluruh kendaraan bermotor. Karena tidak semua mesin bisa mentolerir etanol.,CecepLagi PresidenKopi pertamina pertamina harus bertanggungjawab atas kerusakan seluruh kendaraan bermotor Karena tidak semua mesin bisa mentolerir etanol,negative
@PresidenKopi Bensinnya ditambahin etanol padahal di Pertamina sendiri Bbm nya udah ditambah etanol ,PresidenKopi Bensinnya ditambahin etanol padahal Pertamina sendiri udah ditambah etanol,negative
pertamina kontol pemerintah tolol. motor gue tangkinya tuh gede y puki masa gue harus keep it full setiap saat demi tangki gak ke-isi sama air grgr bensin tolol campur etanol?? mikir dong kontol.,pertamina kontol pemerintah tolol motor tangkinya gede puki masa harus keep full setiap saat demi tangki keisi sama grgr bensin tolol campur etanol mikir dong kontol,negative
@CecepLagi @PresidenKopi @pertamina Betul @pertamina @KementerianESDM jika harga turun mau dikasih etanol 20% pun sy yakin gk akan ada yg protes. Byk yg protes krn apa? 1. Hrg mahal dibandingkan luar negeri tp kualitas kalah. 2. Dicampur bahan lain yg tdk disosialisasikan tp harga sama pasti konsumen curiga.,CecepLagi PresidenKopi pertamina Betul pertamina KementerianESDM jika harga turun dikasih etanol yakin akan protes protes mahal dibandingkan luar negeri kualitas kalah Dicampur bahan lain disosialisasikan harga sama pasti konsumen curiga,negative
@Luspatercept @grok Nah kita pun sbg konsumen harus tau brp persen kandungan etanol yg dipakai di BBM pertamina kalo lebih dari 10% kan berarti pertamina sdh berbuat curang. Dan kalo kebijakan soal etanol ini dipake oleh swasta apakah mereka akan mengurangi kadar etanolnya atau tidak?,Luspatercept grok kita konsumen harus persen kandungan etanol dipakai pertamina kalo lebih dari berarti pertamina berbuat curang kalo kebijakan soal etanol dipake oleh swasta apakah mereka akan mengurangi kadar etanolnya atau tidak,negative
@gb_sleepy @kumparan klw mereka bilang murni berarti beneran murni karena mereka pernah batalin beli bbm dari pertamina karena gk murni uda dicampur etanol,gb_sleepy kumparan mereka bilang murni berarti beneran murni karena mereka pernah batalin beli dari pertamina karena murni dicampur etanol,negative
@Mangkuthok @kumparan yg dibeli BBM murni bukan campuran yg ada etanolnya dulu sempat ambil dari pertamina tapi batal gara2 uda dicampur etanol,Mangkuthok kumparan dibeli murni bukan campuran etanolnya dulu sempat ambil dari pertamina tapi batal gara2 dicampur etanol,negative
@Luspatercept @grok Oh i see bang. Tp bukannya penggunaan etanol itu di negara lain jg udh diterapkan ya. Kalo di sini masyarakatnya udh keburu trust issue sm pertamina udh mah pejabat di pertaminanya korupsi takarannya dikurangi RON nya diubah blm lg kebijakan ngawur dari si bahlil-,Luspatercept grok bang bukannya penggunaan etanol negara lain diterapkan Kalo sini masyarakatnya keburu trust issue pertamina pejabat pertaminanya korupsi takarannya dikurangi diubah kebijakan ngawur dari bahlil,negative
@PresidenKopi Apa ini maksudnya? Etanol kan memang dapat menyerap air dari udara. Ya pasti ada kandungan airnya. Jadi kalau mau aturan E10 diterapkan ada teknologi di pertamina yang karus dimodifikasi. Masa mau main campur gitu aja. Jangan bahlul. https://t.co/2T7mCQiKwS,PresidenKopi maksudnya Etanol memang dapat menyerap dari udara pasti kandungan airnya Jadi kalau aturan diterapkan teknologi pertamina yang karus dimodifikasi Masa main campur gitu Jangan bahlul httpstco2T7mCQiKwS,negative
 DARIMANA IDE BBM CAMPUR ETANOL? Jika ingin bersaing dengan SPBU SWASTA bersainglah secara sehat. Harusnya Pertamina meningkatkan kualitas BBMnya bukan malah menurunkan kualitas BBM. Rakyat dipaksa memakai BBM Pertamina yang jelek. https://t.co/uCUavFXybd,DARIMANA CAMPUR ETANOL Jika ingin bersaing dengan SPBU SWASTA bersainglah secara sehat Harusnya Pertamina meningkatkan kualitas BBMnya bukan malah menurunkan kualitas Rakyat dipaksa memakai Pertamina yang jelek httpstcouCUavFXybd,negative
@CecepLagi @PresidenKopi @pertamina kan kata purbaya juga harga modal pertalite cuma 4000 doang tanpa etanol pun harusnya harga jual pertamina harus turun dong a[lagi sdh campur etanol bensin/pertalite murni yang ternyata campuran,CecepLagi PresidenKopi pertamina kata purbaya juga harga modal pertalite cuma 4000 doang tanpa etanol harusnya harga jual pertamina harus turun dong alagi campur etanol bensinpertalite murni yang ternyata campuran,negative
Laaaah yg dijual ke swasta bahan dasarnya mengandung Etanol. Skrng bilang tidak mengandung etanol Hobby menipu rakyat itu apakah tertuang dalam visi misi perusahaan kaaah Pertamina: Pertalite Tidak Mengandung Etanol https://t.co/9BVfuQdvAp,Laaaah dijual swasta bahan dasarnya mengandung Etanol Skrng bilang tidak mengandung etanol Hobby menipu rakyat apakah tertuang dalam visi misi perusahaan kaaah Pertamina Pertalite Tidak Mengandung Etanol httpstco9BVfuQdvAp,negative
@aditya_rimba @reiikooooooo Pertamina kontol etanol kan nyerep kelembaban yg bisa jadi air kontol semua Pertamina taik BAHLIL gak bisa mikir memeg,aditya_rimba reiikooooooo Pertamina kontol etanol nyerep kelembaban bisa jadi kontol semua Pertamina taik BAHLIL bisa mikir memeg,negative
@Goestono ya setuju om. Pasti gak akan diberi tahu detail. Atau malah dapet instruksi dari para pimpinan SPBU bilang saja bensin dari pertamina ini tidak pake Etanol . Dan petugas SPBU nurut.,Goestono setuju Pasti akan diberi tahu detail Atau malah dapet instruksi dari para pimpinan SPBU bilang saja bensin dari pertamina tidak pake Etanol petugas SPBU nurut,negative
Abis ngisi bensin full tank trs brebet gini amat tinggal di indo etanol bagus kalau kualitas BBM dari pertamina bagus pak lil bahlil kualitas pokokknya aja kek tai benerin dulu aja baru di inovasi,Abis ngisi bensin full tank brebet gini amat tinggal indo etanol bagus kalau kualitas dari pertamina bagus bahlil kualitas pokokknya benerin dulu baru inovasi,negative
Selama Bahlil gak bisa ngurus pertamina jancok itu aku masih jadi haternya Bahlil. @bahlillahadalia udah ya main-main sama etanol orang dzolim yg oplos minyak dengan etanol nanti malah kuburannya dipenuhi etanol,Selama Bahlil bisa ngurus pertamina jancok masih jadi haternya Bahlil bahlillahadalia udah mainmain sama etanol orang dzolim oplos minyak dengan etanol nanti malah kuburannya dipenuhi etanol,negative
RI 1 MR Prabowo Subianto apa ini kedaulatan energi. SDM under skill kriminal bikin bio mass etanol 3 5 % oplosan pertalite. Jadi berair bikin mesin brebet batuk batuk mogok. Menteri direktur kilang operasional pertamina not kredibel integrity jg mutu n nama pertamina.,Prabowo Subianto kedaulatan energi under skill kriminal bikin mass etanol oplosan pertalite Jadi berair bikin mesin brebet batuk batuk mogok Menteri direktur kilang operasional pertamina kredibel integrity mutu nama pertamina,negative
BBM di Indonesia dari pusat dioplos dgn etanol oleh makelar impor Pertamina sampai daerah dioplos dgn minyak sumur ilegal oleh pengusaha SPBU. Persamaannya sama2 kegiatannya dibeking oleh aparat utk setoran ke pimpinannya. Bangsat..,Indonesia dari pusat dioplos etanol oleh makelar impor Pertamina sampai daerah dioplos minyak sumur ilegal oleh pengusaha SPBU Persamaannya sama2 kegiatannya dibeking oleh aparat setoran pimpinannya Bangsat,negative
@Suchie_22 itu ngapain bensinnya pake ditambahin etanol? pdhl bensin pertamina udh ada etanolnya.,Suchie_22 ngapain bensinnya pake ditambahin etanol pdhl bensin pertamina etanolnya,negative
pertamax dioplos pertalite dikei etanol emang buajingan og iki pertamina karo menteri esdm juancok,pertamax dioplos pertalite dikei etanol emang buajingan pertamina karo menteri esdm juancok,negative
@ARSIPAJA Ingat peristiwa rapat sama DPR Bahwa SPBU swasta menolak membeli minyak Pertamax dari Pertamina alasan etanol. Sekarang mulaidi mainkan. Pertalite di buat rusak sehingga rakyat di paksa beli Pertamax.,ARSIPAJA Ingat peristiwa rapat sama Bahwa SPBU swasta menolak membeli minyak Pertamax dari Pertamina alasan etanol Sekarang mulaidi mainkan Pertalite buat rusak sehingga rakyat paksa beli Pertamax,negative
Rusak nama pertamina gara2 dipaksain pemerintah pake etanol sarfasnya belum siap ,Rusak nama pertamina gara2 dipaksain pemerintah pake etanol sarfasnya belum siap,negative
@Ary_PrasKe2 @Anak__Ogi @BiLLRaY2019 @Budionotaslim3 @CakKhum @Cintada16 @elsaday__ @FirzaHusain @HumorJonTampan @jhonsitorus_19 @NgkongRoses Makanya pertamina klo gak bisa buat BBM berkualitas tutup aja. Kasih BBM asing. Udah harganya mahal kualitas buruk ditambahkan etanol segala.. Hancur lebur.. Udah gitu BBM impor dari Singapura pula.. Bangsat.. SAMPAH..,Ary_PrasKe2 Anak__Ogi BiLLRaY2019 Budionotaslim3 CakKhum Cintada16 elsaday__ FirzaHusain HumorJonTampan jhonsitorus_19 NgkongRoses Makanya pertamina bisa buat berkualitas tutup Kasih asing Udah harganya mahal kualitas buruk ditambahkan etanol segala Hancur lebur Udah gitu impor dari Singapura pula Bangsat SAMPAH,negative
@PaltiWest Mending balik lagi 100% BBM atau minyak murni deh di Konoha blm terverifikasi uji kelayakan kendaraan mesin untuk etanol kok maen coba-coba Pertamina mana mau rugi buat ganti rugi motor pelanggan nya kocak Mentri ESDM membolehkan etanol dicampur di BBM Pertamina ,PaltiWest Mending balik lagi atau minyak murni Konoha terverifikasi kelayakan kendaraan mesin untuk etanol maen cobacoba Pertamina mana rugi buat ganti rugi motor pelanggan kocak Mentri ESDM membolehkan etanol dicampur Pertamina,negative
@vigi_lantye @ARSIPAJA kalau (benar) indonesia terikat perjanjian paris lalu kenapa masyarakat tidak di edukasi dengan data? dari standart etanol pertamina keuntungan dan kerugian pakai etanol. karena fakta dilapangan kendaraan pada rusak akibat kebijakan ini dan tidak ada yg (mau) bertanggung jawab,vigi_lantye ARSIPAJA kalau benar indonesia terikat perjanjian paris lalu kenapa masyarakat tidak edukasi dengan data dari standart etanol pertamina keuntungan kerugian pakai etanol karena fakta dilapangan kendaraan pada rusak akibat kebijakan tidak bertanggung jawab,negative
@ingfokan @aditya_rimba @donpandiho Sudah di cek kok tidak ada kandungan etanol atau senyawa lain ini pasti karena ulah aseng (bismillah dirut pertamina) https://t.co/KWxlUkEDIS,ingfokan aditya_rimba donpandiho Sudah tidak kandungan etanol atau senyawa lain pasti karena ulah aseng bismillah dirut pertamina httpstcoKWxlUkEDIS,negative
@aditya_rimba katanya sih enggak ada campur2an...gatau dah yg bener mana..pusing warga pertalite diginiin mulu https://t.co/JX0YXoIEa6,aditya_rimba katanya enggak campur2angatau bener manapusing warga pertalite diginiin mulu httpstcoJX0YXoIEa6,negative
@e100ss Dirunut dari pernyataan pihak SPBU swasta yg batal ambil kuota bbm dr pertamina krn kandungan etanolnya tinggi &amp; diamini sama bahlil soal penggunaan campuran etanol 10% sdh bisa diambil kesimpulan siapa yg memainkan oplosan dr awal tak perlu bermain drama! Emg sdh rusak dr dlm.,e100ss Dirunut dari pernyataan pihak SPBU swasta batal ambil kuota pertamina kandungan etanolnya tinggi diamini sama bahlil soal penggunaan campuran etanol bisa diambil kesimpulan siapa memainkan oplosan awal perlu bermain drama rusak,negative
@yusuf_dumdum Etanol @pertamina Bahlil @golkarpedia merusak motor-2 kok kamu bela ? Gus Pekok !!!,yusuf_dumdum Etanol pertamina Bahlil golkarpedia merusak motor2 kamu bela Pekok,negative
woy pada ngisi bensin dimana jadinya? gue takut motor gue kenapa napa kalo isi di pertamina motor baru 2 bulan pls masa iya jadi burut gara gara bensin campur etanol,pada ngisi bensin dimana jadinya takut motor kenapa napa kalo pertamina motor baru bulan masa jadi burut gara gara bensin campur etanol,negative
@Afakhrudin728 @PaltiWest Pemerintah sendiri yg mengakui ada campuran etanol ketika shell dkk tdk mau beli BBM dr pertamina.. masak berita sdh ditayangken di media gitu msh tanya atas dasar apa..,Afakhrudin728 PaltiWest Pemerintah sendiri mengakui campuran etanol ketika shell beli pertamina masak berita ditayangken media gitu tanya atas dasar,negative
