Review text,teks_bersih
tolong dong email saya ga bisa digunakan lagi jadi pas mau login kode otp nya ga bisa masuk karna emailnya ga aktif sudah chat diana tidak ada pengaruhnya,tolong dong email saya bisa digunakan lagi jadi login kode bisa masuk karna emailnya aktif sudah chat diana tidak pengaruhnya
kenaapa aplikasima eror mulu saat minta otp,kenaapa aplikasima eror mulu saat minta
ok banget,banget
kaga bisa kebuka dana nya,kaga bisa kebuka dana
dengan Dana semua transaksi jadi mudah.,dengan Dana semua transaksi jadi mudah
sangat puas kasih bintang 4 keren,sangat puas kasih bintang keren
👍,
ga jelas suka ngebug udh ada foto qris malah kaga ada pas mau tf,jelas suka ngebug foto qris malah kaga
Bagusss,Bagusss
bagus sekali,bagus sekali
tidak nisa masuk ke akaun perihal nomor tiadak aktif..padahal masih ada saldonya,tidak nisa masuk akaun perihal nomor tiadak aktifpadahal masih saldonya
kadang bisa hilang uang di simpan lama lama disini,kadang bisa hilang uang simpan lama lama disini
tolong kasih aku fitur cicil dana,tolong kasih fitur cicil dana
sangat bermanfaat dan praktis bagi kami pengguna dana,sangat bermanfaat praktis bagi kami pengguna dana
halo kak dana saya tidak bisa di buka dengan alasan jaringan tetatpi di hp lain bisa,halo dana saya tidak bisa buka dengan alasan jaringan tetatpi lain bisa
Tolong aktifkan pitur DANA CICIL saya,Tolong aktifkan pitur DANA CICIL saya
puas banget,puas banget
saya sangat puas dengan pelayanan aplikasinya sangat memuaskn,saya sangat puas dengan pelayanan aplikasinya sangat memuaskn
bagus sekali sangat baik,bagus sekali sangat baik
👍🏽,
great app,great
ok mantap,mantap
ADA FITUR DANA CICIL TAPI LIMIT RP0 LUCU,FITUR DANA CICIL TAPI LIMIT LUCU
mntap,mntap
knapa akun sya gk bisa masukz saya mencoba untuk masuk jaringan bermasalah Mulu pdahal paketan sama wifi aman aman aja gmn nih tolong di perbaiki lagi ya apk nya susah bnget untuk masuk,knapa akun bisa masukz saya mencoba untuk masuk jaringan bermasalah Mulu pdahal paketan sama wifi aman aman tolong perbaiki lagi susah bnget untuk masuk
"kirim uang ke rekening malah trouble, 24 jam lg..",kirim uang rekening malah trouble
saya kasih bintang lima,saya kasih bintang lima
Mantap,Mantap
kenapa ga konex.biasanya pas buka masukin no langsung trbuka ini malah kmbali lg..ke awal.dan terus menerus seperti itu🤒🤒,kenapa konexbiasanya buka masukin langsung trbuka malah kmbali lgke awaldan terus menerus seperti
ganti hp malah gak bisa masuk padahal no hp sama,ganti malah bisa masuk padahal sama
kenapa saya tidak dapat vitur dana cicil,kenapa saya tidak dapat vitur dana cicil
cepat,cepat
gk bisa login blk ke awal lg,bisa login awal
percuma muncul fitur dana cicil tapi pas di buka blank eror putih doang. payah,percuma muncul fitur dana cicil tapi buka blank eror putih doang payah
sangat berguna aplikasi dana di gunakan transaksi,sangat berguna aplikasi dana gunakan transaksi
saya kok g k bisa buka akun dana saya,saya bisa buka akun dana saya
siip,siip
"aplikasi ini bagus banget,, bisa membantu kebutuhan kehidupan.",aplikasi bagus banget bisa membantu kebutuhan kehidupan
mulculkan dana cicil..saya kasih 5 bintang,mulculkan dana cicilsaya kasih bintang
"masak no sdh gk aktip,mau masuk dana pdhl dh trdaftarr susah bnget gk bisa2 tu gimnn .pdhl msih saldonya didlmnya.msu login gk bisa.",masak aktipmau masuk dana pdhl trdaftarr susah bnget bisa2 gimnn pdhl msih saldonya didlmnyamsu login bisa
payah,payah
👌,
ini kenapa kok udah GK bisa isi coin di TT... pdahal kemarin² masih bisa😭😭,kenapa udah bisa coin pdahal kemarin² masih bisa
akun saya tidak bisa transaksi,akun saya tidak bisa transaksi
"aplikasi Dana sangat membantu, semua urusan jd mudah",aplikasi Dana sangat membantu semua urusan mudah
apgret nya kelamaa,apgret kelamaa
GOOODD,GOOODD
good banget dah,good banget
"sy ga pernah menggunakan dana cicil, kenapa ada tagihan cicilan yg ga pernah sy lakukan??? konfirmasi ke cs ga ada kejelasan.. !!!",pernah menggunakan dana cicil kenapa tagihan cicilan pernah lakukan konfirmasi kejelasan
"bintang lima biar di atas, aplikasi ini jika sudah digunakan berkali-kali pada akhirnya malah menyedot dana yang kita miliki, padahal gada tagihan atau hutang apapun, mending pake gopay aja lebih amanah, uang saya hilang begitu saja di dana",bintang lima biar atas aplikasi jika sudah digunakan berkalikali pada akhirnya malah menyedot dana yang kita miliki padahal gada tagihan atau hutang apapun mending pake gopay lebih amanah uang saya hilang begitu saja dana
Nice,Nice
mudahnya muantepe poool,mudahnya muantepe poool
sangat cepat pengiriman,sangat cepat pengiriman
"berjalan lancar,praktis",berjalan lancarpraktis
bagus kalii inii aplikasi,bagus kalii inii aplikasi
menarik,menarik
aplikasi lemot bgt,aplikasi lemot
cukup baik,cukup baik
"permisi admin, tolong adain kirim uang nominal Rp.0 dong, harus ada, maksa ini!!!",permisi admin tolong adain kirim uang nominal dong harus maksa
keren,keren
emang aplikasi sampah!!!,emang aplikasi sampah
koneksi dana kenaa bisa terputus Padahal aplikasi lain lancar,koneksi dana kenaa bisa terputus Padahal aplikasi lain lancar
mantap tuk transaksinya,mantap transaksinya
"saya tidak pernah melakukan aktivitas apa² kenapa saldo saya terkuras,padahal mau saya tabung ke emas,saya nyesel nyimpen uang di dana",saya tidak pernah melakukan aktivitas apa² kenapa saldo saya terkuraspadahal saya tabung emassaya nyesel nyimpen uang dana
transaksi lebih mudah,transaksi lebih mudah
"mantaapppp,,, dana cicil nya gak bisa di pakeee hahaaa🤣🤣🤣🤣",mantaapppp dana cicil bisa pakeee hahaaa
"mantap aplikasi ini,",mantap aplikasi
top markotop,markotop
sangat bagus,sangat bagus
"MINTA TOLONG SAYA MAU UPGRADE DANA PREMIUM MELALUI FOTO COPY KTP SAYA,KARNA KTP SAYA HILANG",MINTA TOLONG SAYA UPGRADE DANA PREMIUM MELALUI FOTO COPY SAYAKARNA SAYA HILANG
simple,simple
top markotop pisan,markotop pisan
"singkat padat, detail",singkat padat detail
"AMAN , BAGUS , FAST PAY , DAN NO 1 DAH , GA PERLU RIBET BUAT TRX NO 1 YH KAN!!",AMAN BAGUS FAST PERLU RIBET BUAT
aku punya saldo di dana ku baru akun aku kena suspen sedangkan saya gk perna ngelakui kriminal? sengaja kasi bintang 5 supaya di notif admin dana,punya saldo dana baru akun kena suspen sedangkan saya perna ngelakui kriminal sengaja kasi bintang supaya notif admin dana
ya kurang oke aja,kurang
sangat membantu simple tanpa ribet,sangat membantu simple tanpa ribet
"lebih baik gausa pake ni aplikasi dripada kejadian kayak org""yang lain",lebih baik gausa pake aplikasi dripada kejadian kayak orgyang lain
Minta di update tapi gak bisa kebuka 'tuk beli pulsa n data,Minta update tapi bisa kebuka beli pulsa data
sangat menyenangkan👍👍👍👍,sangat menyenangkan
gk ada bonusnya,bonusnya
topp banget,topp banget
Saya sangat puas menggunakan dana,Saya sangat puas menggunakan dana
"mudah dan praktis di gunakan, jos, aplikasi finance yang simpel",mudah praktis gunakan aplikasi finance yang simpel
terbaik,terbaik
Alhamdulillah,Alhamdulillah
sangat bagussa,sangat bagussa
sangat baik aplikasi dana,sangat baik aplikasi dana
mohon pembaikan jikah slah kirim nomor bisa utuk di kembalikan dananya,mohon pembaikan jikah slah kirim nomor bisa utuk kembalikan dananya
"pin udah bener malah ada kendala, udah seminggu kayak gini terus, tolong lah developer dana",udah bener malah kendala udah seminggu kayak gini terus tolong developer dana
praktis,praktis
karna harus pake dana premium dan ribetnya,karna harus pake dana premium ribetnya
aku top AP dana malah gak masuk,dana malah masuk
sangat memudahkan,sangat memudahkan
"suruh ajuin dana cicilan ,eh dapet limit nya cuman 150 ribu 😂😂😂🤭👍 gak guna dana cicilan 150 ribu🤦‍♂️",suruh ajuin dana cicilan dapet limit cuman ribu guna dana cicilan ribu
mantap dompet digital nya,mantap dompet digital
mntap skali,mntap skali
bagusssss,bagusssss
sangat mudah untuk menarik dan transfer uang dari jarak,sangat mudah untuk menarik transfer uang dari jarak
lebih praktis mantaf,lebih praktis mantaf
makin parah selesai update malah TDK BS d buka,makin parah selesai update malah buka
best pokoknya...,best pokoknya
Ku kasih 2 bintang daftar nomor hp berulang ga bisa2,kasih bintang daftar nomor berulang bisa2
apk mantapp banget dah,mantapp banget
ok,
kenapa mw masuk akun dana gk bsa ya...apa penyebabnya ya,kenapa masuk akun dana yaapa penyebabnya
sipel,sipel
"aplikasi ribet, katanya jaminan uang kembali, aq kena pembayaran tanpa sepengetahuan ku! Sama aja Dana mencuri, saya hubungi pusat bantuan tapi ga guna",aplikasi ribet katanya jaminan uang kembali kena pembayaran tanpa sepengetahuan Sama Dana mencuri saya hubungi pusat bantuan tapi guna
"Mengecewakan saya mau makan padahal pake ada kendala. Lama lagi gak lagi pake dana, kedua di tanggal 30/12/2025, please saya malu banget di app status berhasil merchant belum terima apa apa, saya sampai bertengkar dengan pihak merchant. saya tidak mengerti bagaimana proses nya bisa kaya gini, saya mau buat laporan tidak diproses dengan dalih dana bilang tetap berhasil dan saya telpon cs selalu mati ketika saya mau nyebutin email. kenapa ya saya ada salah apa ya sebagai customer. tolong lah",Mengecewakan saya makan padahal pake kendala Lama lagi lagi pake dana kedua tanggal 30122025 please saya malu banget status berhasil merchant belum terima saya sampai bertengkar dengan pihak merchant saya tidak mengerti bagaimana proses bisa kaya gini saya buat laporan tidak diproses dengan dalih dana bilang tetap berhasil saya telpon selalu mati ketika saya nyebutin email kenapa saya salah sebagai customer tolong
okee,okee
"server dana eror ya? saya top up saldo Rp30.000 barusan ko sampe sekarang belom masuk udah saya coba refles berkali"" sama liat inbox ga ada tulisan uang masuk ke akun dana saya padahal saya sudah top up di indomaret dan terbuktu sudah di bayar dan di transfer ke akun saya tapi sampai sekarang belu masauk ke akun saya, minta bantuannya dong masa di korup dit saya🗿, kalo gini terus bisa rungkad ni setiap top up malah delay, saya coba tunggu 1x24 jam saldo ga masuk= sedekah, hedeh hedeh ga lagi""🤬",server dana eror saya saldo Rp30000 barusan sampe sekarang belom masuk udah saya coba refles berkali sama liat inbox tulisan uang masuk akun dana saya padahal saya sudah indomaret terbuktu sudah bayar transfer akun saya tapi sampai sekarang belu masauk akun saya minta bantuannya dong masa korup saya kalo gini terus bisa rungkad setiap malah delay saya coba tunggu 1x24 saldo masuk sedekah hedeh hedeh lagi
good recommended,good recommended
aplikasi ini mantap,aplikasi mantap
sangat senang,sangat senang
diananya jga gk bisa dibuka sudah saya coba berbagai metode tersebut... tp gk muncul apapun loading terus..,diananya bisa dibuka sudah saya coba berbagai metode tersebut muncul apapun loading terus
"makasih ,saya sangat terbantu dgn DANA",makasih saya sangat terbantu DANA
"mantap, dan mudah",mantap mudah
saya sangat senang,saya sangat senang
sangat membantu sekali,sangat membantu sekali
Karena saya tidak ada di menu dana instan,Karena saya tidak menu dana instan
sangat buruk tidak bisa loging ke akun dana padahal masih ada saldo y,sangat buruk tidak bisa loging akun dana padahal masih saldo
Makin kesini di pakai makin eror. ga bisa buat cepet cepet urusan krjaan. cek transaksi aja susah bngat. wifi oke Data oke. tolong d perbaiki...,Makin kesini pakai makin eror bisa buat cepet cepet urusan krjaan transaksi susah bngat wifi Data tolong perbaiki
Gimna ini min tidak bisaa masukin pin aneh mana no nya udah ilangg ribet amat diana juga gabisaa ngatasi masalah nya saldo gua gabisa di ambill jangan banyak update muluu makan nya,Gimna tidak bisaa masukin aneh mana udah ilangg ribet amat diana juga gabisaa ngatasi masalah saldo gabisa ambill jangan banyak update muluu makan
"update bukanya makin baik mlh makin buruk, makin ky tmbelek ni apk",update bukanya makin baik makin buruk makin tmbelek
sangat membntu,sangat membntu
mantul,mantul
dana rekomended,dana rekomended
Aman dan cepat,Aman cepat
bagus sangat bagus..tapi kenapa dana cicil hilang setelah diperbarui,bagus sangat bagustapi kenapa dana cicil hilang setelah diperbarui
"maksud apk-nya ini bagai mana gak di mini market atau agen sama aja kena admin, tanpa pemberitahuan 1.500 tiap transaksi juga banyak itu dana sekarang ga worth it👎",maksud apknya bagai mana mini market atau agen sama kena admin tanpa pemberitahuan 1500 tiap transaksi juga banyak dana sekarang worth
aplikasi yang gambang untuk mentransfer uang ke akun dana dan mudah di gunakan untuk membeli pulsa dan data,aplikasi yang gambang untuk mentransfer uang akun dana mudah gunakan untuk membeli pulsa data
aplikasi jelek,aplikasi jelek
"saya tdk bisa login. nomer bnar dan masih aktif sandi juga sdah benar dudah verifikasi wajah namun tidak bisa login. selalu bertulisksn "" yah ada kendala dalam proses ini.coba lagi""",saya bisa login nomer bnar masih aktif sandi juga sdah benar dudah verifikasi wajah namun tidak bisa login selalu bertulisksn kendala dalam proses inicoba lagi
"tolong dana jgn suka eror, biar bagus terus",tolong dana suka eror biar bagus terus
"saya barusan top up ke dana dari BNI ke dana kok saldo saya ga masuk""",saya barusan dana dari dana saldo saya masuk
puas,puas
"sangat baik dan bagus, sayang nya saya belum terpilih untuk menikmati fitur beta terbaru di apk dana ini",sangat baik bagus sayang saya belum terpilih untuk menikmati fitur beta terbaru dana
memudahkan semuanya,memudahkan semuanya
bereh,bereh
mau kasih 3 dlu ini dari berapa bulan dana cicil limit ada tapi tidak berlaku terus guna nya ada dana cicil kan buat membantu ko gbisa sama aja lah tlong dong ini gimana,kasih dari berapa bulan dana cicil limit tapi tidak berlaku terus guna dana cicil buat membantu gbisa sama tlong dong gimana
Uang tiba tiba hilang padahal ga ada langganan lain nya,Uang tiba tiba hilang padahal langganan lain
ini kok dabis saya cetak QRIS nya lama bgt padahal udh ditunggu 1 minggu lebih tpi blm bisa di cetak mohon bantuannya min 🙏,dabis saya cetak QRIS lama padahal ditunggu minggu lebih bisa cetak mohon bantuannya
sangat bagus dan aman🥰🥰🥰,sangat bagus aman
sangat mudah digunakan,sangat mudah digunakan
mudah dan cepat,mudah cepat
Ini Aplikasi Kenapa Dah Masalah Jaringa Terus Asu Uang Gua Gimana Ini Asu Lah,Aplikasi Kenapa Masalah Jaringa Terus Uang Gimana
susah di bukanya,susah bukanya
mantap ini dana👍,mantap dana
mohon izin admin dana saya menemukan adanya penipuan tentang apk dana ini dengan mengatas namakan apk dana yg memberi hadiah malam tahun baru dengan nominal 2jt rupiah mohon untuk admin apk dana untuk memperifikasi nya agar tidak menimbulkan keresahan atas adanya penipuan dengan hadiah tersebut mohon atas kerja samanya 😇🙏🙏,mohon izin admin dana saya menemukan adanya penipuan tentang dana dengan mengatas namakan dana memberi hadiah malam tahun baru dengan nominal rupiah mohon untuk admin dana untuk memperifikasi agar tidak menimbulkan keresahan atas adanya penipuan dengan hadiah tersebut mohon atas kerja samanya
"terimakasih Dana,sangat membantu.",terimakasih Danasangat membantu
"mohon pengajuan dana cicil saya, di terima, klw Diana yg di hubungi, sama aaja GK ada respon",mohon pengajuan dana cicil saya terima Diana hubungi sama aaja respon
kenapa saya tidak muncul dana cicil kk,kenapa saya tidak muncul dana cicil
ssngat membantu sekali.,ssngat membantu sekali
cukup baik dan membantu,cukup baik membantu
bagus dan aman,bagus aman
Bisa ganti no ga sih,Bisa ganti
bagus dan sangat membantu fitur dana cicilnya. terimakasih,bagus sangat membantu fitur dana cicilnya terimakasih
apk nya sangat mudah di gunakan dan sangat bermanfaat bagi saya terimakasih,sangat mudah gunakan sangat bermanfaat bagi saya terimakasih
luar biasa,luar biasa
jos,
🙏👍,
"ini gimana min akun saya di bekukan saya minta solusi di cs kok gabisa di aktifkan kembali padahal saya bersedia untuk verifikasi kembali kak , kok parahh bgtt yaa kak gada solusi sama sekali dari cs nua",gimana akun saya bekukan saya minta solusi gabisa aktifkan kembali padahal saya bersedia untuk verifikasi kembali parahh bgtt gada solusi sama sekali dari
good,good
"sangat membantu, layanan cepat terima kasih dana",sangat membantu layanan cepat terima kasih dana
kenapa tidak ada dana cicil padahal saya sudah memenuhi persyaratan nya,kenapa tidak dana cicil padahal saya sudah memenuhi persyaratan
Dana cicil gak bisa dipake,Dana cicil bisa dipake
saya toap saldo sopeepay jaga masuk ini semakin lama aplikasi ini udah mulai menipu orang,saya toap saldo sopeepay jaga masuk semakin lama aplikasi udah mulai menipu orang
"aplikasi sangant mantap dan membantu transaksi , sayangnya dana saya tidak ada dana cicil",aplikasi sangant mantap membantu transaksi sayangnya dana saya tidak dana cicil
"dana harusnya klo no sudah hangus..verifikasi nya lewat ktp aja kn waktu daptar pake ktp nik..jd ribet klo kartu hilang,,hilang juga saldo saya..dah pin masuk permuk masuk..ehh minta otp,,kan kartunya hilang,",dana harusnya sudah hangusverifikasi lewat waktu daptar pake nikjd ribet kartu hilanghilang juga saldo sayadah masuk permuk masukehh minta otpkan kartunya hilang
oke banget,banget
the best,best
enk banget,banget
mantepppp,mantepppp
aplikasinya bagus sangat membatu sekali,aplikasinya bagus sangat membatu sekali
lumayan,lumayan
fine,fine
aplikasi ini sangat bagus,aplikasi sangat bagus
mantap banget,mantap banget
dana anj,dana
sip untuk transaksi,untuk transaksi
sangat membatu buat transaksi,sangat membatu buat transaksi
Sangat membantu dalam hal transaksi dlm segala hal,Sangat membantu dalam transaksi segala
"tolong pihak dana ko saldo saya setiap bulan ke potong terus sendiri, tolonglah ganti atau ubah cara transaksinya masa saya tidak mengetahui transaksi tiba tiba ke potong ini bukan 1 atau 2 kali tapi setiap bulan kepotong ini sangat merugikan saya jadi mohon pihak dana kalau tidak bisa dikembalikan mending ganti saja metode transaksinya, uang itu saya butuh tapi suka ke potong 🙏🙏",tolong pihak dana saldo saya setiap bulan potong terus sendiri tolonglah ganti atau ubah cara transaksinya masa saya tidak mengetahui transaksi tiba tiba potong bukan atau kali tapi setiap bulan kepotong sangat merugikan saya jadi mohon pihak dana kalau tidak bisa dikembalikan mending ganti saja metode transaksinya uang saya butuh tapi suka potong
uang saya hilang di dana sebesar 250.000 sudah pengajuan di CS dana di beri estimasi 6 hari dan udah lewat belum balik juga,uang saya hilang dana sebesar 250000 sudah pengajuan dana beri estimasi hari udah lewat belum balik juga
oke,
pokoknya 👍👍⭐⭐⭐⭐⭐,pokoknya
"apk dah gk jls, skrng tiba"" saldo kepotong +suka eror 👎",skrng tiba saldo kepotong suka eror
udh download aplikasi dana.loding trs g kebuka2 mohon d bantu,download aplikasi danaloding kebuka2 mohon bantu
"sangat bagus untuk bertransaksi sangat mudah, dan sangat mudah di pahami",sangat bagus untuk bertransaksi sangat mudah sangat mudah pahami
sngt membantu dlm transfer tdk pake lama.,sngt membantu transfer pake lama
"boos dana saya kembali kan,2 jta Lo ambil bangke",boos dana saya kembali kan2 ambil bangke
sangat fleksibel praktis dan tentu AMAN,sangat fleksibel praktis tentu AMAN
sangat mudah di gunakan dan 100% aman,sangat mudah gunakan aman
mantaff,mantaff
"Tidak menanggapi mulu, gabisa dipake",Tidak menanggapi mulu gabisa dipake
mohon dana cicil bisa dicicil,mohon dana cicil bisa dicicil
DANA APLIKASI MALING suka motong 500/1000 duit gua kepotong mulu tanpa mutasi,DANA APLIKASI MALING suka motong 5001000 duit kepotong mulu tanpa mutasi
gratis biaya kirim,gratis biaya kirim
hati hati para pengguna dana saldo saya hilang sebesar Rp 525.500 oleh oknum cs yang bernama Vara dan tim resolusi nya saya membuat laporan pada tanggal 23-12-2025 dan di suruh menunggu tiga hari dan sampai hari tanggal 30-12-2025 saya menanyakan soal pengembalian saldo saya dan dengan mudah nya bilang kami tidak menjanjikan saldo anda kembali silakan tunggu 7 hari,hati hati para pengguna dana saldo saya hilang sebesar 525500 oleh oknum yang bernama Vara resolusi saya membuat laporan pada tanggal 23122025 suruh menunggu tiga hari sampai hari tanggal 30122025 saya menanyakan soal pengembalian saldo saya dengan mudah bilang kami tidak menjanjikan saldo anda kembali silakan tunggu hari
saya suka aplikasi dana dan tetap akan pakai aplikasi ini,saya suka aplikasi dana tetap akan pakai aplikasi
tidak bisa tarik saldo dana bisnis. tidak ada live chat yang bisa bantu,tidak bisa tarik saldo dana bisnis tidak live chat yang bisa bantu
pakai tahunan dana cicil gk ada aneh,pakai tahunan dana cicil aneh
mantapp,mantapp
apps dana mantap,apps dana mantap
"sangat mengecewakan (dipastikan uang hilang) top up e-toll mandiri melalui aplikasi dana 3 kali berturut ² saldo 500rb ,100rb dan 50rb karena saya mau top up dengan jumlah 650rb saldo dana sudah terpotong tapi tidak masuk ke e-toll menghubungi pusat bantuan di aplikasi dana dari tanggal 23 Desember sampai sekarang belum ada penyelasaian hanya di suruh menunggu dan tidak ada kelanjutan alias (hilang) via pusat bantuan 14000 bankmandiri juga di suruh menunggu live chat sampai pulsa terkuras habis",sangat mengecewakan dipastikan uang hilang etoll mandiri melalui aplikasi dana kali berturut saldo 500rb 100rb 50rb karena saya dengan jumlah 650rb saldo dana sudah terpotong tapi tidak masuk etoll menghubungi pusat bantuan aplikasi dana dari tanggal Desember sampai sekarang belum penyelasaian hanya suruh menunggu tidak kelanjutan alias hilang pusat bantuan 14000 bankmandiri juga suruh menunggu live chat sampai pulsa terkuras habis
Aplikasi gampang dibobol dan rentan disedot Dana kita,Aplikasi gampang dibobol rentan disedot Dana kita
mantappp pokonya 😍 trimksih bnyk DANA,mantappp pokonya trimksih bnyk DANA
kepada pihak dana yg terhormat akun dana saya kenapa belom ada dana cicil tolong kepada pihak dana update terbaru secepatnya,kepada pihak dana terhormat akun dana saya kenapa belom dana cicil tolong kepada pihak dana update terbaru secepatnya
gua gak bisa login dana .luh minta otp trus sdangkan kartu nya hilang d curi sama hp nya.kn gua udah daftarkn wajah sama email gua ttp ajh gk bisa login jmbut,bisa login dana minta trus sdangkan kartu hilang curi sama nyakn udah daftarkn wajah sama email bisa login jmbut
membantu buat tranfer uwang ke karyawan uwang aman terus,membantu buat tranfer uwang karyawan uwang aman terus
top up saldo Brizzi udah sukses tapi di kartu brizzi belum masuk.udah komplain katanya nunggu 5hari...ini uda lewat gak ada kabar...masak uang gak kembali,saldo Brizzi udah sukses tapi kartu brizzi belum masukudah komplain katanya nunggu 5hariini lewat kabarmasak uang kembali
goodz,goodz
tolol kalo buat pengaduan ngomong nya muter²,tolol kalo buat pengaduan ngomong muter²
"Punya dana cicil tapi gak bisa di buka, cuma warna putih",Punya dana cicil tapi bisa buka cuma warna putih
"saya masuk aplikasi dana tapi disuruh memperbaharui, tapi nomer saya udah gak aktif bagaimana ini",saya masuk aplikasi dana tapi disuruh memperbaharui tapi nomer saya udah aktif bagaimana
keren banget,keren banget
saya ngisi etol100 rb dari tanggal 25 sampe skrang ga msuk masuk katanya nunggu 3 hari Skrang udah lebih pelayanan dana kacau skrangnmah lelet,saya ngisi etol100 dari tanggal sampe skrang msuk masuk katanya nunggu hari Skrang udah lebih pelayanan dana kacau skrangnmah lelet
akun dana saya tiba tiba tidak dapat di gunakan.,akun dana saya tiba tiba tidak dapat gunakan
sangat tidak puas,sangat tidak puas
sangat bagus dan berguna untuk kita sehari²,sangat bagus berguna untuk kita sehari²
saya suka dengan dompet digital ini karna fitur lengkap ada minigemes juga ayo deh cobain,saya suka dengan dompet digital karna fitur lengkap minigemes juga cobain
"makin kesini makin cacad ini dana, tidak ada koneksi internet padahal sinyal lancar",makin kesini makin cacad dana tidak koneksi internet padahal sinyal lancar
sangat berguna untuk pembayaran tagihan,sangat berguna untuk pembayaran tagihan
beli emas transaksi berhasil tapi emas belum masuk,beli emas transaksi berhasil tapi emas belum masuk
mantab,mantab
di hp Infinix koneksi terputus terus,Infinix koneksi terputus terus
nyoba dulu soalnya pertama kali pakai,nyoba dulu soalnya pertama kali pakai
kenapa pas saya mau masuk ke premium tdak boleh buka ni aplikasi?,kenapa saya masuk premium tdak boleh buka aplikasi
"lemot,pusat bantuan tidak membantu sama sekali",lemotpusat bantuan tidak membantu sama sekali
sangat baik dalam bertransaksi tapi ada bug dana cicilnya tidak bisa d buka 🙏🙏 aplgi sya sudah lama menggunakan. dana TPI tetap belum bisa d buka mohon develofer di bantu 🙏,sangat baik dalam bertransaksi tapi dana cicilnya tidak bisa buka aplgi sudah lama menggunakan dana tetap belum bisa buka mohon develofer bantu
bagus dan mudah,bagus mudah
