steming_data,score,label
gempa kait langsung potensi gempa megathrust widjo kongko pakar tsunami brin kutip,14,positive
barubaru gempa bumi magnitudo skala richter landa kabupaten cianjur jawa barat badan riset inovasi nasional brin gempa cianjur gempa dangkal kait potensi gempa megathrust selatan jawa,22,positive
indonesia wilayah rawan gempa bumi kecuali gempa sebab zona megathrust indonesia wilayah jawa barat selatan barat daya sumatra simpan potensi gempa bumi megathrust,10,positive
kenal megathrust gempa ancam wilayah indonesia gempa bumi megathrust sebab temu lempeng samudera indonesia australia lempeng benua eurasia ancam megathrust wilayah selatan jawa sebab tsunami,11,positive
bosan gue lihat manusia kayak tuhan anjir kesal gue lihat manusia kayak megathrust emosi gue lihat manusia kayak ya tuhan guwe sabar banget,33,positive
megathrust ya sabar pengin nyambut banget banget banget pengin banget megathrust indonesia kena azab cepat banyak cocot etik jelek bosan gue lihat manusia kayak mending tsunami gempa banjir megathrust,19,positive
megathrust ya sabar pengin nyambut banget banget banget pengin banget megathrust,13,positive
bieela megathrust ya sabar pengin nyambut banget banget banget pengin banget megathrust,13,positive
megathrust ya sabar pengin nyambut banget,10,positive
kau berita wujud,-2,negative
hina jawa model nih bikin megathrust cepat jawa ngusir sampah,-3,negative
potensi gempa megathrust sr tsunami meter selatan jawa geografi kontekstual learning,7,positive
daftar zona gempa megathrust bahaya wajib,-2,negative
indonesia zona megathrust daftar bahaya wajib,-6,negative
tuhan yesus tahumalapetaka orang dosa percaya tuhan yesus orang percaya lindung malapetaka,5,positive
syahkm ruu kuhp indak hina meloloakan periodesemoga jaarta kena megathrustkalin timbun jabat laknat,-15,negative
picu gempa megathrust,4,positive
gempa bumi megathrust potensi indonesia,7,positive
ancam gempa indonesia sesar aktif zona megathrust langitid cahayamenujukebaikan,2,positive
waspada zona megathrust sesar aktif indonesia,5,positive
dasar kaji ahli zona megathrust selatan jawa milik potensi gempa magnitudo maksimum,12,positive
aman bmkg gempa sukabumi gempa benioff megathrust,8,positive
detik lumayan kencang,4,positive
tbtb random banget orang kantor nanyain megathrust gue trigger baca ulang gue pikir bahas jakarta dampak tsunami lari mana ya arah mitigasinya minim gembar gembor potensi doang,4,positive
peta bencana nasional bmkg zona megathrust sesar aktif,-3,negative
megathrust,0,neutral
malapetaka orang dosa orang percaya tuhan lindung bahaya kati segalapekerjaan,-5,negative
nih jabat covid desember gempa abu vulkanik longsor wabah alami tahuapa uang covid sponsor berjalanmalapetaka orang dosa,-6,negative
bom uu kuhp ancam gempa megathrust wis turu wae,1,positive
gempa guncang sukabumi bmkg gempa kerak dangkal cianjur megathrust lengkapcepatberitanya beritaterkini berita news beritanasional,0,neutral
indonesia siaga ya antisipasi potensi gempa megathrust amp tsunami meter pesisir pantai jabar teliti amitamit,18,positive
megathrust tuh,0,neutral
gempa sukabumi bmkg megathrust,4,positive
gempa kerak dangkal cianjur jiga gempa megathrust,7,positive
khas gempa megathrust selatan jawa tsunami senyap,9,positive
selat sunda potensi gempa megathrust mitigasi lampung,7,positive
waspada sebar gelombang tsunami akibat gempa megathrust potensi guncang jawa,8,positive
riset bmkg indonesia potensi tsunami meter gempa megathrust via,7,positive
kaya efek viral berita sunda megathrust ya waspada banget gempa darat kayak laut lihat info bmkg,11,positive
om uncover jalur megathrust kah,-4,negative
wajah bumi panas anomali suhu surface global surface laut kuning fahrenheit panas merah fahrenheit panas hitam ubah biru fahrenheit dingin,12,positive
waspada wilayah selatan jawa intai gempa megathrust outer rise,7,positive
moga batas prediksi tsunami akibat gempa megathrust pulau jawa simak sebar gelombang,9,positive
bikin berita nakutinbikin panik titik bencana indonesia hadap megathrust potensi gempa tsunami,-9,negative
bmkg gempa jember zona megathrust picu tsunami,4,positive
gempa jember pusat zona subduksi lempeng indoaustralia lempeng eurasia,7,positive
gempa jember pusat zona subduksi lempeng indoaustralia lempeng eurasia,7,positive
malapetaka orang percaya tuhan yesus orang percaya dilindungimaka tobat tuhan yesus tinggal iblis rasuk,2,positive
waspada domisili ring megathrust sesar aktif tidaksemoga edukasi teman teman dekat minimal gempa tertawa cari jalur evakuasi,5,positive
mak gue siapin tas kayak kabur gegara berita hoax megathrust yaela berita,-21,negative
prediksi ancam selatan jakarta dilewatin sesar baribis utara depok blok relatif turun kaya kemarin artikel nyebut jakarta potensi gempa megathrust sr looking from history record gempa an amp an,6,positive
gempa gunung letus moga indonesia baikbaik baik gempa skala diam simpan energi timbul megathrust jadi,7,positive
takut gempa gempa megathrust sr mudah doa hadist zaman datang dajjal gempa tanda muncul dajjal wallahualam,16,positive
outer rise samping zona megathrust timbul tsunami keliru megathrust model sanriku jepang merah megathrust biru outer rise tsunami,1,positive
waspada gempa ya megathrust moga buruk,7,positive
maaf peta gempa jember ls referensi bmkg gentas subduksi mohon kasih jelas dalam megathrust amp subduksi,17,positive
cianjur sesar info sesar kubur catat patah cimandiri gerak gempa kali sore zona subduksi lempeng titik megathrust,-6,negative
pesisir selatan jawa gempa kali jam titik megathrust titik temu lempeng tektonik benua beda cianjur gempa patah sesar lokal,-2,negative
gempa titik megathrust,1,positive
armybts ingat panik bego potensi megathrust earthquakes and tsunamis is real bro mesti laku ajar mitigasi bencana stakeholder libat,-4,negative
degan banget gempa megathrust ancam tsunami allah protect my loved ones indonesia,6,positive
potensi megathrust,3,positive
gempa titik megathrust jawa hmm gempa turun gempa,10,positive
gempa titik megathrust hari hmmmm,1,positive
gempa titik megathrust selatan jawa timur merambet sesuai potensi gempa prediksi sd magnitudo potensi tsunami mecapai meter moga amin moga lindung,26,positive
teliti deputi bidang geofisika bmkg muhammad sadly info gempa bumi megathrust sifat gempa megathrust,5,positive
sumber gempa zona subduksi zona outer rise picu gempa selatan jember zona sumber gempa lupa tsunami mati akibat kalah pamor zona megathrust pakar media masyarakat,13,positive
gempa zona subduksi outer rise selatan jatim patut waspada zona megathrust mekanisme patah turun picu tsunami gempa dahsyat sumba,12,positive
dampak ikut buka bersiapapkh megathrust,-3,negative
duh pas zona megathrust segmen jateng jatim tunggu moga foreshocks,1,positive
gempa zona subduksi outer rise selatan jatim patut waspada zona megathrust mekanisme patah turun picu tsunami gempa dahsyat sumba tsunami tel korban ratus orang sumbawa selatan,8,positive
moga picu megathrust,1,positive
tanda foreshock gempa megathrust,2,positive
moga megathrust,1,positive
moga megathrust,1,positive
megathrust selatan jawa,0,neutral
jember patah megathrust,-4,negative
lokasi gempa pas megathrust v,7,positive
megathrust,0,neutral
uncover masuk zona megathrust kah mas,-3,negative
jadi sih megathrust seram banget hopefully aman serta amin ya mujiib,7,positive
sebentar gununggunung letus gempagempa megathrust tsunami hujan juta meteor banjir nuh jilid gemuruh alam sambut bumi pimpin orang sang pimpin zaman al imam al mahdi as,-2,negative
potensi iya doa moga waspada,11,positive
sebentar gununggunung letus gempagempa megathrust tsunami hujan juta meteor banjir nuh jilid gemuruh alam sambut bumi pimpin orang sang pimpin zaman al imam al mahdi as,-2,negative
tuhan yesus tanda alami manusia lindung manusia malapetakakarena malapetaka untuk orang percaya tuhan yesus,8,positive
awas selatan jawa potensi gempa megathrust tsunami meter,11,positive
gempa cianjurgarutlombok rentet menujumegathrust,4,positive
jakarta ancam potensi gempa bumi megathrust sr tsunami meter kataahli,3,positive
mudah sungguh bijak meminjdahkan ibukota hindar macan,11,positive
gempa megathrust prediksi jakarta jelas pakar geodesi itb,7,positive
orang jahatyah ingat waspada megathrust,5,positive
ibukota negara pindah kalimantan sesar nama sesar baribis bentang purwakarta rangkas bitung lewat bekas selatan jakarta amp tangerang potensi gempa megatrust kadrun nyinyir,11,positive
sesar baribis aktif jakarta ancam potensi gempa bumi megathrust sr tsunami meter ahli,5,positive
ngeri lihat akun notif gempa bumi tambah konsekuensi hidup ring of fire lempeng megathrust,5,positive
tanda rangkai megathrust jawa selatan isu bencana,-12,negative
riset bmkg prediksi laut selatan pulau jawa tsunami picu gempa megathrustbelum sesar jawa aktifnyatp moga allah subhanahu wa taala jauh bencana brjalan kehendaknyaaamiin,4,positive
bmkg keluar statemen sesar lembang megathrust dll gerak tambah panik masyarakat waspada,-1,negative
akhirakhir aktivitas gempa daerah selatan pulau jawa aktif moga tanda gejolak megathrust,6,positive
problem besar banjir rob fakta air laut pindah topik salah timbang daya dukung ibukota mana posisi jakarta area penuh bencana sesar potensi megathrust,-1,negative
gempa sekatastrof sih gempa pusat laut barat daya sukabumi zona megathrust,11,positive
moga perintah daerah jawa barat menyiapin cegah potensi gempa bumi megathrust tsunami meter pesisir pantai selatan jawa barat prediksi,14,positive
megathrust gempa garut intraslab jelas,5,positive
gempa megathrust gempa potensi timbul tsunami,8,positive
member megathrust kakak ipar megawati samasama bahaya masyarakat nder stay safe,-5,negative
member maksud megathrust ya monmaap tau,3,positive
youtube jelas bmkg anggap ancam gempa sunda megathrust gempa kota jabar,7,positive
tolong kepala bmkg presiden latih simulasi gempa nasional jabar masyarakat antisipasi jelas ancam sunda megathrust warga ungsi kalimantan,16,positive
pantai selatan pulau jawa ya sih megathrust,5,positive
sunda megathrust,0,neutral
bmkg ingat ancam gempa megathrust selat sunda gempa daerah jawa barat pantai selatan cianjur tasik sukabumi jabodetabek moga perintah kasih ingat resmi latih simulasi gempa,21,positive
kemarin gempa garut jam tasik jam cianjur min coba bahas ancam sunda megathrust gejala kasih ingat resmi masyarakat,10,positive
gempa dahsyat magnitudo guncang garut rangkai megathrust sindonews bukanberitabiasa,-1,negative
tunggu gempa megathrust,5,positive
gempa megathrust ancam potensi tsunami meter wilayah zona megathrust prediksi tumbu,6,positive
moga gejala sunda megathurst bmkg januari ingat gempa megathrust selat sunda,7,positive
lempeng ya banget ya salah lempeng megathrust ya,9,positive
nilai aman bmkg pulau kalimantan bebas zona gempa megathrust dukung ikn nusantara kotaduniauntuksemua iknsejahterakanindonesia iknpemerataanekonomi ikntingkatkankesejahteraan dukungiknnusantara indonesiamaju ibukotabarumendunia,9,positive
lembang potensi gempa megathrust bencanaalam premankampus,7,positive
bismillaah baca berita megathrust takut teman muslim tinggal hadits rasulullaah saw jelang zaman muncul gempa bumi bencana kenal korban,6,positive
den iya tsunami hasil tara tsunami gempa megathrust,9,positive
budi nek ning jowo sak gedene megathrust isih kalah gede karo distrust eaaaa,-2,negative
jakarta waspada ancam gempa bumi megathrust sr tsunami meter jelas,4,positive
ya allah keri tobaat ya allahmemohon kepada ya ghaffarampuni dosa ya allah ampun selamat,24,positive
gempa picu gempa sukabumi sumur banten pangandaran sesar lembang gerak terusmenerus takut ujung gempa megathrust pulau jawa mudah doa,18,positive
gitasav gitasav mulu pikir patah megathrust pusing hamba ya rabb hamba mohon lindung umat mana amin lindung akhlak opini ya rabb gusur adab jaman karuan rahmat jalan amin,19,positive
kenal megathrust gempa ancam wilayah indonesia,3,positive
duhjakarta metropolitan nasib ibukota teliti bicara gempa megathrust sr presiden ikn kalimantan pilih ibukota,5,positive
heboh megathrust,1,positive
megathrust picu indonesia rawan tsunami simak jelas ahli,-1,negative
omong sesar lembang kemarin lihat berita isu megathrust bom sih,-5,negative
bahas tarik bikin aware gempa megathrust amit,4,positive
rusli sesar baribis patah jarak selatan jakarta,-1,negative
tidur halaman untung manusia lupa lusa tidur rumah,16,positive
jakartadalambahayaaktivitassesarcimandirisesarbaribisdangempabumimegathrustsr,0,neutral
urus perang coba saing aceh,-1,negative
ya tanda megathrust ya allah stay safe ya,15,positive
waspada jalur megathrust buruk sih din,-6,negative
firasat buruk jalur megathrust,-8,negative
yepss lihat lempeng tektonik picu megathrust,3,positive
gempa megathrust ancam pansela rumah warga kebumen tahan gempa,8,positive
menganalisa sungai laut zona megathrust tawa sumatera barat potensi tsunami,3,positive
gempa bumi guncang wilayah barat daya cianjur jawa barat timbul rusa serius sebab banyak korban jiwa jatuh gempa kuat magnitudo akibat rusa potensi,6,positive
kabar gempa megathrust tsunami jabar meter sih,9,positive
bahan overthinking simak isu megathrust,-1,negative
ajar geografi jdibencana megathrust trjdi pecahny batas lempeng lempeng tektonik ketemu zona subduksi kurleb sih cmiiw,-1,negative
malam gempa susul ya cianjur perhati rentang gempa berjalanbergerak ovt megathrust rangkak ya rabb lindung selamat bencana,19,positive
gempa cianjur ancam gempa jakarta megathrust magnitudo via,4,positive
waspada megathrust pantai selatan ganjar imbau warga perhati konstruksi bangun,9,positive
waspada megathrust pantai selatan ganjar imbau warga perhati konstruksi bangun,9,positive
potensi megathrust pantai selatan pansela jawa waspada gubernur ganjar pranowo imbau warga bangun tahan gempa,17,positive
sunda megathrust ancam indonesia,-4,negative
hah sambung ya kemarin pangandaran cianjur sukabumi persis kayak jalur gambar sesar megathrust,-4,negative
bingung yuk coba baca peta reta indonesia biar waspada src,13,positive
xnhdksjdkdhd megathrust,0,neutral
mitigasi bencana adik gempa isu megathrust gema siaga tidur pintu tas ransel,2,positive
indonesia cincin api gempa hidup sesar aktif kepung via,12,positive
yaallah bahas megathrust,2,positive
gempa bumi guncang wilayah barat daya cianjur jawa barat senin siang hancur bangun rumah akibat banyak korban jiwa gempa kuat magnitudo potensi,13,positive
syy ramal teliti zona subduksi selatan jawa sumatera potensi megathrust picu tsunami,1,positive
sumber gempa kerak dangkal populer sumber gempa megathrust disebutsebut ahli masyarakat gempa kerak dangkal pusat darat bukti tel korban jiwa,12,positive
ya gempa yogyakarta magnitudo darat picu sesar lokal megathrust,9,positive
dwikorita banten ancam gempa megathrust takut anggap sebar takut masyarakat ya,6,positive
gempa magnitudo cianjur jawa barat sita perhati salah singgung potensi gempa megathrust megathrust hadap ancam megathrust ancam whatstrending podcastindonesia,0,neutral
orang kalimantan kalimantan gempa lokasi zona lempeng megathrust gempa,8,positive
syy hoax jurnal teliti selatan jawa tenggara sumatera picu gempa megathrust max tsunami wallahu alam bishawab,1,positive
salah alas joko widodo pindah ibukota negara kalimantan ancam megathrust,-7,negative
megathrust khawatirin ilmuanstay safe ya,4,positive
malang gempa mostly arah selatan mostly akibat tumbu lempeng megathrust sesarpatahan forethrustbackthrust gempa magnitudo syukur tumpu energi picu gempa skala,18,positive
kayak sekolah sd matapelajaran khusus geografi indonesia jelasin indonesia gempa kayak tuh ribu kilo jalur sesar aktif megathrust dll orang bilang azab maksiat dll anjj,-6,negative
megathrust pelan ya peristiwa proses geologi indonesia,7,positive
ancam kak megathrust selat sunda,-4,negative
salah sesar bentang langsung laut arah segmen megathrust,1,positive
gempa cianjur kait megathrust selatanjawa,5,positive
gempa cianjur kait megathrust selatan jawa,5,positive
bruh bencana gempa cianjur bilang magnitude gempa timbul korban gempa megathrust benar selatan jawa ajar gempa indonesia,7,positive
pakar tsunami brin widjo kongko sebut gempa magnitudo guncang barat daya kabupaten cianjur jabar kait potensi gempa megathrust selatan jawa gempa gempacianjur jawabarat news ria sesar brin beritacianjur,19,positive
isu megathrust iya sih berita kemarin cuman waspada,-2,negative
ahli gempa cianjur kait megathrust,5,positive
gempa cianjur kait megathrust selatan jawa,5,positive
ngebayangin megathrust jakarta benar jadi gempa darat sr dampak parah sr,0,neutral
potensi gempa megathrust pansela jawa jawa barat pantai selatan jawa potensi gempa prediksi atas,14,positive
ancam gempa bilang sesar lokal megathrust tambah kondisi tanah sedimen khas lowland rawan likuifaksi such a deadly combo,2,positive
alas sedia tas bencana gue dketawain orang gue tau lengkap bbrapa brng pakai survive megathrust not be me using be useful for my kids,-5,negative
cuman potensi ya prediksi meta hasil potensi bmkg selatan jawa potensi gempa tsunami zona megathrust,23,positive
muncul nih panik gara bawa base skenario buruk gempa selatan jawa sr sana megathrust jabar ngeri sesar lembang sesar aktif gerak,-6,negative
seinget ku bahas kak teliti ya berita gempa megathrust salah teliti orang asing konfirmasi bmkg itb habis gempa orang engah berita,9,positive
geografis pulau jawa amp pulau jalur lempeng tektonik mari doa baik hindar marabahaya megathrust,7,positive
malam roller coaster banget ya baca megathrust tambah beban mikir cowok overflexing confess tibatiba kenal bulan stop main dating apps ya capek,22,positive
omong gedung lantai megathrust,-4,negative
wilayah jawa barat selatan barat daya sumatra simpan potensi gempa bumi megathrust,4,positive
dmwn brin beda bahas widjokongko gempa asal zona megathrust,4,positive
lantas megathrust pesisir selatan jawa abang kait aktivitas gera sesar,1,positive
aware megathrust tsunami selatan jawa sesar aktif darat intai sesar darat walopun mrganitudonya rendah getar endap atas pengin sebar sesar aktif darat pulau jawa ready,0,neutral
megathrust bwangg,0,neutral
reviu dokumen rencana kontijensi rencana operasisi petapeta jalur evakuasi sistem ingat mitigasi tsunami wilayah pesisir jawa sumatra serius pakar tsunami brin widjo kongko,-8,negative
gempa cianjur potensi rusak kait megathrust selatan jawa jelas ahli gempabumi cianjur,12,positive
isnaaa mjb kakak pusat darat ya dampak beda tektonik laut vulkanik ya bandung erti megathrust sesar,8,positive
minggu kemarin dengar berita megathrust,-2,negative
pesan ibu gaboleh pergi akhirawal hindar laut jagajaga gempa megathrust akibat tsunami eh akitivas lempeng benar aktif akhirakhir doi asih warning kayak agustus,5,positive
pakar tsunami gempa cianjur kait megathrust potensi rusak,10,positive
ahli gempa cianjur magnitudo potensi rusak kait gempa megathrust newsrctiplus,15,positive
brin gempa cianjur kait megathrust,5,positive
i remind you potensi megathrust teliti ilmuwan kasih warning perintah mitigasi bencana didrill daerah rawan aktivitas lempeng indoaustralia akhirakhir aktif pls be safe guys lupa sholat,1,positive
the pics vids repnya ya allah sedih banget gue langsung ngabur goyang gempa tuh horizontal vertikal langsung gempa palu megathrust jawa,15,positive
gempa kait sesarsesar lokal pusat gempa,12,positive
nurdin teu kabayang pami megathrust,0,neutral
ahli gempa cianjur potensi rusak kait gempa megathrust,15,positive
lihat cianjur parah banget dampak bayang sesar lembangmegathrust selatan,-2,negative
gempa cianjur potensi rusak kait megathrust,11,positive
brin gempa magnitudo landa barat daya cianjur potensi rusak kait potensi gempa megathrust selatan jawa gempa,22,positive
ahli gempa cianjur potensi rusak kait gempa megathrust,15,positive
kak megathrust,0,neutral
lho sunda megathrust malam nikah,1,positive
jujurly gempa takut megathrust benar wkwkkw,7,positive
gempa jawa barat gejala megathrust barangkali narasi ulas,0,neutral
metropedia potensi tsunami raksasa via moga mitigasi amitamit teliti perihal gempa megathrust moga sistem warning gempatsunami indonesia,5,positive
ingat,2,positive
pulau jawa banget gempa pikir pas bawa running text megathrust jawa prediksi gempa sr stay safe semuaaaaa,17,positive
akhirakhir gempa deh prediksi megathrust,7,positive
daerah rawan pantai stay safe ya takut banget baca berita kira megathrust,3,positive
tbtb megathrust,0,neutral
parno kemarin habis tonton megathrust,-1,negative
gempa sadar gempa rasa banget ya allahbaru kemarin lihat video ancam megathrust tanda serius banget weh ancam,2,positive
syukur potensi takut banget megathrust,10,positive
kenal megathrust sumber gempa selatanjawa,7,positive
kenal megathrust sumber gempa selatan jawa,7,positive
lempeng indonesia australia again jauh prediksi megathrust please,-4,negative
megathrust selatan jawa nyata,4,positive
megathrust selatan jawa nyata,4,positive
sumpah megathrust tsunami takut besok gue pengin jogja ehhhh,4,positive
teliti lengkap baca jurnal springer bnpb,5,positive
megathrust,0,neutral
true kah,0,neutral
jabar gempa ya takut isu isu megathrust moga aman sana,11,positive
ilmuwan pakar teliti berkalikali info perihal megathrust tanda moga perintah masyarakat serius ya,-6,negative
tipe goyang ya horizontal vertikal rasa mag ya update ingat tipe gempa rasa sebab tsunami silentkiller bengkulu masuk zona megathrust,6,positive
perintah serius sikap studi potensi tsunami akibat megathrust,5,positive
badan geologi esdm gempa untun bengkulu akibat aktivitas zona megathrust,2,positive
moga apaya tuhan lindung marabahaya amin,11,positive
megathrust pulau jawa belah hilang dampak hmm jawi,-5,negative
gempa guncang bengkulu malam bmkg megathrust tempotekno,0,neutral
gempa guncang bengkulu malam bmkg megathrust tempotekno,0,neutral
bahasa masyarakat waspada megathrust,-1,negative
sunda megathrust just rupture near bengkulu,0,neutral
hasil analisis mekanisme sumber gempabumi milik mekanisme gera thrust fault indikasi kuat gempa megathrust,16,positive
perhati lokasi episenter dalam hiposenternya gempabumi jenis gempabumi dangkal akibat aktivitas subduksi lempeng eurasia megathrust event,5,positive
megathrust event mag serta anomali muka laut tsunami guncang capai skala intensitas iv mmi enggano prov bengkulu info rusa akibat gempa,5,positive
potensi gempa megathrust bnpb ingat elemen masyarakat cepat evakuasi,12,positive
bnpb mitigasi selamat nyawa gempa megathrust evakuasi,9,positive
evakuasi satusatunya selamat gempa megathrust tsunami,9,positive
evakuasi satusatunya selamat gempa megathrust tsunami,9,positive
gempa megathrust selatan jawa prediksi potensi baru berita,6,positive
bnpb selamat nyawa gempa megathrust cepat evakuasi,12,positive
mitigasi selamat nyawa gempa megathrust evakuasi beritabaru,9,positive
mitigasi selamat nyawa gempa megathrust evakuasi,9,positive
gempa megathrust selatan jawa prediksi potensi,10,positive
halo sahabattangguh tinggal siar langsung disaster briefing lihat tayang ulang ya banjir surut megathrust disasterbriefing bnpbindonesia,15,positive
potensi bencana megathrust laut selatan jawa barat timbul tsunami meter,-5,negative
potensi bencana megathrust laut selatan jawa barat timbul tsunami meter via garut,-5,negative
potensi bencana megathrust laut selatan jawa barat timbul tsunami meter,-5,negative
ahli itb megathrust laut selatan jawa barat masuk periode ulang,-3,negative
waspada potensi bencana megathrust hantu wilayah selatan jawa,4,positive
info potensi gempa megathrust prediksiperingatan shg makna keliru tjd modelling tsunami acu mitigasi masy dihimbau tenang aktivitas pantai laut dagang wisata,12,positive
siap megathrust,1,positive
zona outerrise abai ancam kalah megathrust,-11,negative
poin jiah sok paten kali diwanti nih seismic gap diomongin seismic gap kayak kosong jarang banget gempa megathrust kosong nih bikin waswas diam,-6,negative
potensi tsunami akibat gempa bumi megathrust waspada tingkat mitigasi gempabumi tsunami meghatrust,12,positive
brin selatan jawa barat daya sumatra simpan potensi gempa bumi megathrust,4,positive
gempa megathrust daftar daerah jabar potensi tsunami brin tsunami aceh gempa earthquake megathrust indonesia,15,positive
dampak tsunami banding dampak tsunami aceh,-3,negative
brin imbau waspada potensi tsunami akibat gempa megathrust,11,positive
brin gempa megathrust peluang timbul tsunami selatan jawa barat daya sumatera,1,positive
pakar sebut selatan jawa barat daya sumatera simpan potensi gempa bumi megathrust waspada ancam,2,positive
pakar potensi tsunami akibat gempa megathrust waspada news bengkulu,10,positive
nankai megathrust,0,neutral
gempa megathrust tsunami konsekuensi lokasi pulau indonesia daerah tunjam subduction zone ikut deret gunung api takut rakyat sipil waspada,6,positive
riset bmkg indonesia potensi tsunami meter gempa megathrust via,7,positive
