full_text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data,score,label
Siklus Gempa Bumi di Megathrust Selatan Jawa &amp; Sumatera | Fakta tvOne https://t.co/bL2FuAcTNR,siklus gempa bumi megathrust selatan jawa sumatera fakta tvone tcoblfuactnr,siklus gempa bumi megathrust selatan jawa sumatera fakta tvone tcoblfuactnr,"['siklus', 'gempa', 'bumi', 'megathrust', 'selatan', 'jawa', 'sumatera', 'fakta', 'tvone', 'tcoblfuactnr']","['siklus', 'gempa', 'bumi', 'megathrust', 'selatan', 'jawa', 'sumatera', 'fakta', 'tvone', 'tcoblfuactnr']",siklus bumi selatan sumatera fakta tvone tcoblfuactnr,1,positive
Geger Surat Edaran Potensi Megathrust dan Tsunami dari Camat Labuan BMKG Buka Suara https://t.co/7eXCTUEhtb,geger surat edaran potensi megathrust tsunami dari camat labuan bmkg buka suara tcoexctuehtb,geger surat edaran potensi megathrust tsunami dari camat labuan bmkg buka suara tcoexctuehtb,"['geger', 'surat', 'edaran', 'potensi', 'megathrust', 'tsunami', 'dari', 'camat', 'labuan', 'bmkg', 'buka', 'suara', 'tcoexctuehtb']","['geger', 'surat', 'edaran', 'potensi', 'megathrust', 'tsunami', 'camat', 'labuan', 'bmkg', 'buka', 'suara', 'tcoexctuehtb']",geger surat edar potensi camat labu bmkg buka suara tcoexctuehtb,14,positive
Geger Surat Edaran Potensi Megathrust dan Tsunami dari Camat Labuan BMKG Buka Suara https://t.co/WVO4axxVk9,geger surat edaran potensi megathrust tsunami dari camat labuan bmkg buka suara tcowvoaxxvk,geger surat edaran potensi megathrust tsunami dari camat labuan bmkg buka suara tcowvoaxxvk,"['geger', 'surat', 'edaran', 'potensi', 'megathrust', 'tsunami', 'dari', 'camat', 'labuan', 'bmkg', 'buka', 'suara', 'tcowvoaxxvk']","['geger', 'surat', 'edaran', 'potensi', 'megathrust', 'tsunami', 'camat', 'labuan', 'bmkg', 'buka', 'suara', 'tcowvoaxxvk']",geger surat edar potensi camat labu bmkg buka suara tcowvoaxxvk,14,positive
Bencana untuk membinasakan org yg berdosa dan tdk percaya kepada Tuhan Yesus https://t.co/5PZ4bGR0R1,bencana untuk membinasakan berdosa percaya kepada tuhan yesus tcopzbgrr,bencana untuk membinasakan berdosa percaya kepada tuhan yesus tcopzbgrr,"['bencana', 'untuk', 'membinasakan', 'berdosa', 'percaya', 'kepada', 'tuhan', 'yesus', 'tcopzbgrr']","['bencana', 'membinasakan', 'berdosa', 'percaya', 'tuhan', 'yesus', 'tcopzbgrr']",bencana binasa dosa percaya tuhan yesus tcopzbgrr,-1,negative
Geger Surat Edaran Potensi Megathrust dan Tsunami dari Camat Labuan BMKG Buka Suara https://t.co/JTz98spbJ7,geger surat edaran potensi megathrust tsunami dari camat labuan bmkg buka suara tcojtzspbj,geger surat edaran potensi megathrust tsunami dari camat labuan bmkg buka suara tcojtzspbj,"['geger', 'surat', 'edaran', 'potensi', 'megathrust', 'tsunami', 'dari', 'camat', 'labuan', 'bmkg', 'buka', 'suara', 'tcojtzspbj']","['geger', 'surat', 'edaran', 'potensi', 'megathrust', 'tsunami', 'camat', 'labuan', 'bmkg', 'buka', 'suara', 'tcojtzspbj']",geger surat edar potensi camat labu bmkg buka suara tcojtzspbj,14,positive
Buntut Isu Potensi Megathrust Pengelola Wisata di Pandeglang Sebut Wisatawan Pada Kabur https://t.co/k7xJnRzXzW,buntut potensi megathrust pengelola wisata pandeglang sebut wisatawan pada kabur tcokxjnrzxzw,buntut potensi megathrust pengelola wisata pandeglang sebut wisatawan pada kabur tcokxjnrzxzw,"['buntut', 'potensi', 'megathrust', 'pengelola', 'wisata', 'pandeglang', 'sebut', 'wisatawan', 'pada', 'kabur', 'tcokxjnrzxzw']","['buntut', 'potensi', 'megathrust', 'pengelola', 'wisata', 'pandeglang', 'wisatawan', 'kabur', 'tcokxjnrzxzw']",buntut potensi kelola wisata pandeglang wisatawan kabur tcokxjnrzxzw,2,positive
5 tsunami selatan jawa akibat megatrust... https://t.co/1CSJZM2cJj #BMKG #tsunami #megathrust #Gempa #Trending,tsunami selatan jawa akibat megatrust tcocsjzmcjj bmkg tsunami megathrust gempa trending,tsunami selatan jawa akibat megatrust tcocsjzmcjj bmkg tsunami megathrust gempa trending,"['tsunami', 'selatan', 'jawa', 'akibat', 'megatrust', 'tcocsjzmcjj', 'bmkg', 'tsunami', 'megathrust', 'gempa', 'trending']","['tsunami', 'selatan', 'jawa', 'akibat', 'megatrust', 'tcocsjzmcjj', 'bmkg', 'tsunami', 'megathrust', 'gempa', 'trending']",selatan akibat megatrust tcocsjzmcjj bmkg trending,5,positive
Terkait Potensi Megathrust dan Tsunami Warga Labuan : Saya Tidak Gentar Namun Tetap Waspada https://t.co/Ls71OcbY15,terkait potensi megathrust tsunami warga labuan saya tidak gentar namun tetap waspada tcolsocby,terkait potensi megathrust tsunami warga labuan saya tidak gentar namun tetap waspada tcolsocby,"['terkait', 'potensi', 'megathrust', 'tsunami', 'warga', 'labuan', 'saya', 'tidak', 'gentar', 'namun', 'tetap', 'waspada', 'tcolsocby']","['terkait', 'potensi', 'megathrust', 'tsunami', 'warga', 'labuan', 'gentar', 'waspada', 'tcolsocby']",kait potensi warga labu gentar waspada tcolsocby,8,positive
Gempa Megathrust dan Tsunami: Mau Percaya Hard Gumay Dokter Tifa atau Penjelasan BMKG! Yang percaya Dokter Tifa pasti sudah siap Iron Dome https://t.co/XOePjLPP0w,gempa megathrust tsunami percaya hard gumay dokter tifa atau penjelasan bmkg yang percaya dokter tifa pasti sudah siap iron dome tcoxoepjlppw,gempa megathrust tsunami percaya hard gumay dokter tifa atau penjelasan bmkg yang percaya dokter tifa pasti sudah siap iron dome tcoxoepjlppw,"['gempa', 'megathrust', 'tsunami', 'percaya', 'hard', 'gumay', 'dokter', 'tifa', 'atau', 'penjelasan', 'bmkg', 'yang', 'percaya', 'dokter', 'tifa', 'pasti', 'sudah', 'siap', 'iron', 'dome', 'tcoxoepjlppw']","['gempa', 'megathrust', 'tsunami', 'percaya', 'hard', 'gumay', 'dokter', 'tifa', 'penjelasan', 'bmkg', 'percaya', 'dokter', 'tifa', 'iron', 'dome', 'tcoxoepjlppw']",percaya hard gumay dokter tifa jelas bmkg percaya dokter tifa iron dome tcoxoepjlppw,9,positive
Jangan lupa garis pantai Meulaboh maju 500 m ke arah daratan pasca tsunami dan naiknya permukaan tanah Meulaboh adalah bagian dari siklus tektonik regional di sana. Nek Bahasa Jawa-nya gempa megathrust kuwi mergo lempeng benuane njepat. https://t.co/5JDYAhoQZm https://t.co/wnvZ9DWfQt,jangan lupa garis pantai meulaboh maju arah daratan pasca tsunami naiknya permukaan tanah meulaboh adalah bagian dari siklus tektonik regional sana bahasa jawanya gempa megathrust kuwi mergo lempeng benuane njepat tcojdyahoqzm tcownvzdwfqt,jangan lupa garis pantai meulaboh maju arah daratan pasca tsunami naiknya permukaan tanah meulaboh adalah bagian dari siklus tektonik regional sana bahasa jawanya gempa megathrust kuwi mergo lempeng benuane njepat tcojdyahoqzm tcownvzdwfqt,"['jangan', 'lupa', 'garis', 'pantai', 'meulaboh', 'maju', 'arah', 'daratan', 'pasca', 'tsunami', 'naiknya', 'permukaan', 'tanah', 'meulaboh', 'adalah', 'bagian', 'dari', 'siklus', 'tektonik', 'regional', 'sana', 'bahasa', 'jawanya', 'gempa', 'megathrust', 'kuwi', 'mergo', 'lempeng', 'benuane', 'njepat', 'tcojdyahoqzm', 'tcownvzdwfqt']","['lupa', 'garis', 'pantai', 'meulaboh', 'maju', 'arah', 'daratan', 'pasca', 'tsunami', 'naiknya', 'permukaan', 'tanah', 'meulaboh', 'siklus', 'tektonik', 'regional', 'bahasa', 'jawanya', 'gempa', 'megathrust', 'kuwi', 'mergo', 'lempeng', 'benuane', 'njepat', 'tcojdyahoqzm', 'tcownvzdwfqt']",lupa garis pantai meulaboh maju arah darat pasca naik muka tanah meulaboh siklus tektonik regional bahasa jawanya kuwi mergo lempeng benuane njepat tcojdyahoqzm tcownvzdwfqt,2,positive
Lima Tsunami Selatan Jawa Akibat Megathrust yang Pernah Tercatat Sejarah Mana Sajakah? https://t.co/j2QtIJmuEM,lima tsunami selatan jawa akibat megathrust yang pernah tercatat sejarah mana sajakah tcojqtijmuem,lima tsunami selatan jawa akibat megathrust yang pernah tercatat sejarah mana sajakah tcojqtijmuem,"['lima', 'tsunami', 'selatan', 'jawa', 'akibat', 'megathrust', 'yang', 'pernah', 'tercatat', 'sejarah', 'mana', 'sajakah', 'tcojqtijmuem']","['tsunami', 'selatan', 'jawa', 'akibat', 'megathrust', 'tercatat', 'sejarah', 'sajakah', 'tcojqtijmuem']",selatan akibat catat sejarah saja tcojqtijmuem,-2,negative
ASUMSI YANG BEREDAR SOAL LEDAKAN JAM 11.18: 1. MEGATHRUST 2. PESAWAT MELEDAK 3. DYNAMITE PROYEK JJLS Gunungkidul 4. GUNUNG MELETUS 5. LAGI NJAJAL AJIAN ,asumsi yang beredar soal ledakan  megathrust pesawat meledak dynamite proyek jjls gunungkidul gunung meletus lagi njajal ajian,asumsi yang beredar soal ledakan megathrust pesawat meledak dynamite proyek jjls gunungkidul gunung meletus lagi njajal ajian,"['asumsi', 'yang', 'beredar', 'soal', 'ledakan', 'megathrust', 'pesawat', 'meledak', 'dynamite', 'proyek', 'jjls', 'gunungkidul', 'gunung', 'meletus', 'lagi', 'njajal', 'ajian']","['asumsi', 'beredar', 'ledakan', 'megathrust', 'pesawat', 'meledak', 'dynamite', 'proyek', 'jjls', 'gunungkidul', 'gunung', 'meletus', 'njajal', 'ajian']",asumsi edar ledak pesawat ledak dynamite proyek jjls gunungkidul gunung letus njajal aji,-12,negative
Gempa Bumi Terkini 4 8 SR di Kuningan Hari Ini https://t.co/95kRzOwvkv,gempa bumi terkini kuningan hari tcokrzowvkv,gempa bumi terkini kuningan hari tcokrzowvkv,"['gempa', 'bumi', 'terkini', 'kuningan', 'hari', 'tcokrzowvkv']","['gempa', 'bumi', 'terkini', 'kuningan', 'tcokrzowvkv']",bumi kini kuningan tcokrzowvkv,7,positive
@GagakNewww Iron Dome Vs Gempa Megathrust?. Opo hubungan e? https://t.co/4N6h39OtfI,gagaknewww iron dome gempa megathrust hubungan tconhotfi,gagaknewww iron dome gempa megathrust hubungan tconhotfi,"['gagaknewww', 'iron', 'dome', 'gempa', 'megathrust', 'hubungan', 'tconhotfi']","['gagaknewww', 'iron', 'dome', 'gempa', 'megathrust', 'hubungan', 'tconhotfi']",gagaknewww iron dome hubung tconhotfi,5,positive
Pak Camat... Please jangan bikin panik https://t.co/NK5UcCYBQT,camat please jangan bikin panik tconkuccybqt,camat please jangan bikin panik tconkuccybqt,"['camat', 'please', 'jangan', 'bikin', 'panik', 'tconkuccybqt']","['camat', 'please', 'bikin', 'panik', 'tconkuccybqt']",camat please bikin panik tconkuccybqt,-7,negative
Gempa Bumi Terkini 4 8 SR di Kuningan Hari Ini Pusat Gempa Barusan dan soal Megathrust Selatan Jawa https://t.co/AyRvz5xuoe,gempa bumi terkini kuningan hari pusat gempa barusan soal megathrust selatan jawa tcoayrvzxuoe,gempa bumi terkini kuningan hari pusat gempa barusan soal megathrust selatan jawa tcoayrvzxuoe,"['gempa', 'bumi', 'terkini', 'kuningan', 'hari', 'pusat', 'gempa', 'barusan', 'soal', 'megathrust', 'selatan', 'jawa', 'tcoayrvzxuoe']","['gempa', 'bumi', 'terkini', 'kuningan', 'pusat', 'gempa', 'barusan', 'megathrust', 'selatan', 'jawa', 'tcoayrvzxuoe']",bumi kini kuningan pusat barusan selatan tcoayrvzxuoe,14,positive
@FirzaHusain Tambah stres sebenarnya Dr Tifu ni mau jd apa.!! Bahasa sok sangar iron dome megathrust halaahh gedabrus...,firzahusain tambah stres sebenarnya tifu bahasa sangar iron dome megathrust halaahh gedabrus,firzahusain tambah stres sebenarnya tifu bahasa sangar iron dome megathrust halaahh gedabrus,"['firzahusain', 'tambah', 'stres', 'sebenarnya', 'tifu', 'bahasa', 'sangar', 'iron', 'dome', 'megathrust', 'halaahh', 'gedabrus']","['firzahusain', 'stres', 'tifu', 'bahasa', 'sangar', 'iron', 'dome', 'megathrust', 'halaahh', 'gedabrus']",firzahusain stres tifu bahasa sangar iron dome halaahh gedabrus,-8,negative
Dokter stress Selain Ajak Pakai Iron Dome untuk Halau Potensi Gempa Megathrust Dokter Tifa juga Siap Jadi Presiden! https://t.co/IobirAetpF,dokter stress selain ajak pakai iron dome untuk halau potensi gempa megathrust dokter tifa juga siap jadi presiden tcoiobiraetpf,dokter stres selain ajak pakai iron dome untuk halau potensi gempa megathrust dokter tifa juga siap jadi presiden tcoiobiraetpf,"['dokter', 'stres', 'selain', 'ajak', 'pakai', 'iron', 'dome', 'untuk', 'halau', 'potensi', 'gempa', 'megathrust', 'dokter', 'tifa', 'juga', 'siap', 'jadi', 'presiden', 'tcoiobiraetpf']","['dokter', 'stres', 'ajak', 'pakai', 'iron', 'dome', 'halau', 'potensi', 'gempa', 'megathrust', 'dokter', 'tifa', 'presiden', 'tcoiobiraetpf']",dokter stres ajak pakai iron dome halau potensi dokter tifa presiden tcoiobiraetpf,7,positive
@korantempo Dan bayangkan jika zona megathrust sepanjang pantai selatan sumatra jawa bali NTB NTT tiwikrama bangun dr tidur panjangnya ( tsunami aceh cuma menggeliat ) dan Jkt hancur dan pemerintahan lumpuh apa kata koran tempo dan majalah tempo dan Gunawan Mohamad ?,korantempo bayangkan jika zona megathrust sepanjang pantai selatan sumatra jawa bali tiwikrama bangun tidur panjangnya tsunami aceh cuma menggeliat hancur pemerintahan lumpuh kata koran tempo majalah tempo gunawan mohamad,korantempo bayangkan jika zona megathrust sepanjang pantai selatan sumatra jawa bali tiwikrama bangun tidur panjangnya tsunami aceh cuma menggeliat hancur pemerintahan lumpuh kata koran tempo majalah tempo gunawan mohamad,"['korantempo', 'bayangkan', 'jika', 'zona', 'megathrust', 'sepanjang', 'pantai', 'selatan', 'sumatra', 'jawa', 'bali', 'tiwikrama', 'bangun', 'tidur', 'panjangnya', 'tsunami', 'aceh', 'cuma', 'menggeliat', 'hancur', 'pemerintahan', 'lumpuh', 'kata', 'koran', 'tempo', 'majalah', 'tempo', 'gunawan', 'mohamad']","['korantempo', 'bayangkan', 'zona', 'megathrust', 'pantai', 'selatan', 'sumatra', 'jawa', 'bali', 'tiwikrama', 'bangun', 'tidur', 'panjangnya', 'tsunami', 'aceh', 'menggeliat', 'hancur', 'pemerintahan', 'lumpuh', 'koran', 'tempo', 'majalah', 'tempo', 'gunawan', 'mohamad']",korantempo bayang zona pantai selatan sumatra bal tiwikrama bangun tidur panjang aceh geliat hancur perintah lumpuh koran tempo majalah tempo gunawan mohamad,7,positive
Mana imanmu bu..Mau secanggih apapun pasti akan hancur krn bencana dari Tuhan untuk org yg berdosa sedangkan org yg percaya kepada Tuhan Yesus akan dilindungi. https://t.co/QO1ZyQPlsp,mana imanmu bumau secanggih apapun pasti akan hancur bencana dari tuhan untuk berdosa sedangkan percaya kepada tuhan yesus akan dilindungi tcoqozyqplsp,mana imanmu bumau secanggih apapun pasti akan hancur bencana dari tuhan untuk berdosa sedangkan percaya kepada tuhan yesus akan dilindungi tcoqozyqplsp,"['mana', 'imanmu', 'bumau', 'secanggih', 'apapun', 'pasti', 'akan', 'hancur', 'bencana', 'dari', 'tuhan', 'untuk', 'berdosa', 'sedangkan', 'percaya', 'kepada', 'tuhan', 'yesus', 'akan', 'dilindungi', 'tcoqozyqplsp']","['imanmu', 'bumau', 'secanggih', 'apapun', 'hancur', 'bencana', 'tuhan', 'berdosa', 'percaya', 'tuhan', 'yesus', 'dilindungi', 'tcoqozyqplsp']",iman bumau canggih apa hancur bencana tuhan dosa percaya tuhan yesus lindung tcoqozyqplsp,3,positive
