Review text,teks_bersih
apk gopay mantap,gopay mantap
Bagus ga ribet,Bagus ribet
Koin tidak bisa di pakai,Koin tidak bisa pakai
sangat bagus YGY,sangat bagus
praktis ngga ribet dan baik hati🤗🤗🤗,praktis ngga ribet baik hati
mantap aplikasi ya,mantap aplikasi
donlot dah,donlot
"Gopay oh gopay ini makin kesini koq makin kesana yaaa, sekarang saya mau beli pulsa ataupun paket data, transfer duit ke bank lain, VC, top up dan kesemua akses tidak bisa. kenapa sih ! Jadi menyebalkan. Saya coba uninstal dan dowmload kembali pas masukin no hp dia bilang bermasalah, padahal saldo saya masih banyak didalamnya. Tolonglah admin perbaiki lagi sistemmu yg sering eror dan amburadul, lama2 gw banting juga nih hp.",Gopay gopay makin kesini makin kesana yaaa sekarang saya beli pulsa ataupun paket data transfer duit bank lain kesemua akses tidak bisa kenapa Jadi menyebalkan Saya coba uninstal dowmload kembali masukin bilang bermasalah padahal saldo saya masih banyak didalamnya Tolonglah admin perbaiki lagi sistemmu sering eror amburadul lama2 banting juga
Bagus banget udh gitu gampang loginnya,Bagus banget gitu gampang loginnya
lelet banget bikin emosi,lelet banget bikin emosi
Bagus,Bagus
the best wallet,best wallet
terima kasih developer nya jadi happy🎉,terima kasih developer jadi happy
aplikasi ga jelas...isi pulsa muncul notif gopulsa error. Gimana nih admin gopay?,aplikasi jelasisi pulsa muncul notif gopulsa error Gimana admin gopay
"baru kali ini sy kecewa dengan gopay karena sampai saat ini sy transfer ke teman belum di sampai dan saldo sy sudah terpotong. laporan ga ada tanggapan dan jawaban,nyesel knp ga pakai mbanking huft...",baru kali kecewa dengan gopay karena sampai saat transfer teman belum sampai saldo sudah terpotong laporan tanggapan jawabannyesel pakai mbanking huft
"bagaimana cara nya lihat kode referal tolong di bantu untuk hp redmi ram 3,,",bagaimana cara lihat kode referal tolong bantu untuk redmi
bagus semoga amanah,bagus semoga amanah
Mulai instal gopay gara2 bisa nonton anime,Mulai instal gopay gara2 bisa nonton anime
goooddd,goooddd
baru pertama kali,baru pertama kali
"terimakasih atas perbaikan nya, semoga Gopay dsn go to tetap jaya 💪💪💪💪❤️❤️❤️",terimakasih atas perbaikan semoga Gopay tetap jaya
gopay dperbarui malah gk bisa buat transfer menjengkelkan,gopay dperbarui malah bisa buat transfer menjengkelkan
ok banget,banget
kecewa sih bikin promo kek apa banget,kecewa bikin promo banget
"aplikasi yang sangat membantu,mudah dan murah,,tetapi kalau bisa ditambahin dong fitur emas digital,biar tidak kalah sama kompetitor sebelah,!!",aplikasi yang sangat membantumudah murahtetapi kalau bisa ditambahin dong fitur emas digitalbiar tidak kalah sama kompetitor sebelah
ko mau kirim masih ga bisa,kirim masih bisa
senang deh pake gopay,senang pake gopay
mantap bnyak bonus dan murah lagi,mantap bnyak bonus murah lagi
tambah keren,tambah keren
bagus banget buat beli robux jadi gampang,bagus banget buat beli robux jadi gampang
murah,murah
bagus bgt,bagus
"udah update versi terbaru masih aja lemot, lelet ga jelas padahal sinyal bagus👎",udah update versi terbaru masih lemot lelet jelas padahal sinyal bagus
sangat bagus tapi kalo ada hadiah uang 1 hari lebih bagus,sangat bagus tapi kalo hadiah uang hari lebih bagus
👍👍,
apk apaan ini gw spin yg kyk gitu mau berenti di 10jt gopay coin mlh berenti di 20 gopay coin,apaan spin gitu berenti 10jt gopay coin berenti gopay coin
joss,joss
bagus jadi mudah transaksi,bagus jadi mudah transaksi
terimakasih sangat membantu,terimakasih sangat membantu
aplikasi keren. mudah digunakan praktis,aplikasi keren mudah digunakan praktis
"aneh, nawarin promo, promonya aja gak ada sistemnya tolong diperbaiki",aneh nawarin promo promonya sistemnya tolong diperbaiki
GOPAY OK LAH..,GOPAY
baguss bangett gopayy bisa menangin kuota dengan 1perak,baguss bangett gopayy bisa menangin kuota dengan 1perak
uji coba dlu👍🙏,coba
saya sebenarnya mengasih bintang 5 itu sedang ngelek,saya sebenarnya mengasih bintang sedang ngelek
aplikasi yg bagus dan keren,aplikasi bagus keren
kreeen,kreeen
aplikasi sering mengalami eror saat dipakai dan tidak dapat melakukan transaksi di gopay,aplikasi sering mengalami eror saat dipakai tidak dapat melakukan transaksi gopay
sangat membantu,sangat membantu
20x du upgrade ke go pay plus tdk bisa terus.....pdhl sdh mengikuti prosedur .... ada akun terkain dan akun trsbt sudah hilang nomor nya ...,upgrade plus bisa teruspdhl mengikuti prosedur akun terkain akun trsbt sudah hilang nomor
mntap sekali,mntap sekali
𝘣𝘢𝘨𝘶𝘴 𝘴𝘦𝘬𝘢𝘭𝘪,𝘣𝘢𝘨𝘶𝘴 𝘴𝘦𝘬𝘢𝘭𝘪
sayah senang,sayah senang
mantap banget kalo mau to up game online juga mudah karna ada aplikasi gopay ini,mantap banget kalo game online juga mudah karna aplikasi gopay
bagus ada potogan harga bagi yang baru pake,bagus potogan harga bagi yang baru pake
memuaskan,memuaskan
fitur streaming film jangan dijadiin satu sama dompet digital/gopay mungkin bisa dipisah menjadi aplikasi baru misal GoWatch,fitur streaming film jangan dijadiin satu sama dompet digitalgopay mungkin bisa dipisah menjadi aplikasi baru misal GoWatch
aplikasi sangat bagus,aplikasi sangat bagus
sangat puas,sangat puas
"No comment, bagus banget nih aplikasi",comment bagus banget aplikasi
makasih,makasih
ini knp pinjaman saya d tolak ya? saya kn byr ny sblm jt,pinjaman saya tolak saya sblm
top bgt..,
mantap gopay,mantap gopay
segalanya lebih mudah,segalanya lebih mudah
"Banyak pilihan Pulsa dan Token murah disini, proses juga cepat dan lancar sejauh ini...",Banyak pilihan Pulsa Token murah disini proses juga cepat lancar sejauh
👍🏻,
ada fitur nonton animenya cocok buat aku member jomok awkwkwkakakakkw,fitur nonton animenya cocok buat member jomok awkwkwkakakakkw
proses super cepat,proses super cepat
good. anti ribet,good anti ribet
..bayar cicilan gk pernah telat.. Mau ngajuin lagi gk bisa.... parah parah... gk memudahkan pengguna yg gk pernah telat bayar,bayar cicilan pernah telat ngajuin lagi bisa parah parah memudahkan pengguna pernah telat bayar
bagus sekali,bagus sekali
aplikasinya dhe bestt,aplikasinya bestt
👍,
simpel sangat membantu,simpel sangat membantu
1. bagus ya pembayaran lebih cepat dan itu praktis 2. coin gratis yang bisa di buat untuk membayar 3. jelas 4. fleksibilitas 5. fitur canggih 6. game menarik,bagus pembayaran lebih cepat praktis coin gratis yang bisa buat untuk membayar jelas fleksibilitas fitur canggih game menarik
mantap sekarang ada anime di gopay 👍👍,mantap sekarang anime gopay
mau acan qr ga bisa suruh bayar transfer pake no hp malah suruh abgrade sebelumnya bisa pake qr ga di suruh pake no hp,acan bisa suruh bayar transfer pake malah suruh abgrade sebelumnya bisa pake suruh pake
Bagus dan saya tiap hari dapat uang koin banyak lumayan bisa buat beli pulsa gratis,Bagus saya tiap hari dapat uang koin banyak lumayan bisa buat beli pulsa gratis
bagus aplikasinya,bagus aplikasinya
sehat bagus saat tf,sehat bagus saat
Semoga Sukses Selalu,Semoga Sukses Selalu
malah suruh nunggu udah di lunasi pas mau minjam lagi harud nunggu sampe tgl 29..aneh banget inu knapa kok bisa gtu,malah suruh nunggu udah lunasi minjam lagi harud nunggu sampe 29aneh banget knapa bisa
saya baru mengunakan aplikasi ini semoga aja lancar sukses selalu buat aplikasi nya,saya baru mengunakan aplikasi semoga lancar sukses selalu buat aplikasi
dari tadi top up 3 jam belum masuk masuk parah gopay,dari tadi belum masuk masuk parah gopay
pinjaman di t0lak,pinjaman t0lak
"baguss bangett, pokoknya mantap, ga bisa berkata-kata lagi🤗🤗",baguss bangett pokoknya mantap bisa berkatakata lagi
Sangat puas dengan pake gopay,Sangat puas dengan pake gopay
"saya sengaja bintang 5 kenapa?karena tolong perbaiki bug saya mau lupa pin nah lalu sudah masukin pin baru lalu code otp sudah di masukan code otp malah ada bacaan ""GAK BISA PAKAI FITUR INI""",saya sengaja bintang kenapakarena tolong perbaiki saya lupa lalu sudah masukin baru lalu code sudah masukan code malah bacaan BISA PAKAI FITUR
👍👍👍👍,
sangat bagus sangat membantu,sangat bagus sangat membantu
mudah n banyak fiturnya..,mudah banyak fiturnya
Kren sekali,Kren sekali
"harus begitu cepat, tepat n murah",harus begitu cepat tepat murah
langsung masuk,langsung masuk
"katanya tapet uang 51,000 ribu kok pas aku download ga dapet 😭😭",katanya tapet uang 51000 ribu download dapet
bonus,bonus
semoga aman dari para scamer,semoga aman dari para scamer
sangat baik dan membantu,sangat baik membantu
"yg jelas duit gak pernah hilang gak kaya di sebelah duit gua gak pernah di pake tau"" hilang setengah",jelas duit pernah hilang kaya sebelah duit pernah pake hilang setengah
Mantap,Mantap
cepat bertransaksi,cepat bertransaksi
sukses selalu,sukses selalu
gajelas saya padahal gak ngapa ngapain ko malah terdeteksi tindakan gak wajar transaksi gagal terus,gajelas saya padahal ngapa ngapain malah terdeteksi tindakan wajar transaksi gagal terus
"kenapa akun saya gk bisa buat login. makin gk jelas aja gopay secara tiba tiba gk bisa login masuk sudah di coba berulang""",kenapa akun saya bisa buat login makin jelas gopay secara tiba tiba bisa login masuk sudah coba berulang
Sangat aman dan terjamin,Sangat aman terjamin
"keren selain jadi pembayaran harian sekarang fitur hiburannya makin beragam, bahkan bisa nonton anime secara legal dan full hd",keren selain jadi pembayaran harian sekarang fitur hiburannya makin beragam bahkan bisa nonton anime secara legal full
aplikasi nya bagus tapi katanya mendeteksi aktifitas tidak wajar sehingga tidak bisa melakukan transaksi dan sudah dilaporkan tapi belum diselesaikan,aplikasi bagus tapi katanya mendeteksi aktifitas tidak wajar sehingga tidak bisa melakukan transaksi sudah dilaporkan tapi belum diselesaikan
"jangan pakai apk ini,kemarin saya mau di tipu orang ingin tarik uang.setelah itu saya kesal saya laporkan ke ig gopayindonesia,tiba2 ada yang telepon saya di ig lalu orang tersebut mengirim website dari gopay,lalu saya masukkan kode otp dari wa nya tetapi dari website tidak msk,pas kemarin saya top up 300k karna ad orang beli 130 pas malam nya saya cek uang saya di bajak orang lain nominal 170k,saya lapor sampai sekarang tidak ada konfirmasi yang layak.sekian terima kasih",jangan pakai inikemarin saya tipu orang ingin tarik uangsetelah saya kesal saya laporkan gopayindonesiatiba2 yang telepon saya lalu orang tersebut mengirim website dari gopaylalu saya masukkan kode dari tetapi dari website tidak mskpas kemarin saya 300k karna orang beli malam saya uang saya bajak orang lain nominal 170ksaya lapor sampai sekarang tidak konfirmasi yang layaksekian terima kasih
semoga bermanfaat dan sangat membantu,semoga bermanfaat sangat membantu
"setiap saya aktifin pinjaman, foto ktp dan verifikasi wajah sudah benar, isi formulir dll, sudah benar semua, giliram klik lanjutkan, selalu muncul ""Yaah, verifikasinya belum berhasil, Soalnya foto kartu ID dan/atau selfie kamu tidak memenuhi ketentuan. Silahan foto ulang kartu ID asli dan selfie secara langsung pakai kamera HP-mu."" terus mulai dari awal terus, capek saya",setiap saya aktifin pinjaman foto verifikasi wajah sudah benar formulir sudah benar semua giliram klik lanjutkan selalu muncul Yaah verifikasinya belum berhasil Soalnya foto kartu danatau selfie kamu tidak memenuhi ketentuan Silahan foto ulang kartu asli selfie secara langsung pakai kamera HPmu terus mulai dari awal terus capek saya
baru coba semoga amanah,baru coba semoga amanah
trimakasih udah membantu kami dengan mudah transfer..ilove you gopay❤️😘😍,trimakasih udah membantu kami dengan mudah transferilove gopay
gopay emang top,gopay emang
aplikasi yg bagus keren bisa serba mudah buat transaksi apapun tanks GoPay,aplikasi bagus keren bisa serba mudah buat transaksi apapun tanks GoPay
"bagus, bisa free admin TF ke semua bank",bagus bisa free admin semua bank
bagusss,bagusss
aplikasi ga guna,aplikasi guna
baguss aplikasi nyaa,baguss aplikasi nyaa
"fast ,,tetap terjaga ,,,aman sentosa ,,, gopay terbaik",fast tetap terjaga aman sentosa gopay terbaik
perfect,perfect
terima kasih sudah banyak membantu 🙏🏼,terima kasih sudah banyak membantu
Enak bner Transaksi disini,Enak bner Transaksi disini
aplikasinya sangat membantu,aplikasinya sangat membantu
GELO TERIMAKASIH ATMIN GOPAY YANG SANGAT KREATIF MEMBUAT VITUR MENONTON ANIME🔥🔥 WGopay❤️‍🩹💐,GELO TERIMAKASIH ATMIN GOPAY YANG SANGAT KREATIF MEMBUAT VITUR MENONTON ANIME WGopay
sempurna,sempurna
belum pernah pakai tp sepertinya mudah,belum pernah pakai sepertinya mudah
maaf apk ini ga ada paedahnya apk burik,maaf paedahnya burik
Mantaap aplikasinya kereeen,Mantaap aplikasinya kereeen
mudah mudahan bisa membantu segala jenis transaksi kita,mudah mudahan bisa membantu segala jenis transaksi kita
BAGUS SEKALI!!,BAGUS SEKALI
"Gopay sangat membantu mempermudah buat transper,bayar tagihan,pulsa dan data murah",Gopay sangat membantu mempermudah buat transperbayar tagihanpulsa data murah
oke,
saat udah top up malah dia bilang mendeteksi aktivitas tidak wajar taik bt lah,saat udah malah bilang mendeteksi aktivitas tidak wajar taik
sangatt baikk,sangatt baikk
sayaa gapernah di acc gopay pinjam,sayaa gapernah gopay pinjam
bagus 🤩🤩🤩🥳,bagus
"gampang banget,dan banyak promo!",gampang bangetdan banyak promo
"di banding shopee, seabank, kredivo, gopay pinjam bunganya paling gede klo nggak kepaksa ogah",banding shopee seabank kredivo gopay pinjam bunganya paling gede nggak kepaksa ogah
intinya bagus 😎👍,intinya bagus
memang tidak pantas,memang tidak pantas
"sangat puas, Terima kasih",sangat puas Terima kasih
pengjuan pinjaman sulit data sudah lengkap pun nyesel banget instal gopay gk sesuai di iklan,pengjuan pinjaman sulit data sudah lengkap nyesel banget instal gopay sesuai iklan
apk tidak jelas,tidak jelas
gopay selalu yang terbaik,gopay selalu yang terbaik
"Bagus, pertahankan kalau ga urgent gausah ada update nanti jadi jelek",Bagus pertahankan kalau urgent gausah update nanti jadi jelek
mudah aman oke,mudah aman
mulai sekarang transfer bank tiba2 bebayar gak ada pemberitahuan juga,mulai sekarang transfer bank tiba2 bebayar pemberitahuan juga
terbaik,terbaik
"aplikasinya bagus banget, ringan dan ga berat untuk hp kentang, tapi Saha sedang mendapatkan kabar buruk mengenai aplikasi ini, katanya banyak orang yang sering kena banned sama aplikasi ini secara tiba-tiba tanpa alasan yang jelas, hal ini bikin saya takut untuk menabung di aplikasi ini, khusus buat orang yang suka transfer saldo dengan jumlah nominal yang gede, ini bikin saya was was",aplikasinya bagus banget ringan berat untuk kentang tapi Saha sedang mendapatkan kabar buruk mengenai aplikasi katanya banyak orang yang sering kena banned sama aplikasi secara tibatiba tanpa alasan yang jelas bikin saya takut untuk menabung aplikasi khusus buat orang yang suka transfer saldo dengan jumlah nominal yang gede bikin saya
kerenn bangett!! kalo bayar gak perlu antri!!,kerenn bangett kalo bayar perlu antri
apknya keren bisa main gem,apknya keren bisa main
mkin asik,mkin asik
"mudah, praktis dan cepat bgt",mudah praktis cepat
"setiap kali top up game selalu saja gak bisa alesannya karna ""mendeteksi aktivitas tidak wajar"" saya sudah melaporkan ke pihak CS, dan disuruh menunggu 3X24 jam, namun setelah 3X24 jam saya tetap tidak bisa melakukan transaksi",setiap kali game selalu saja bisa alesannya karna mendeteksi aktivitas tidak wajar saya sudah melaporkan pihak disuruh menunggu 3X24 namun setelah 3X24 saya tetap tidak bisa melakukan transaksi
sangat mudah digunakan,sangat mudah digunakan
aman kan akun sya okeh,aman akun okeh
Alhamdulillah apk ini sangat membantu,Alhamdulillah sangat membantu
kalau bisa aktif kan gopay latter langsung gua tinggalin aplikasi sebelah,kalau bisa aktif gopay latter langsung tinggalin aplikasi sebelah
nantap,nantap
"bagus bisa membantu dan mempermudah pembayaran ...jg dpt cek,in tiap hari 👍",bagus bisa membantu mempermudah pembayaran cekin tiap hari
bagus utk transaksi apa aja,bagus transaksi
Mantap transfer jadi mudah,Mantap transfer jadi mudah
mantaffff,mantaffff
aku top up ml tapi dm ny ga masuk aku rugi mau laporin pas ambil ft kan udah selesai eh malah kereset harus laporin ulang pas dilaporin ulang malah kereset lagi ke tempat awal😡😞,tapi masuk rugi laporin ambil udah selesai malah kereset harus laporin ulang dilaporin ulang malah kereset lagi tempat awal
aplikasinya sangat bertanggung jawab 😍🥰,aplikasinya sangat bertanggung jawab
sampai saat ini proses masih ok 👍,sampai saat proses masih
mudah murah lebih cepat,mudah murah lebih cepat
pakai gopay transfer aman dan terpercaya,pakai gopay transfer aman terpercaya
sangat bgus,sangat bgus
bagus enak tapi kurang hadiah rb,bagus enak tapi kurang hadiah
KOG SEMUA NOMOR HP TIDAK VALID...NOMOR HP YANG VALID SEPERTI APA....PADAHAL SEMUA DALAM KEADAAN AKTIF BISA DI TELEPON...BISA DI KIRIMIN PESAN....,SEMUA NOMOR TIDAK VALIDNOMOR YANG VALID SEPERTI APAPADAHAL SEMUA DALAM KEADAAN AKTIF BISA TELEPONBISA KIRIMIN PESAN
banyak fitur baru di update sekarang makin mantap 👍,banyak fitur baru update sekarang makin mantap
🫶🫶,
Terbaik,Terbaik
kalau bisa tambahin bonus harian,kalau bisa tambahin bonus harian
gratis biaya admin cuma 2x penarikan.tapi Bagus layanan yang diberikan oleh gopay bagus,gratis biaya admin cuma penarikantapi Bagus layanan yang diberikan oleh gopay bagus
Sangat simpel dan mudah untuk digunakan,Sangat simpel mudah untuk digunakan
aplikasi ini membantu saya,aplikasi membantu saya
apk gopay seruu bisa cekin koin setiap hari dan game nya jugaa.bisa ditukar pulsa juga😘.tapi sayang nyaa untuk pinjaman gopay nya ditolak.,gopay seruu bisa cekin koin setiap hari game jugaabisa ditukar pulsa jugatapi sayang nyaa untuk pinjaman gopay ditolak
"min gua mau bayar go pinjam tidak bisa,mau top up via manapun tidak bisa 🫣",bayar pinjam tidak bisamau manapun tidak bisa
cepat sekali verifikasi nya,cepat sekali verifikasi
gak bisa game seperti blood striker kalau bisa diperbaiki,bisa game seperti blood striker kalau bisa diperbaiki
"Mudah dan praktis, ikuti saja petunjuk dan prosesnya",Mudah praktis ikuti saja petunjuk prosesnya
baguss sangat,baguss sangat
kenapa saya transfer ke apk dana tidak masuk tapi saldo kepotong dan uang tidak kembali ke akun saya,kenapa saya transfer dana tidak masuk tapi saldo kepotong uang tidak kembali akun saya
moga lncr selalu Aamiin,moga lncr selalu Aamiin
good aplikasi,good aplikasi
saldo saya di tahan GO-PAY GO-PAY saya di blokir tampa ada nya pemberitahuan ke pada pemilik akun. saya sangat kecewa.,saldo saya tahan GOPAY GOPAY saya blokir tampa pemberitahuan pada pemilik akun saya sangat kecewa
applikasi bagus untuk transaksi,applikasi bagus untuk transaksi
matap,matap
apk josss jisss,josss jisss
"Bagus' 🔯 🌟 5 ngecewain pelanggan, otw.. copot😹🙏 Minta update, m-mulu HBSin kuota.. otw hapus atuh•!🙏🥺",Bagus ngecewain pelanggan copot Minta update mmulu HBSin kuota hapus atuh
mntap,mntap
"Sdh lm pakai aplikasi ini. Dia sendiri yg ksh limit, tb"" limit di review ktnya. Lalu limit jd turun, di review lg. Aneh. Sekalian aja dihapus limitnya. Ribet amat aplikasi.",pakai aplikasi sendiri limit limit review ktnya Lalu limit turun review Aneh Sekalian dihapus limitnya Ribet amat aplikasi
apk wallet receh ada sedikit kekecewaan di saat pakai gopay pinjam. pinjam sekarang di lunansi kemudian dia kunci 1 bulan. lalu keterlambatan baru beberapa hari DC nya ikut heboh. gimana kalau gopay pinjam besar. kirain membantu ga taunya banyak cust yang kecewa.,wallet receh sedikit kekecewaan saat pakai gopay pinjam pinjam sekarang lunansi kemudian kunci bulan lalu keterlambatan baru beberapa hari ikut heboh gimana kalau gopay pinjam besar kirain membantu taunya banyak cust yang kecewa
gampang prosesnya😁👍,gampang prosesnya
Setelah lunas pembayaran Gopay pinjam malah tidak bisa tarik dana limit 6jt lebih cuma buat pajangan saja sangat KECEWA,Setelah lunas pembayaran Gopay pinjam malah tidak bisa tarik dana limit lebih cuma buat pajangan saja sangat KECEWA
"good,",good
hoax katanya undang teman dapet 10.000 tapi udah undang teman ga masuk masuk anjir gopay ngelawak😹,hoax katanya undang teman dapet 10000 tapi udah undang teman masuk masuk anjir gopay ngelawak
"Daripada pake buzzer buat nge bintangin 5.. Mending Perbaiki Aplikasi nya.. skrg GO-PAY gak bisa buat Transfer, bayar2 dan lain2..slalu blank pas mo d gunakan..Maaf.. saya un install lagi.. karena gak bisa buat transfer, isi pulsa token dll.. Makin kesini makin buruk Aplikasinya.. kalah dengan E wallet lainnya...",Daripada pake buzzer buat bintangin Mending Perbaiki Aplikasi skrg GOPAY bisa buat Transfer bayar2 lain2slalu blank gunakanMaaf saya install lagi karena bisa buat transfer pulsa token Makin kesini makin buruk Aplikasinya kalah dengan wallet lainnya
ok sih..tapi di sayangkan harusnya pas masuk menu minta no pin jadi misalkan ada orang yg pinjam hp bisa lihat saldo kita,sihtapi sayangkan harusnya masuk menu minta jadi misalkan orang pinjam bisa lihat saldo kita
bisa toup robux,bisa toup robux
"gabisa dibuka, stuck logo",gabisa dibuka stuck logo
"semakin mudah ,mantap",semakin mudah mantap
"dr awal udah ragu sih.. nympen dana besar di gopay,.. bnr aja.. ga bisa d tf atau d tarik🤦‍♂️🤦‍♂️ beda banget dengan aplikasi dana.. yg realtime tanpa hambatan.asal jaringan nya bagus",awal udah ragu nympen dana besar gopay bisa atau tarik beda banget dengan aplikasi dana realtime tanpa hambatanasal jaringan bagus
multi fungsi,multi fungsi
Excellent++!,Excellent
Aplikasih bagus,Aplikasih bagus
semakin terbaik..,semakin terbaik
good sangat puas,good sangat puas
💙💙,
"sehabis update, malah error (tiap masuk), langsung white screen tampilannya",sehabis update malah error tiap masuk langsung white screen tampilannya
mayan,mayan
mantap.,mantap
semoga dapet playleter,semoga dapet playleter
"mantap dah, kalo ada fitur tarik tunai di alfa/idm lebih bagus lagi sih",mantap kalo fitur tarik tunai alfaidm lebih bagus lagi
memuaskan sekali layanan nya,memuaskan sekali layanan
suka banget dengan gopay,suka banget dengan gopay
love yu,love
"bagus, cepat mudah dan terpercaya, banyak promo dan diskon nya juga yuk buruan download juga supaya jaringan pengguna gopay semangkin meluas",bagus cepat mudah terpercaya banyak promo diskon juga buruan download juga supaya jaringan pengguna gopay semangkin meluas
sangat memuaskan,sangat memuaskan
saya mengumpul kan banyak koin di GOPAY dan juga ada banyak geme seru di Gopay,saya mengumpul banyak koin GOPAY juga banyak geme seru Gopay
g bisa comment tapi mantap,bisa comment tapi mantap
ok baik,baik
apk bagus daripada sebelah penggunaan nya gampang banget rekomend pokonya👍👍,bagus daripada sebelah penggunaan gampang banget rekomend pokonya
jangan pernah gunakan layanan gopay pinjam. hanya gara2 saya kelebihan bayar malah dianggap saya punya tunggakan. akhirnya pay latter saya juga di blokir. mending ke aplikasi sebelah dech.,jangan pernah gunakan layanan gopay pinjam hanya gara2 saya kelebihan bayar malah dianggap saya punya tunggakan akhirnya latter saya juga blokir mending aplikasi sebelah dech
bagus bgt.tpi btw tambahin dong saldo nya,bagus bgttpi tambahin dong saldo
