Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data
lumayan,lumayan,lumayan,['lumayan'],['lumayan'],lumayan
jos sangat berguna,sangat berguna,sangat berguna,"['sangat', 'berguna']",['berguna'],guna
Istimewa,istimewa,istimewa,['istimewa'],['istimewa'],istimewa
Terimakasih aplikasinya sangat membantu. semoga berkembang makin baik dan sukses.,terimakasih aplikasinya sangat membantu semoga berkembang makin baik sukses,terimakasih aplikasinya sangat membantu semoga berkembang makin baik sukses,"['terimakasih', 'aplikasinya', 'sangat', 'membantu', 'semoga', 'berkembang', 'makin', 'baik', 'sukses']","['terimakasih', 'aplikasinya', 'membantu', 'semoga', 'berkembang', 'sukses']",terimakasih aplikasi bantu moga kembang sukses
bagus dah kayak ini,bagus kayak,bagus kayak,"['bagus', 'kayak']","['bagus', 'kayak']",bagus kayak
Tolong di bantu dong gimna cara kita pulihkan akun gopay nomor nya sudah hilang,tolong bantu dong gimna cara kita pulihkan akun gopay nomor sudah hilang,tolong bantu dong bagaimana cara kita pulihkan akun gopay nomor sudah hilang,"['tolong', 'bantu', 'dong', 'bagaimana', 'cara', 'kita', 'pulihkan', 'akun', 'gopay', 'nomor', 'sudah', 'hilang']","['tolong', 'bantu', 'pulihkan', 'akun', 'gopay', 'nomor', 'hilang']",tolong bantu pulih akun gopay nomor hilang
"gopay pet inii gabisa diclaim coin nya uda setengah bulan gimana ini masih ngebug kah yaelah makin kesini makin parah apk gopay, kemaren bisa lagi sekarang gabisa lagi apaan sih tiap ditanya kenapa malah jawab goapyy sakit lah ini itu lah apaa lah apk 1 inii hadeuh",gopay inii gabisa diclaim coin setengah bulan gimana masih ngebug yaelah makin kesini makin parah gopay kemaren bisa lagi sekarang gabisa lagi apaan tiap ditanya kenapa malah jawab goapyy sakit apaa inii hadeuh,gopay ini tidak bisa diclaim coin setengah bulan bagaimana masih ngebug yaelah makin kesini makin parah gopay kemarin bisa lagi sekarang tidak bisa lagi apaan tiap ditanya kenapa malah jawab goapyy sakit apa ini aduh,"['gopay', 'ini', 'tidak', 'bisa', 'diclaim', 'coin', 'setengah', 'bulan', 'bagaimana', 'masih', 'ngebug', 'yaelah', 'makin', 'kesini', 'makin', 'parah', 'gopay', 'kemarin', 'bisa', 'lagi', 'sekarang', 'tidak', 'bisa', 'lagi', 'apaan', 'tiap', 'ditanya', 'kenapa', 'malah', 'jawab', 'goapyy', 'sakit', 'apa', 'ini', 'aduh']","['gopay', 'diclaim', 'coin', 'ngebug', 'yaelah', 'kesini', 'parah', 'gopay', 'kemarin', 'goapyy', 'sakit', 'aduh']",gopay diclaim coin ngebug yaelah kesini parah gopay kemarin goapyy sakit aduh
sedang proses pemakaian semoga baik kedepannya dan tidak mengecewakan,sedang proses pemakaian semoga baik kedepannya tidak mengecewakan,sedang proses pemakaian semoga baik kedepannya tidak mengecewakan,"['sedang', 'proses', 'pemakaian', 'semoga', 'baik', 'kedepannya', 'tidak', 'mengecewakan']","['proses', 'pemakaian', 'semoga', 'kedepannya', 'mengecewakan']",proses pakai moga depan kecewa
ok. sangat terima kasih,sangat terima kasih,sangat terima kasih,"['sangat', 'terima', 'kasih']","['terima', 'kasih']",terima kasih
goods jop,goods,goods,['goods'],['goods'],goods
bermanfaat,bermanfaat,bermanfaat,['bermanfaat'],['bermanfaat'],manfaat
apk ini sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu
bagus banget apk ini bisa di buat jualan juga jos pokoknya,bagus banget bisa buat jualan juga pokoknya,bagus banget bisa buat jualan juga pokoknya,"['bagus', 'banget', 'bisa', 'buat', 'jualan', 'juga', 'pokoknya']","['bagus', 'banget', 'jualan', 'pokoknya']",bagus banget jual pokok
mudah dan cepat,mudah cepat,mudah cepat,"['mudah', 'cepat']","['mudah', 'cepat']",mudah cepat
"prosesnya cepat,,puas sekali dengan aplikasinya",prosesnya cepatpuas sekali dengan aplikasinya,prosesnya cepatpuas sekali dengan aplikasinya,"['prosesnya', 'cepatpuas', 'sekali', 'dengan', 'aplikasinya']","['prosesnya', 'cepatpuas', 'aplikasinya']",proses cepatpuas aplikasi
sangat mudah digunakan dan jg sangat membantu kelancaran transaksi...,sangat mudah digunakan sangat membantu kelancaran transaksi,sangat mudah digunakan sangat membantu kelancaran transaksi,"['sangat', 'mudah', 'digunakan', 'sangat', 'membantu', 'kelancaran', 'transaksi']","['mudah', 'membantu', 'kelancaran', 'transaksi']",mudah bantu lancar transaksi
mudah2an bisa di permudah dari gopay nya🙏,mudahan bisa permudah dari gopay,mudahan bisa permudah dari gopay,"['mudahan', 'bisa', 'permudah', 'dari', 'gopay']","['mudahan', 'permudah', 'gopay']",mudah mudah gopay
mantap,mantap,mantap,['mantap'],['mantap'],mantap
aman dan terpercaya,aman terpercaya,aman terpercaya,"['aman', 'terpercaya']","['aman', 'terpercaya']",aman percaya
"murah, cepet, simple, top banget ini tp eh gopay isiin itu apasih namnya roblox yang robux isiin yang 80 sampe yang ribuan robux, jangna pake card, adain dong robux yang beli 80-400 prem, habis itu yant lain",murah cepet simple banget gopay isiin apasih namnya roblox yang robux isiin yang sampe yang ribuan robux jangna pake card adain dong robux yang beli  prem habis yant lain,murah cepat simple banget gopay isiin apasih namanya roblox yang robux isiin yang sampai yang ribuan robux jangna pakai card mengadakan dong robux yang beli prem habis yant lain,"['murah', 'cepat', 'simple', 'banget', 'gopay', 'isiin', 'apasih', 'namanya', 'roblox', 'yang', 'robux', 'isiin', 'yang', 'sampai', 'yang', 'ribuan', 'robux', 'jangna', 'pakai', 'card', 'mengadakan', 'dong', 'robux', 'yang', 'beli', 'prem', 'habis', 'yant', 'lain']","['murah', 'cepat', 'simple', 'banget', 'gopay', 'isiin', 'apasih', 'namanya', 'roblox', 'robux', 'isiin', 'ribuan', 'robux', 'jangna', 'pakai', 'card', 'mengadakan', 'robux', 'beli', 'prem', 'habis', 'yant']",murah cepat simple banget gopay isiin apasih nama roblox robux isiin ribu robux jangna pakai card ada robux beli prem habis yant
nice,nice,nice,['nice'],['nice'],nice
mantap new,mantap,mantap,['mantap'],['mantap'],mantap
selalu menjadi yang terbaik,selalu menjadi yang terbaik,selalu menjadi yang terbaik,"['selalu', 'menjadi', 'yang', 'terbaik']",['terbaik'],baik
sayang banget sama aplikasi satu ini selalu banyak diskonnya makin seneng deh gunain gopay,sayang banget sama aplikasi satu selalu banyak diskonnya makin seneng gunain gopay,sayang banget sama aplikasi satu selalu banyak diskonnya makin senang gunain gopay,"['sayang', 'banget', 'sama', 'aplikasi', 'satu', 'selalu', 'banyak', 'diskonnya', 'makin', 'senang', 'gunain', 'gopay']","['sayang', 'banget', 'aplikasi', 'diskonnya', 'senang', 'gunain', 'gopay']",sayang banget aplikasi diskon senang gunain gopay
"Update sekarang, Tiap buka Aplikasi hrs Login,otp nmr,verifikasi Wajah. sangat merepotkan, klu demi keaman ga segitunya kali.. baru kali ini dapat aplikasi tiap di buka minta login ulang..",update sekarang tiap buka aplikasi loginotp nmrverifikasi wajah sangat merepotkan demi keaman segitunya kali baru kali dapat aplikasi tiap buka minta login ulang,update sekarang tiap buka aplikasi loginotp nmrverifikasi wajah sangat merepotkan demi keaman sebegitunya kali baru kali dapat aplikasi tiap buka meminta login ulang,"['update', 'sekarang', 'tiap', 'buka', 'aplikasi', 'loginotp', 'nmrverifikasi', 'wajah', 'sangat', 'merepotkan', 'demi', 'keaman', 'sebegitunya', 'kali', 'baru', 'kali', 'dapat', 'aplikasi', 'tiap', 'buka', 'meminta', 'login', 'ulang']","['update', 'buka', 'aplikasi', 'loginotp', 'nmrverifikasi', 'wajah', 'merepotkan', 'keaman', 'sebegitunya', 'kali', 'kali', 'aplikasi', 'buka', 'login', 'ulang']",update buka aplikasi loginotp nmrverifikasi wajah repot aman begitu kali kali aplikasi buka login ulang
top up murah sekali,murah sekali,murah sekali,"['murah', 'sekali']",['murah'],murah
sangat membantu dan sangat mudah mantul dah,sangat membantu sangat mudah mantul,sangat membantu sangat mudah mantul,"['sangat', 'membantu', 'sangat', 'mudah', 'mantul']","['membantu', 'mudah', 'mantul']",bantu mudah mantul
Aplikasi Cocok Buat Kebutuhan dan Transaksi Lebih Mudah dan Aman di Pake,aplikasi cocok buat kebutuhan transaksi lebih mudah aman pake,aplikasi cocok buat kebutuhan transaksi lebih mudah aman pakai,"['aplikasi', 'cocok', 'buat', 'kebutuhan', 'transaksi', 'lebih', 'mudah', 'aman', 'pakai']","['aplikasi', 'cocok', 'kebutuhan', 'transaksi', 'mudah', 'aman', 'pakai']",aplikasi cocok butuh transaksi mudah aman pakai
gopey Aman dan terpercaya terimakasih,gopey aman terpercaya terimakasih,gopey aman terpercaya terimakasih,"['gopey', 'aman', 'terpercaya', 'terimakasih']","['gopey', 'aman', 'terpercaya', 'terimakasih']",gopey aman percaya terimakasih
"KALAU PUNYA VOUCHER CASHBACK UNTUK GAME ITU YANG BENAR GAUSAH MENIPU., MERUGIKAN USAHA ORANG!!! Udah lebih dari 1x saya kena tipu voucher cashback topup game.Di transaksi pertama saya ga ada masuk masuk dana pengembalian nya,katanya salah jadwal jam lah harus di kisaran jam 15.00 sampai 16.00,sedangkan di keterangan voucher dan syarat berlaku voucher tidak ada dijelaskan hal ini. Disaat transaksi kedua juga mengalami hal yang sama padahal udah mengikuti semua aturan dan jam nya yang benar!!!!!!",kalau punya voucher cashback untuk game yang benar gausah menipu merugikan usaha orang udah lebih dari saya kena tipu voucher cashback topup gamedi transaksi pertama saya masuk masuk dana pengembalian nyakatanya salah jadwal harus kisaran  sampai sedangkan keterangan voucher syarat berlaku voucher tidak dijelaskan disaat transaksi kedua juga mengalami yang sama padahal udah mengikuti semua aturan yang benar,kalau punya voucher cashback untuk game yang benar tidak usah menipu merugikan usaha orang sudah lebih dari saya kena tipu voucher cashback topup gamedi transaksi pertama saya masuk masuk dana pengembalian nyakatanya salah jadwal harus kisaran sampai sedangkan keterangan voucher syarat berlaku voucher tidak dijelaskan disaat transaksi kedua juga mengalami yang sama padahal sudah mengikuti semua aturan yang benar,"['kalau', 'punya', 'voucher', 'cashback', 'untuk', 'game', 'yang', 'benar', 'tidak', 'usah', 'menipu', 'merugikan', 'usaha', 'orang', 'sudah', 'lebih', 'dari', 'saya', 'kena', 'tipu', 'voucher', 'cashback', 'topup', 'gamedi', 'transaksi', 'pertama', 'saya', 'masuk', 'masuk', 'dana', 'pengembalian', 'nyakatanya', 'salah', 'jadwal', 'harus', 'kisaran', 'sampai', 'sedangkan', 'keterangan', 'voucher', 'syarat', 'berlaku', 'voucher', 'tidak', 'dijelaskan', 'disaat', 'transaksi', 'kedua', 'juga', 'mengalami', 'yang', 'sama', 'padahal', 'sudah', 'mengikuti', 'semua', 'aturan', 'yang', 'benar']","['voucher', 'cashback', 'game', 'menipu', 'merugikan', 'usaha', 'orang', 'kena', 'tipu', 'voucher', 'cashback', 'topup', 'gamedi', 'transaksi', 'masuk', 'masuk', 'dana', 'pengembalian', 'nyakatanya', 'salah', 'jadwal', 'kisaran', 'keterangan', 'voucher', 'syarat', 'berlaku', 'voucher', 'disaat', 'transaksi', 'mengalami', 'mengikuti', 'aturan']",voucher cashback game tipu rugi usaha orang kena tipu voucher cashback topup gamedi transaksi masuk masuk dana kembali nyakatanya salah jadwal kisar terang voucher syarat laku voucher saat transaksi alami ikut atur
bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget
puas,puas,puas,['puas'],['puas'],puas
keren,keren,keren,['keren'],['keren'],keren
oke mantap,mantap,mantap,['mantap'],['mantap'],mantap
good,good,good,['good'],['good'],good
berguna,berguna,berguna,['berguna'],['berguna'],guna
tetap selalu berkembang,tetap selalu berkembang,tetap selalu berkembang,"['tetap', 'selalu', 'berkembang']",['berkembang'],kembang
apk gopay mantap,gopay mantap,gopay mantap,"['gopay', 'mantap']","['gopay', 'mantap']",gopay mantap
Bagus ga ribet,bagus ribet,bagus ribet,"['bagus', 'ribet']","['bagus', 'ribet']",bagus ribet
Koin tidak bisa di pakai,koin tidak bisa pakai,koin tidak bisa pakai,"['koin', 'tidak', 'bisa', 'pakai']","['koin', 'pakai']",koin pakai
sangat bagus YGY,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],bagus
praktis ngga ribet dan baik hati🤗🤗🤗,praktis ngga ribet baik hati,praktis tidak ribet baik hati,"['praktis', 'tidak', 'ribet', 'baik', 'hati']","['praktis', 'ribet', 'hati']",praktis ribet hati
mantap aplikasi ya,mantap aplikasi,mantap aplikasi,"['mantap', 'aplikasi']","['mantap', 'aplikasi']",mantap aplikasi
donlot dah,donlot,donlot,['donlot'],['donlot'],donlot
"Gopay oh gopay ini makin kesini koq makin kesana yaaa, sekarang saya mau beli pulsa ataupun paket data, transfer duit ke bank lain, VC, top up dan kesemua akses tidak bisa. kenapa sih ! Jadi menyebalkan. Saya coba uninstal dan dowmload kembali pas masukin no hp dia bilang bermasalah, padahal saldo saya masih banyak didalamnya. Tolonglah admin perbaiki lagi sistemmu yg sering eror dan amburadul, lama2 gw banting juga nih hp.",gopay gopay makin kesini makin kesana yaaa sekarang saya beli pulsa ataupun paket data transfer duit bank lain kesemua akses tidak bisa kenapa jadi menyebalkan saya coba uninstal dowmload kembali masukin bilang bermasalah padahal saldo saya masih banyak didalamnya tolonglah admin perbaiki lagi sistemmu sering eror amburadul lama banting juga,gopay gopay makin kesini makin kesana ya sekarang saya beli pulsa ataupun paket data transfer duit bank lain kesemua akses tidak bisa kenapa jadi menyebalkan saya coba uninstal dowmload kembali memasuki bilang bermasalah padahal saldo saya masih banyak didalamnya tolonglah admin perbaiki lagi sistemmu sering eror amburadul lama banting juga,"['gopay', 'gopay', 'makin', 'kesini', 'makin', 'kesana', 'ya', 'sekarang', 'saya', 'beli', 'pulsa', 'ataupun', 'paket', 'data', 'transfer', 'duit', 'bank', 'lain', 'kesemua', 'akses', 'tidak', 'bisa', 'kenapa', 'jadi', 'menyebalkan', 'saya', 'coba', 'uninstal', 'dowmload', 'kembali', 'memasuki', 'bilang', 'bermasalah', 'padahal', 'saldo', 'saya', 'masih', 'banyak', 'didalamnya', 'tolonglah', 'admin', 'perbaiki', 'lagi', 'sistemmu', 'sering', 'eror', 'amburadul', 'lama', 'banting', 'juga']","['gopay', 'gopay', 'kesini', 'kesana', 'ya', 'beli', 'pulsa', 'paket', 'data', 'transfer', 'duit', 'bank', 'kesemua', 'akses', 'menyebalkan', 'coba', 'uninstal', 'dowmload', 'memasuki', 'bilang', 'bermasalah', 'saldo', 'didalamnya', 'tolonglah', 'admin', 'perbaiki', 'sistemmu', 'eror', 'amburadul', 'banting']",gopay gopay kesini kesana ya beli pulsa paket data transfer duit bank semua akses sebal coba uninstal dowmload pasuk bilang masalah saldo dalam tolong admin baik sistem eror amburadul banting
Bagus banget udh gitu gampang loginnya,bagus banget gitu gampang loginnya,bagus banget begitu gampang loginnya,"['bagus', 'banget', 'begitu', 'gampang', 'loginnya']","['bagus', 'banget', 'gampang', 'loginnya']",bagus banget gampang loginnya
lelet banget bikin emosi,lelet banget bikin emosi,lelet banget bikin emosi,"['lelet', 'banget', 'bikin', 'emosi']","['lelet', 'banget', 'bikin', 'emosi']",lelet banget bikin emosi
Bagus,bagus,bagus,['bagus'],['bagus'],bagus
the best wallet,best wallet,best wallet,"['best', 'wallet']","['best', 'wallet']",best wallet
terima kasih developer nya jadi happy🎉,terima kasih developer jadi happy,terima kasih developer jadi happy,"['terima', 'kasih', 'developer', 'jadi', 'happy']","['terima', 'kasih', 'developer', 'happy']",terima kasih developer happy
aplikasi ga jelas...isi pulsa muncul notif gopulsa error. Gimana nih admin gopay?,aplikasi jelasisi pulsa muncul notif gopulsa error gimana admin gopay,aplikasi jelasisi pulsa muncul notif gopulsa error bagaimana admin gopay,"['aplikasi', 'jelasisi', 'pulsa', 'muncul', 'notif', 'gopulsa', 'error', 'bagaimana', 'admin', 'gopay']","['aplikasi', 'jelasisi', 'pulsa', 'muncul', 'notif', 'gopulsa', 'error', 'admin', 'gopay']",aplikasi jelasisi pulsa muncul notif gopulsa error admin gopay
"baru kali ini sy kecewa dengan gopay karena sampai saat ini sy transfer ke teman belum di sampai dan saldo sy sudah terpotong. laporan ga ada tanggapan dan jawaban,nyesel knp ga pakai mbanking huft...",baru kali kecewa dengan gopay karena sampai saat transfer teman belum sampai saldo sudah terpotong laporan tanggapan jawabannyesel pakai mbanking huft,baru kali kecewa dengan gopay karena sampai saat transfer teman belum sampai saldo sudah terpotong laporan tanggapan jawabannyesel pakai mbanking huft,"['baru', 'kali', 'kecewa', 'dengan', 'gopay', 'karena', 'sampai', 'saat', 'transfer', 'teman', 'belum', 'sampai', 'saldo', 'sudah', 'terpotong', 'laporan', 'tanggapan', 'jawabannyesel', 'pakai', 'mbanking', 'huft']","['kali', 'kecewa', 'gopay', 'transfer', 'teman', 'saldo', 'terpotong', 'laporan', 'tanggapan', 'jawabannyesel', 'pakai', 'mbanking', 'huft']",kali kecewa gopay transfer teman saldo potong lapor tanggap jawabannyesel pakai mbanking huft
"bagaimana cara nya lihat kode referal tolong di bantu untuk hp redmi ram 3,,",bagaimana cara lihat kode referal tolong bantu untuk redmi,bagaimana cara lihat kode referal tolong bantu untuk redmi,"['bagaimana', 'cara', 'lihat', 'kode', 'referal', 'tolong', 'bantu', 'untuk', 'redmi']","['lihat', 'kode', 'referal', 'tolong', 'bantu', 'redmi']",lihat kode referal tolong bantu redmi
bagus semoga amanah,bagus semoga amanah,bagus semoga amanah,"['bagus', 'semoga', 'amanah']","['bagus', 'semoga', 'amanah']",bagus moga amanah
Mulai instal gopay gara2 bisa nonton anime,mulai instal gopay gara bisa nonton anime,mulai instal gopay gara bisa menonton anime,"['mulai', 'instal', 'gopay', 'gara', 'bisa', 'menonton', 'anime']","['instal', 'gopay', 'gara', 'menonton', 'anime']",instal gopay gara tonton anime
goooddd,goooddd,goooddd,['goooddd'],['goooddd'],goooddd
baru pertama kali,baru pertama kali,baru pertama kali,"['baru', 'pertama', 'kali']",['kali'],kali
"terimakasih atas perbaikan nya, semoga Gopay dsn go to tetap jaya 💪💪💪💪❤️❤️❤️",terimakasih atas perbaikan semoga gopay tetap jaya,terimakasih atas perbaikan semoga gopay tetap jaya,"['terimakasih', 'atas', 'perbaikan', 'semoga', 'gopay', 'tetap', 'jaya']","['terimakasih', 'perbaikan', 'semoga', 'gopay', 'jaya']",terimakasih baik moga gopay jaya
gopay dperbarui malah gk bisa buat transfer menjengkelkan,gopay dperbarui malah bisa buat transfer menjengkelkan,gopay dperbarui malah bisa buat transfer menjengkelkan,"['gopay', 'dperbarui', 'malah', 'bisa', 'buat', 'transfer', 'menjengkelkan']","['gopay', 'dperbarui', 'transfer', 'menjengkelkan']",gopay dperbarui transfer jengkel
ok banget,banget,banget,['banget'],['banget'],banget
kecewa sih bikin promo kek apa banget,kecewa bikin promo banget,kecewa bikin promo banget,"['kecewa', 'bikin', 'promo', 'banget']","['kecewa', 'bikin', 'promo', 'banget']",kecewa bikin promo banget
"aplikasi yang sangat membantu,mudah dan murah,,tetapi kalau bisa ditambahin dong fitur emas digital,biar tidak kalah sama kompetitor sebelah,!!",aplikasi yang sangat membantumudah murahtetapi kalau bisa ditambahin dong fitur emas digitalbiar tidak kalah sama kompetitor sebelah,aplikasi yang sangat membantumudah murahtetapi kalau bisa ditambahin dong fitur emas digitalbiar tidak kalah sama kompetitor sebelah,"['aplikasi', 'yang', 'sangat', 'membantumudah', 'murahtetapi', 'kalau', 'bisa', 'ditambahin', 'dong', 'fitur', 'emas', 'digitalbiar', 'tidak', 'kalah', 'sama', 'kompetitor', 'sebelah']","['aplikasi', 'membantumudah', 'murahtetapi', 'ditambahin', 'fitur', 'emas', 'digitalbiar', 'kalah', 'kompetitor', 'sebelah']",aplikasi membantumudah murahtetapi ditambahin fitur emas digitalbiar kalah kompetitor belah
ko mau kirim masih ga bisa,kirim masih bisa,kirim masih bisa,"['kirim', 'masih', 'bisa']",['kirim'],kirim
senang deh pake gopay,senang pake gopay,senang pakai gopay,"['senang', 'pakai', 'gopay']","['senang', 'pakai', 'gopay']",senang pakai gopay
mantap bnyak bonus dan murah lagi,mantap bnyak bonus murah lagi,mantap banyak bonus murah lagi,"['mantap', 'banyak', 'bonus', 'murah', 'lagi']","['mantap', 'bonus', 'murah']",mantap bonus murah
tambah keren,tambah keren,tambah keren,"['tambah', 'keren']",['keren'],keren
bagus banget buat beli robux jadi gampang,bagus banget buat beli robux jadi gampang,bagus banget buat beli robux jadi gampang,"['bagus', 'banget', 'buat', 'beli', 'robux', 'jadi', 'gampang']","['bagus', 'banget', 'beli', 'robux', 'gampang']",bagus banget beli robux gampang
murah,murah,murah,['murah'],['murah'],murah
bagus bgt,bagus,bagus,['bagus'],['bagus'],bagus
"udah update versi terbaru masih aja lemot, lelet ga jelas padahal sinyal bagus👎",udah update versi terbaru masih lemot lelet jelas padahal sinyal bagus,sudah update versi terbaru masih lemot lelet jelas padahal sinyal bagus,"['sudah', 'update', 'versi', 'terbaru', 'masih', 'lemot', 'lelet', 'jelas', 'padahal', 'sinyal', 'bagus']","['update', 'versi', 'terbaru', 'lemot', 'lelet', 'sinyal', 'bagus']",update versi baru lot lelet sinyal bagus
sangat bagus tapi kalo ada hadiah uang 1 hari lebih bagus,sangat bagus tapi kalo hadiah uang hari lebih bagus,sangat bagus tapi kalau hadiah uang hari lebih bagus,"['sangat', 'bagus', 'tapi', 'kalau', 'hadiah', 'uang', 'hari', 'lebih', 'bagus']","['bagus', 'hadiah', 'uang', 'bagus']",bagus hadiah uang bagus
apk apaan ini gw spin yg kyk gitu mau berenti di 10jt gopay coin mlh berenti di 20 gopay coin,apaan spin gitu berenti jt gopay coin berenti gopay coin,apaan spin begitu berenti juta gopay coin berenti gopay coin,"['apaan', 'spin', 'begitu', 'berenti', 'juta', 'gopay', 'coin', 'berenti', 'gopay', 'coin']","['spin', 'berenti', 'juta', 'gopay', 'coin', 'berenti', 'gopay', 'coin']",spin renti juta gopay coin renti gopay coin
joss,joss,joss,['joss'],['joss'],joss
bagus jadi mudah transaksi,bagus jadi mudah transaksi,bagus jadi mudah transaksi,"['bagus', 'jadi', 'mudah', 'transaksi']","['bagus', 'mudah', 'transaksi']",bagus mudah transaksi
terimakasih sangat membantu,terimakasih sangat membantu,terimakasih sangat membantu,"['terimakasih', 'sangat', 'membantu']","['terimakasih', 'membantu']",terimakasih bantu
aplikasi keren. mudah digunakan praktis,aplikasi keren mudah digunakan praktis,aplikasi keren mudah digunakan praktis,"['aplikasi', 'keren', 'mudah', 'digunakan', 'praktis']","['aplikasi', 'keren', 'mudah', 'praktis']",aplikasi keren mudah praktis
"aneh, nawarin promo, promonya aja gak ada sistemnya tolong diperbaiki",aneh nawarin promo promonya sistemnya tolong diperbaiki,aneh menawari promo promonya sistemnya tolong diperbaiki,"['aneh', 'menawari', 'promo', 'promonya', 'sistemnya', 'tolong', 'diperbaiki']","['aneh', 'menawari', 'promo', 'promonya', 'sistemnya', 'tolong', 'diperbaiki']",aneh tawar promo promonya sistem tolong baik
GOPAY OK LAH..,gopay,gopay,['gopay'],['gopay'],gopay
baguss bangett gopayy bisa menangin kuota dengan 1perak,baguss bangett gopayy bisa menangin kuota dengan perak,bagus banget gopayy bisa menangin kuota dengan perak,"['bagus', 'banget', 'gopayy', 'bisa', 'menangin', 'kuota', 'dengan', 'perak']","['bagus', 'banget', 'gopayy', 'menangin', 'kuota', 'perak']",bagus banget gopayy menangin kuota perak
uji coba dlu👍🙏,coba,coba,['coba'],['coba'],coba
saya sebenarnya mengasih bintang 5 itu sedang ngelek,saya sebenarnya mengasih bintang sedang ngelek,saya sebenarnya mengasih bintang sedang ngelek,"['saya', 'sebenarnya', 'mengasih', 'bintang', 'sedang', 'ngelek']","['mengasih', 'bintang', 'ngelek']",asih bintang ngelek
aplikasi yg bagus dan keren,aplikasi bagus keren,aplikasi bagus keren,"['aplikasi', 'bagus', 'keren']","['aplikasi', 'bagus', 'keren']",aplikasi bagus keren
kreeen,kreeen,kreeen,['kreeen'],['kreeen'],kreeen
aplikasi sering mengalami eror saat dipakai dan tidak dapat melakukan transaksi di gopay,aplikasi sering mengalami eror saat dipakai tidak dapat melakukan transaksi gopay,aplikasi sering mengalami eror saat dipakai tidak dapat melakukan transaksi gopay,"['aplikasi', 'sering', 'mengalami', 'eror', 'saat', 'dipakai', 'tidak', 'dapat', 'melakukan', 'transaksi', 'gopay']","['aplikasi', 'mengalami', 'eror', 'dipakai', 'transaksi', 'gopay']",aplikasi alami eror pakai transaksi gopay
sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu
20x du upgrade ke go pay plus tdk bisa terus.....pdhl sdh mengikuti prosedur .... ada akun terkain dan akun trsbt sudah hilang nomor nya ...,upgrade plus bisa teruspdhl mengikuti prosedur akun terkain akun trsbt sudah hilang nomor,upgrade plus bisa teruspdhl mengikuti prosedur akun terkain akun trsbt sudah hilang nomor,"['upgrade', 'plus', 'bisa', 'teruspdhl', 'mengikuti', 'prosedur', 'akun', 'terkain', 'akun', 'trsbt', 'sudah', 'hilang', 'nomor']","['upgrade', 'plus', 'teruspdhl', 'mengikuti', 'prosedur', 'akun', 'terkain', 'akun', 'trsbt', 'hilang', 'nomor']",upgrade plus teruspdhl ikut prosedur akun kain akun trsbt hilang nomor
