Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data,score,label
sangat bagus aplikasi ini buat transfer mantep poko nya,sangat bagus aplikasi buat transfer mantep poko,sangat bagus aplikasi buat transfer mantap pokok,"['sangat', 'bagus', 'aplikasi', 'buat', 'transfer', 'mantap', 'pokok']","['bagus', 'aplikasi', 'transfer', 'mantap', 'pokok']",bagus aplikasi transfer mantap pokok,6,positive
mantap,mantap,mantap,['mantap'],['mantap'],mantap,5,positive
dana saya nyangkut saya transfer ke shopepay konfirmasi katanya masuk dari riwayatnya pun ada tapi di shopepay tidak masuk saya laporkan masalah ini malah lama banget balesnya mana jumlahnya banyak lagi jelek banget dana sekarang,dana saya nyangkut saya transfer shopepay konfirmasi katanya masuk dari riwayatnya tapi shopepay tidak masuk saya laporkan masalah malah lama banget balesnya mana jumlahnya banyak lagi jelek banget dana sekarang,dana saya nyangkut saya transfer shopepay konfirmasi katanya masuk dari riwayatnya tapi shopepay tidak masuk saya laporkan masalah malah lama banget balesnya mana jumlahnya banyak lagi jelek banget dana sekarang,"['dana', 'saya', 'nyangkut', 'saya', 'transfer', 'shopepay', 'konfirmasi', 'katanya', 'masuk', 'dari', 'riwayatnya', 'tapi', 'shopepay', 'tidak', 'masuk', 'saya', 'laporkan', 'masalah', 'malah', 'lama', 'banget', 'balesnya', 'mana', 'jumlahnya', 'banyak', 'lagi', 'jelek', 'banget', 'dana', 'sekarang']","['dana', 'nyangkut', 'transfer', 'shopepay', 'konfirmasi', 'masuk', 'riwayatnya', 'shopepay', 'masuk', 'laporkan', 'banget', 'balesnya', 'jelek', 'banget', 'dana']",dana nyangkut transfer shopepay konfirmasi masuk riwayat shopepay masuk lapor banget balesnya jelek banget dana,2,positive
aplikasi dana is the best sangat membantu dalam bertransaksi,aplikasi dana best sangat membantu dalam bertransaksi,aplikasi dana best sangat membantu dalam bertransaksi,"['aplikasi', 'dana', 'best', 'sangat', 'membantu', 'dalam', 'bertransaksi']","['aplikasi', 'dana', 'best', 'membantu', 'bertransaksi']",aplikasi dana best bantu transaksi,7,positive
bangus untuk transaksi sangat cepat,bangus untuk transaksi sangat cepat,bangus untuk transaksi sangat cepat,"['bangus', 'untuk', 'transaksi', 'sangat', 'cepat']","['bangus', 'transaksi', 'cepat']",bangus transaksi cepat,7,positive
"sengaja kasi 5 bintang, soalnya aku kapok dulu uang aku habis di bobol di dana",sengaja kasi bintang soalnya kapok dulu uang habis bobol dana,sengaja kasih bintang soalnya kapok dulu uang habis bobol dana,"['sengaja', 'kasih', 'bintang', 'soalnya', 'kapok', 'dulu', 'uang', 'habis', 'bobol', 'dana']","['sengaja', 'kasih', 'bintang', 'kapok', 'uang', 'habis', 'bobol', 'dana']",sengaja kasih bintang kapok uang habis bobol dana,0,neutral
sangat membantu dlm keadaan terdesak,sangat membantu keadaan terdesak,sangat membantu keadaan terdesak,"['sangat', 'membantu', 'keadaan', 'terdesak']","['membantu', 'terdesak']",bantu desak,4,positive
sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu,3,positive
hadeh sengaja bener kasih otp pdhl wa nomor dan kartu saya sudah tidak aktif tapi Masi dimintain otp herann juga,hadeh sengaja bener kasih pdhl nomor kartu saya sudah tidak aktif tapi masi dimintain herann juga,hadeh sengaja benar kasih padahal nomor kartu saya sudah tidak aktif tapi masih dimintain herann juga,"['hadeh', 'sengaja', 'benar', 'kasih', 'padahal', 'nomor', 'kartu', 'saya', 'sudah', 'tidak', 'aktif', 'tapi', 'masih', 'dimintain', 'herann', 'juga']","['hadeh', 'sengaja', 'kasih', 'nomor', 'kartu', 'aktif', 'dimintain', 'herann']",hadeh sengaja kasih nomor kartu aktif dimintain herann,-2,negative
kerenn,kerenn,keren,['keren'],['keren'],keren,0,neutral
sanggat bermanfaat,sanggat bermanfaat,sangat bermanfaat,"['sangat', 'bermanfaat']",['bermanfaat'],manfaat,5,positive
sangat puas,sangat puas,sangat puas,"['sangat', 'puas']",['puas'],puas,3,positive
"sengaja kasih bintang 5 biar di baca,tolong bngt min inimah pdhl sblmnya saya sdh premium tpi skrng sdh ngga premium lagi,pas saya tanya ke diana mlh muter2 jwban ny,pdhl saldo ada di akun,transaksi jg sering,ini gmna ini min",sengaja kasih bintang biar bacatolong bngt inimah pdhl sblmnya saya premium skrng ngga premium lagipas saya tanya diana muter jwban nypdhl saldo akuntransaksi seringini gmna,sengaja kasih bintang biar bacatolong banget inimah padahal sebelumnya saya premium sekarang tidak premium lagipas saya tanya diana muter jawaban nypdhl saldo akuntransaksi seringini bagaimana,"['sengaja', 'kasih', 'bintang', 'biar', 'bacatolong', 'banget', 'inimah', 'padahal', 'sebelumnya', 'saya', 'premium', 'sekarang', 'tidak', 'premium', 'lagipas', 'saya', 'tanya', 'diana', 'muter', 'jawaban', 'nypdhl', 'saldo', 'akuntransaksi', 'seringini', 'bagaimana']","['sengaja', 'kasih', 'bintang', 'biar', 'bacatolong', 'banget', 'inimah', 'premium', 'premium', 'lagipas', 'diana', 'muter', 'nypdhl', 'saldo', 'akuntransaksi', 'seringini']",sengaja kasih bintang biar bacatolong banget inimah premium premium lagipas ana muter nypdhl saldo akuntransaksi ringin,10,positive
"aplikasi idiot mau buka akun sendri enggak bisa di blokir pas ad uangnya apk dajal, dompet digital cacat",aplikasi idiot buka akun sendri enggak bisa blokir uangnya dajal dompet digital cacat,aplikasi idiot buka akun sendiri enggak bisa blokir uangnya dajal dompet digital cacat,"['aplikasi', 'idiot', 'buka', 'akun', 'sendiri', 'enggak', 'bisa', 'blokir', 'uangnya', 'dajal', 'dompet', 'digital', 'cacat']","['aplikasi', 'idiot', 'buka', 'akun', 'blokir', 'uangnya', 'dajal', 'dompet', 'digital', 'cacat']",aplikasi idiot buka akun blokir uang dajal dompet digital cacat,-19,negative
tolong dong email saya ga bisa digunakan lagi jadi pas mau login kode otp nya ga bisa masuk karna emailnya ga aktif sudah chat diana tidak ada pengaruhnya,tolong dong email saya bisa digunakan lagi jadi login kode bisa masuk karna emailnya aktif sudah chat diana tidak pengaruhnya,tolong dong email saya bisa digunakan lagi jadi login kode bisa masuk karena emailnya aktif sudah chat diana tidak pengaruhnya,"['tolong', 'dong', 'email', 'saya', 'bisa', 'digunakan', 'lagi', 'jadi', 'login', 'kode', 'bisa', 'masuk', 'karena', 'emailnya', 'aktif', 'sudah', 'chat', 'diana', 'tidak', 'pengaruhnya']","['tolong', 'email', 'login', 'kode', 'masuk', 'emailnya', 'aktif', 'chat', 'diana', 'pengaruhnya']",tolong email login kode masuk email aktif chat ana pengaruh,7,positive
kenaapa aplikasima eror mulu saat minta otp,kenaapa aplikasima eror mulu saat minta,kenaapa aplikasima eror mulu saat meminta,"['kenaapa', 'aplikasima', 'eror', 'mulu', 'saat', 'meminta']","['kenaapa', 'aplikasima', 'eror', 'mulu']",kenaapa aplikasima eror mulu,-2,negative
ok banget,banget,banget,['banget'],['banget'],banget,1,positive
kaga bisa kebuka dana nya,kaga bisa kebuka dana,kagak bisa kebuka dana,"['kagak', 'bisa', 'kebuka', 'dana']","['kagak', 'kebuka', 'dana']",kagak buka dana,4,positive
dengan Dana semua transaksi jadi mudah.,dengan dana semua transaksi jadi mudah,dengan dana semua transaksi jadi mudah,"['dengan', 'dana', 'semua', 'transaksi', 'jadi', 'mudah']","['dana', 'transaksi', 'mudah']",dana transaksi mudah,12,positive
sangat puas kasih bintang 4 keren,sangat puas kasih bintang keren,sangat puas kasih bintang keren,"['sangat', 'puas', 'kasih', 'bintang', 'keren']","['puas', 'kasih', 'bintang', 'keren']",puas kasih bintang keren,5,positive
ga jelas suka ngebug udh ada foto qris malah kaga ada pas mau tf,jelas suka ngebug foto qris malah kaga,jelas suka ngebug foto qris malah kagak,"['jelas', 'suka', 'ngebug', 'foto', 'qris', 'malah', 'kagak']","['suka', 'ngebug', 'foto', 'qris', 'kagak']",suka ngebug foto qris kagak,3,positive
Bagusss,bagusss,bagus,['bagus'],['bagus'],bagus,2,positive
bagus sekali,bagus sekali,bagus sekali,"['bagus', 'sekali']",['bagus'],bagus,2,positive
tidak nisa masuk ke akaun perihal nomor tiadak aktif..padahal masih ada saldonya,tidak nisa masuk akaun perihal nomor tiadak aktifpadahal masih saldonya,tidak nisa masuk akaun perihal nomor tiadak aktifpadahal masih saldonya,"['tidak', 'nisa', 'masuk', 'akaun', 'perihal', 'nomor', 'tiadak', 'aktifpadahal', 'masih', 'saldonya']","['nisa', 'masuk', 'akaun', 'perihal', 'nomor', 'tiadak', 'aktifpadahal', 'saldonya']",nisa masuk akaun perihal nomor tiadak aktifpadahal saldo,-1,negative
kadang bisa hilang uang di simpan lama lama disini,kadang bisa hilang uang simpan lama lama disini,kadang bisa hilang uang simpan lama lama disini,"['kadang', 'bisa', 'hilang', 'uang', 'simpan', 'lama', 'lama', 'disini']","['kadang', 'hilang', 'uang', 'simpan']",kadang hilang uang simpan,3,positive
tolong kasih aku fitur cicil dana,tolong kasih fitur cicil dana,tolong kasih fitur cicil dana,"['tolong', 'kasih', 'fitur', 'cicil', 'dana']","['tolong', 'kasih', 'fitur', 'cicil', 'dana']",tolong kasih fitur cicil dana,9,positive
sangat bermanfaat dan praktis bagi kami pengguna dana,sangat bermanfaat praktis bagi kami pengguna dana,sangat bermanfaat praktis bagi kami pengguna dana,"['sangat', 'bermanfaat', 'praktis', 'bagi', 'kami', 'pengguna', 'dana']","['bermanfaat', 'praktis', 'pengguna', 'dana']",manfaat praktis guna dana,14,positive
halo kak dana saya tidak bisa di buka dengan alasan jaringan tetatpi di hp lain bisa,halo dana saya tidak bisa buka dengan alasan jaringan tetatpi lain bisa,halo dana saya tidak bisa buka dengan alasan jaringan tetatpi lain bisa,"['halo', 'dana', 'saya', 'tidak', 'bisa', 'buka', 'dengan', 'alasan', 'jaringan', 'tetatpi', 'lain', 'bisa']","['halo', 'dana', 'buka', 'alasan', 'jaringan', 'tetatpi']",halo dana buka alas jaring tetatpi,11,positive
Tolong aktifkan pitur DANA CICIL saya,tolong aktifkan pitur dana cicil saya,tolong aktifkan pitur dana cicil saya,"['tolong', 'aktifkan', 'pitur', 'dana', 'cicil', 'saya']","['tolong', 'aktifkan', 'pitur', 'dana', 'cicil']",tolong aktif pitur dana cicil,9,positive
puas banget,puas banget,puas banget,"['puas', 'banget']","['puas', 'banget']",puas banget,4,positive
saya sangat puas dengan pelayanan aplikasinya sangat memuaskn,saya sangat puas dengan pelayanan aplikasinya sangat memuaskn,saya sangat puas dengan pelayanan aplikasinya sangat memuaskn,"['saya', 'sangat', 'puas', 'dengan', 'pelayanan', 'aplikasinya', 'sangat', 'memuaskn']","['puas', 'pelayanan', 'aplikasinya', 'memuaskn']",puas layan aplikasi memuaskn,1,positive
bagus sekali sangat baik,bagus sekali sangat baik,bagus sekali sangat baik,"['bagus', 'sekali', 'sangat', 'baik']",['bagus'],bagus,2,positive
great app,great,great,['great'],['great'],great,3,positive
ok mantap,mantap,mantap,['mantap'],['mantap'],mantap,5,positive
ADA FITUR DANA CICIL TAPI LIMIT RP0 LUCU,fitur dana cicil tapi limit lucu,fitur dana cicil tapi limit lucu,"['fitur', 'dana', 'cicil', 'tapi', 'limit', 'lucu']","['fitur', 'dana', 'cicil', 'limit', 'lucu']",fitur dana cicil limit lucu,7,positive
mntap,mntap,mntap,['mntap'],['mntap'],mntap,0,neutral
knapa akun sya gk bisa masukz saya mencoba untuk masuk jaringan bermasalah Mulu pdahal paketan sama wifi aman aman aja gmn nih tolong di perbaiki lagi ya apk nya susah bnget untuk masuk,knapa akun bisa masukz saya mencoba untuk masuk jaringan bermasalah mulu pdahal paketan sama wifi aman aman tolong perbaiki lagi susah bnget untuk masuk,knapa akun bisa masukz saya mencoba untuk masuk jaringan bermasalah mulu padahal paketan sama wifi aman aman tolong perbaiki lagi susah banget untuk masuk,"['knapa', 'akun', 'bisa', 'masukz', 'saya', 'mencoba', 'untuk', 'masuk', 'jaringan', 'bermasalah', 'mulu', 'padahal', 'paketan', 'sama', 'wifi', 'aman', 'aman', 'tolong', 'perbaiki', 'lagi', 'susah', 'banget', 'untuk', 'masuk']","['knapa', 'akun', 'masukz', 'mencoba', 'masuk', 'jaringan', 'bermasalah', 'mulu', 'paketan', 'wifi', 'aman', 'aman', 'tolong', 'perbaiki', 'susah', 'banget', 'masuk']",knapa akun masukz coba masuk jaring masalah mulu paket wifi aman aman tolong baik susah banget masuk,5,positive
"kirim uang ke rekening malah trouble, 24 jam lg..",kirim uang rekening malah trouble,kirim uang rekening malah trouble,"['kirim', 'uang', 'rekening', 'malah', 'trouble']","['kirim', 'uang', 'rekening', 'trouble']",kirim uang rekening trouble,2,positive
saya kasih bintang lima,saya kasih bintang lima,saya kasih bintang lima,"['saya', 'kasih', 'bintang', 'lima']","['kasih', 'bintang']",kasih bintang,2,positive
Mantap,mantap,mantap,['mantap'],['mantap'],mantap,5,positive
kenapa ga konex.biasanya pas buka masukin no langsung trbuka ini malah kmbali lg..ke awal.dan terus menerus seperti itu🤒🤒,kenapa konexbiasanya buka masukin langsung trbuka malah kmbali lgke awaldan terus menerus seperti,kenapa konexbiasanya buka memasuki langsung trbuka malah kembali lgke awaldan terus menerus seperti,"['kenapa', 'konexbiasanya', 'buka', 'memasuki', 'langsung', 'trbuka', 'malah', 'kembali', 'lgke', 'awaldan', 'terus', 'menerus', 'seperti']","['konexbiasanya', 'buka', 'memasuki', 'langsung', 'trbuka', 'lgke', 'awaldan', 'menerus']",konexbiasanya buka pasuk langsung trbuka lgke awaldan terus,8,positive
ganti hp malah gak bisa masuk padahal no hp sama,ganti malah bisa masuk padahal sama,ganti malah bisa masuk padahal sama,"['ganti', 'malah', 'bisa', 'masuk', 'padahal', 'sama']","['ganti', 'masuk']",ganti masuk,0,neutral
kenapa saya tidak dapat vitur dana cicil,kenapa saya tidak dapat vitur dana cicil,kenapa saya tidak dapat vitur dana cicil,"['kenapa', 'saya', 'tidak', 'dapat', 'vitur', 'dana', 'cicil']","['vitur', 'dana', 'cicil']",vitur dana cicil,4,positive
cepat,cepat,cepat,['cepat'],['cepat'],cepat,3,positive
gk bisa login blk ke awal lg,bisa login awal,bisa login awal,"['bisa', 'login', 'awal']",['login'],login,0,neutral
percuma muncul fitur dana cicil tapi pas di buka blank eror putih doang. payah,percuma muncul fitur dana cicil tapi buka blank eror putih doang payah,percuma muncul fitur dana cicil tapi buka blank eror putih doang payah,"['percuma', 'muncul', 'fitur', 'dana', 'cicil', 'tapi', 'buka', 'blank', 'eror', 'putih', 'doang', 'payah']","['muncul', 'fitur', 'dana', 'cicil', 'buka', 'blank', 'eror', 'putih', 'doang', 'payah']",muncul fitur dana cicil buka blank eror putih doang payah,1,positive
sangat berguna aplikasi dana di gunakan transaksi,sangat berguna aplikasi dana gunakan transaksi,sangat berguna aplikasi dana gunakan transaksi,"['sangat', 'berguna', 'aplikasi', 'dana', 'gunakan', 'transaksi']","['berguna', 'aplikasi', 'dana', 'transaksi']",guna aplikasi dana transaksi,5,positive
saya kok g k bisa buka akun dana saya,saya bisa buka akun dana saya,saya bisa buka akun dana saya,"['saya', 'bisa', 'buka', 'akun', 'dana', 'saya']","['buka', 'akun', 'dana']",buka akun dana,7,positive
siip,siip,sip,['sip'],['sip'],sip,0,neutral
"aplikasi ini bagus banget,, bisa membantu kebutuhan kehidupan.",aplikasi bagus banget bisa membantu kebutuhan kehidupan,aplikasi bagus banget bisa membantu kebutuhan kehidupan,"['aplikasi', 'bagus', 'banget', 'bisa', 'membantu', 'kebutuhan', 'kehidupan']","['aplikasi', 'bagus', 'banget', 'membantu', 'kebutuhan', 'kehidupan']",aplikasi bagus banget bantu butuh hidup,-1,negative
mulculkan dana cicil..saya kasih 5 bintang,mulculkan dana cicilsaya kasih bintang,mulculkan dana cicilsaya kasih bintang,"['mulculkan', 'dana', 'cicilsaya', 'kasih', 'bintang']","['mulculkan', 'dana', 'cicilsaya', 'kasih', 'bintang']",mulculkan dana cicilsaya kasih bintang,6,positive
"masak no sdh gk aktip,mau masuk dana pdhl dh trdaftarr susah bnget gk bisa2 tu gimnn .pdhl msih saldonya didlmnya.msu login gk bisa.",masak aktipmau masuk dana pdhl trdaftarr susah bnget bisa gimnn pdhl msih saldonya didlmnyamsu login bisa,masak aktipmau masuk dana padahal trdaftarr susah banget bisa gimnn padahal masih saldonya didlmnyamsu login bisa,"['masak', 'aktipmau', 'masuk', 'dana', 'padahal', 'trdaftarr', 'susah', 'banget', 'bisa', 'gimnn', 'padahal', 'masih', 'saldonya', 'didlmnyamsu', 'login', 'bisa']","['masak', 'aktipmau', 'masuk', 'dana', 'trdaftarr', 'susah', 'banget', 'gimnn', 'saldonya', 'didlmnyamsu', 'login']",masak aktipmau masuk dana trdaftarr susah banget gimnn saldo didlmnyamsu login,3,positive
payah,payah,payah,['payah'],['payah'],payah,0,neutral
ini kenapa kok udah GK bisa isi coin di TT... pdahal kemarin² masih bisa😭😭,kenapa udah bisa coin pdahal kemarin masih bisa,kenapa sudah bisa coin padahal kemarin masih bisa,"['kenapa', 'sudah', 'bisa', 'coin', 'padahal', 'kemarin', 'masih', 'bisa']","['coin', 'kemarin']",coin kemarin,0,neutral
akun saya tidak bisa transaksi,akun saya tidak bisa transaksi,akun saya tidak bisa transaksi,"['akun', 'saya', 'tidak', 'bisa', 'transaksi']","['akun', 'transaksi']",akun transaksi,4,positive
"aplikasi Dana sangat membantu, semua urusan jd mudah",aplikasi dana sangat membantu semua urusan mudah,aplikasi dana sangat membantu semua urusan mudah,"['aplikasi', 'dana', 'sangat', 'membantu', 'semua', 'urusan', 'mudah']","['aplikasi', 'dana', 'membantu', 'urusan', 'mudah']",aplikasi dana bantu urus mudah,7,positive
apgret nya kelamaa,apgret kelamaa,apgret kelamaa,"['apgret', 'kelamaa']","['apgret', 'kelamaa']",apgret kelamaa,0,neutral
GOOODD,gooodd,gooodd,['gooodd'],['gooodd'],gooodd,0,neutral
good banget dah,good banget,good banget,"['good', 'banget']","['good', 'banget']",good banget,6,positive
"sy ga pernah menggunakan dana cicil, kenapa ada tagihan cicilan yg ga pernah sy lakukan??? konfirmasi ke cs ga ada kejelasan.. !!!",pernah menggunakan dana cicil kenapa tagihan cicilan pernah lakukan konfirmasi kejelasan,pernah menggunakan dana cicil kenapa tagihan cicilan pernah lakukan konfirmasi kejelasan,"['pernah', 'menggunakan', 'dana', 'cicil', 'kenapa', 'tagihan', 'cicilan', 'pernah', 'lakukan', 'konfirmasi', 'kejelasan']","['dana', 'cicil', 'tagihan', 'cicilan', 'lakukan', 'konfirmasi', 'kejelasan']",dana cicil tagih cicil laku konfirmasi jelas,5,positive
"bintang lima biar di atas, aplikasi ini jika sudah digunakan berkali-kali pada akhirnya malah menyedot dana yang kita miliki, padahal gada tagihan atau hutang apapun, mending pake gopay aja lebih amanah, uang saya hilang begitu saja di dana",bintang lima biar atas aplikasi jika sudah digunakan berkalikali pada akhirnya malah menyedot dana yang kita miliki padahal gada tagihan atau hutang apapun mending pake gopay lebih amanah uang saya hilang begitu saja dana,bintang lima biar atas aplikasi jika sudah digunakan berkalikali pada akhirnya malah menyedot dana yang kita miliki padahal tidak ada tagihan atau hutang apapun mending pakai gopay lebih amanah uang saya hilang begitu saja dana,"['bintang', 'lima', 'biar', 'atas', 'aplikasi', 'jika', 'sudah', 'digunakan', 'berkalikali', 'pada', 'akhirnya', 'malah', 'menyedot', 'dana', 'yang', 'kita', 'miliki', 'padahal', 'tidak', 'ada', 'tagihan', 'atau', 'hutang', 'apapun', 'mending', 'pakai', 'gopay', 'lebih', 'amanah', 'uang', 'saya', 'hilang', 'begitu', 'saja', 'dana']","['bintang', 'biar', 'aplikasi', 'berkalikali', 'menyedot', 'dana', 'miliki', 'tagihan', 'hutang', 'apapun', 'mending', 'pakai', 'gopay', 'amanah', 'uang', 'hilang', 'dana']",bintang biar aplikasi berkalikali sedot dana milik tagih hutang apa mending pakai gopay amanah uang hilang dana,5,positive
Nice,nice,nice,['nice'],['nice'],nice,4,positive
mudahnya muantepe poool,mudahnya muantepe poool,mudahnya muantepe pol,"['mudahnya', 'muantepe', 'pol']","['mudahnya', 'muantepe', 'pol']",mudah muantepe pol,1,positive
sangat cepat pengiriman,sangat cepat pengiriman,sangat cepat pengiriman,"['sangat', 'cepat', 'pengiriman']","['cepat', 'pengiriman']",cepat kirim,5,positive
"berjalan lancar,praktis",berjalan lancarpraktis,berjalan lancarpraktis,"['berjalan', 'lancarpraktis']","['berjalan', 'lancarpraktis']",jalan lancarpraktis,0,neutral
bagus kalii inii aplikasi,bagus kalii inii aplikasi,bagus kali ini aplikasi,"['bagus', 'kali', 'ini', 'aplikasi']","['bagus', 'kali', 'aplikasi']",bagus kali aplikasi,-2,negative
menarik,menarik,menarik,['menarik'],['menarik'],tarik,2,positive
aplikasi lemot bgt,aplikasi lemot,aplikasi lemot,"['aplikasi', 'lemot']","['aplikasi', 'lemot']",aplikasi lot,-9,negative
"permisi admin, tolong adain kirim uang nominal Rp.0 dong, harus ada, maksa ini!!!",permisi admin tolong adain kirim uang nominal dong harus maksa,permisi admin tolong mengadakan kirim uang nominal dong harus maksa,"['permisi', 'admin', 'tolong', 'mengadakan', 'kirim', 'uang', 'nominal', 'dong', 'harus', 'maksa']","['permisi', 'admin', 'tolong', 'mengadakan', 'kirim', 'uang', 'nominal', 'maksa']",permisi admin tolong ada kirim uang nominal maksa,4,positive
keren,keren,keren,['keren'],['keren'],keren,0,neutral
emang aplikasi sampah!!!,emang aplikasi sampah,memang aplikasi sampah,"['memang', 'aplikasi', 'sampah']","['aplikasi', 'sampah']",aplikasi sampah,-8,negative
