Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data,score,label
selalu menjadi yang terbaik,selalu menjadi yang terbaik,selalu menjadi yang terbaik,"['selalu', 'menjadi', 'yang', 'terbaik']",['terbaik'],baik,3,positive
sayang banget sama aplikasi satu ini selalu banyak diskonnya makin seneng deh gunain gopay,sayang banget sama aplikasi satu selalu banyak diskonnya makin seneng gunain gopay,sayang banget sama aplikasi satu selalu banyak diskonnya makin senang gunain gopay,"['sayang', 'banget', 'sama', 'aplikasi', 'satu', 'selalu', 'banyak', 'diskonnya', 'makin', 'senang', 'gunain', 'gopay']","['sayang', 'banget', 'aplikasi', 'diskonnya', 'senang', 'gunain', 'gopay']",sayang banget aplikasi diskon senang gunain gopay,7,positive
"Update sekarang, Tiap buka Aplikasi hrs Login,otp nmr,verifikasi Wajah. sangat merepotkan, klu demi keaman ga segitunya kali.. baru kali ini dapat aplikasi tiap di buka minta login ulang..",update sekarang tiap buka aplikasi loginotp nmrverifikasi wajah sangat merepotkan demi keaman segitunya kali baru kali dapat aplikasi tiap buka minta login ulang,update sekarang tiap buka aplikasi loginotp nmrverifikasi wajah sangat merepotkan demi keaman sebegitunya kali baru kali dapat aplikasi tiap buka meminta login ulang,"['update', 'sekarang', 'tiap', 'buka', 'aplikasi', 'loginotp', 'nmrverifikasi', 'wajah', 'sangat', 'merepotkan', 'demi', 'keaman', 'sebegitunya', 'kali', 'baru', 'kali', 'dapat', 'aplikasi', 'tiap', 'buka', 'meminta', 'login', 'ulang']","['update', 'buka', 'aplikasi', 'loginotp', 'nmrverifikasi', 'wajah', 'merepotkan', 'keaman', 'sebegitunya', 'kali', 'kali', 'aplikasi', 'buka', 'login', 'ulang']",update buka aplikasi loginotp nmrverifikasi wajah repot aman begitu kali kali aplikasi buka login ulang,-7,negative
top up murah sekali,murah sekali,murah sekali,"['murah', 'sekali']",['murah'],murah,3,positive
sangat membantu dan sangat mudah mantul dah,sangat membantu sangat mudah mantul,sangat membantu sangat mudah mantul,"['sangat', 'membantu', 'sangat', 'mudah', 'mantul']","['membantu', 'mudah', 'mantul']",bantu mudah mantul,7,positive
Aplikasi Cocok Buat Kebutuhan dan Transaksi Lebih Mudah dan Aman di Pake,aplikasi cocok buat kebutuhan transaksi lebih mudah aman pake,aplikasi cocok buat kebutuhan transaksi lebih mudah aman pakai,"['aplikasi', 'cocok', 'buat', 'kebutuhan', 'transaksi', 'lebih', 'mudah', 'aman', 'pakai']","['aplikasi', 'cocok', 'kebutuhan', 'transaksi', 'mudah', 'aman', 'pakai']",aplikasi cocok butuh transaksi mudah aman pakai,3,positive
gopey Aman dan terpercaya terimakasih,gopey aman terpercaya terimakasih,gopey aman terpercaya terimakasih,"['gopey', 'aman', 'terpercaya', 'terimakasih']","['gopey', 'aman', 'terpercaya', 'terimakasih']",gopey aman percaya terimakasih,7,positive
"KALAU PUNYA VOUCHER CASHBACK UNTUK GAME ITU YANG BENAR GAUSAH MENIPU., MERUGIKAN USAHA ORANG!!! Udah lebih dari 1x saya kena tipu voucher cashback topup game.Di transaksi pertama saya ga ada masuk masuk dana pengembalian nya,katanya salah jadwal jam lah harus di kisaran jam 15.00 sampai 16.00,sedangkan di keterangan voucher dan syarat berlaku voucher tidak ada dijelaskan hal ini. Disaat transaksi kedua juga mengalami hal yang sama padahal udah mengikuti semua aturan dan jam nya yang benar!!!!!!",kalau punya voucher cashback untuk game yang benar gausah menipu merugikan usaha orang udah lebih dari saya kena tipu voucher cashback topup gamedi transaksi pertama saya masuk masuk dana pengembalian nyakatanya salah jadwal harus kisaran  sampai sedangkan keterangan voucher syarat berlaku voucher tidak dijelaskan disaat transaksi kedua juga mengalami yang sama padahal udah mengikuti semua aturan yang benar,kalau punya voucher cashback untuk game yang benar tidak usah menipu merugikan usaha orang sudah lebih dari saya kena tipu voucher cashback topup gamedi transaksi pertama saya masuk masuk dana pengembalian nyakatanya salah jadwal harus kisaran sampai sedangkan keterangan voucher syarat berlaku voucher tidak dijelaskan disaat transaksi kedua juga mengalami yang sama padahal sudah mengikuti semua aturan yang benar,"['kalau', 'punya', 'voucher', 'cashback', 'untuk', 'game', 'yang', 'benar', 'tidak', 'usah', 'menipu', 'merugikan', 'usaha', 'orang', 'sudah', 'lebih', 'dari', 'saya', 'kena', 'tipu', 'voucher', 'cashback', 'topup', 'gamedi', 'transaksi', 'pertama', 'saya', 'masuk', 'masuk', 'dana', 'pengembalian', 'nyakatanya', 'salah', 'jadwal', 'harus', 'kisaran', 'sampai', 'sedangkan', 'keterangan', 'voucher', 'syarat', 'berlaku', 'voucher', 'tidak', 'dijelaskan', 'disaat', 'transaksi', 'kedua', 'juga', 'mengalami', 'yang', 'sama', 'padahal', 'sudah', 'mengikuti', 'semua', 'aturan', 'yang', 'benar']","['voucher', 'cashback', 'game', 'menipu', 'merugikan', 'usaha', 'orang', 'kena', 'tipu', 'voucher', 'cashback', 'topup', 'gamedi', 'transaksi', 'masuk', 'masuk', 'dana', 'pengembalian', 'nyakatanya', 'salah', 'jadwal', 'kisaran', 'keterangan', 'voucher', 'syarat', 'berlaku', 'voucher', 'disaat', 'transaksi', 'mengalami', 'mengikuti', 'aturan']",voucher cashback game tipu rugi usaha orang kena tipu voucher cashback topup gamedi transaksi masuk masuk dana kembali nyakatanya salah jadwal kisar terang voucher syarat laku voucher saat transaksi alami ikut atur,9,positive
bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget,3,positive
puas,puas,puas,['puas'],['puas'],puas,3,positive
keren,keren,keren,['keren'],['keren'],keren,0,neutral
oke mantap,mantap,mantap,['mantap'],['mantap'],mantap,5,positive
good,good,good,['good'],['good'],good,5,positive
berguna,berguna,berguna,['berguna'],['berguna'],guna,1,positive
tetap selalu berkembang,tetap selalu berkembang,tetap selalu berkembang,"['tetap', 'selalu', 'berkembang']",['berkembang'],kembang,3,positive
apk gopay mantap,gopay mantap,gopay mantap,"['gopay', 'mantap']","['gopay', 'mantap']",gopay mantap,5,positive
Bagus ga ribet,bagus ribet,bagus ribet,"['bagus', 'ribet']","['bagus', 'ribet']",bagus ribet,-2,negative
Koin tidak bisa di pakai,koin tidak bisa pakai,koin tidak bisa pakai,"['koin', 'tidak', 'bisa', 'pakai']","['koin', 'pakai']",koin pakai,0,neutral
sangat bagus YGY,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],bagus,2,positive
praktis ngga ribet dan baik hati🤗🤗🤗,praktis ngga ribet baik hati,praktis tidak ribet baik hati,"['praktis', 'tidak', 'ribet', 'baik', 'hati']","['praktis', 'ribet', 'hati']",praktis ribet hati,2,positive
mantap aplikasi ya,mantap aplikasi,mantap aplikasi,"['mantap', 'aplikasi']","['mantap', 'aplikasi']",mantap aplikasi,1,positive
donlot dah,donlot,donlot,['donlot'],['donlot'],donlot,0,neutral
"Gopay oh gopay ini makin kesini koq makin kesana yaaa, sekarang saya mau beli pulsa ataupun paket data, transfer duit ke bank lain, VC, top up dan kesemua akses tidak bisa. kenapa sih ! Jadi menyebalkan. Saya coba uninstal dan dowmload kembali pas masukin no hp dia bilang bermasalah, padahal saldo saya masih banyak didalamnya. Tolonglah admin perbaiki lagi sistemmu yg sering eror dan amburadul, lama2 gw banting juga nih hp.",gopay gopay makin kesini makin kesana yaaa sekarang saya beli pulsa ataupun paket data transfer duit bank lain kesemua akses tidak bisa kenapa jadi menyebalkan saya coba uninstal dowmload kembali masukin bilang bermasalah padahal saldo saya masih banyak didalamnya tolonglah admin perbaiki lagi sistemmu sering eror amburadul lama banting juga,gopay gopay makin kesini makin kesana ya sekarang saya beli pulsa ataupun paket data transfer duit bank lain kesemua akses tidak bisa kenapa jadi menyebalkan saya coba uninstal dowmload kembali memasuki bilang bermasalah padahal saldo saya masih banyak didalamnya tolonglah admin perbaiki lagi sistemmu sering eror amburadul lama banting juga,"['gopay', 'gopay', 'makin', 'kesini', 'makin', 'kesana', 'ya', 'sekarang', 'saya', 'beli', 'pulsa', 'ataupun', 'paket', 'data', 'transfer', 'duit', 'bank', 'lain', 'kesemua', 'akses', 'tidak', 'bisa', 'kenapa', 'jadi', 'menyebalkan', 'saya', 'coba', 'uninstal', 'dowmload', 'kembali', 'memasuki', 'bilang', 'bermasalah', 'padahal', 'saldo', 'saya', 'masih', 'banyak', 'didalamnya', 'tolonglah', 'admin', 'perbaiki', 'lagi', 'sistemmu', 'sering', 'eror', 'amburadul', 'lama', 'banting', 'juga']","['gopay', 'gopay', 'kesini', 'kesana', 'ya', 'beli', 'pulsa', 'paket', 'data', 'transfer', 'duit', 'bank', 'kesemua', 'akses', 'menyebalkan', 'coba', 'uninstal', 'dowmload', 'memasuki', 'bilang', 'bermasalah', 'saldo', 'didalamnya', 'tolonglah', 'admin', 'perbaiki', 'sistemmu', 'eror', 'amburadul', 'banting']",gopay gopay kesini kesana ya beli pulsa paket data transfer duit bank semua akses sebal coba uninstal dowmload pasuk bilang masalah saldo dalam tolong admin baik sistem eror amburadul banting,2,positive
Bagus banget udh gitu gampang loginnya,bagus banget gitu gampang loginnya,bagus banget begitu gampang loginnya,"['bagus', 'banget', 'begitu', 'gampang', 'loginnya']","['bagus', 'banget', 'gampang', 'loginnya']",bagus banget gampang loginnya,7,positive
lelet banget bikin emosi,lelet banget bikin emosi,lelet banget bikin emosi,"['lelet', 'banget', 'bikin', 'emosi']","['lelet', 'banget', 'bikin', 'emosi']",lelet banget bikin emosi,4,positive
Bagus,bagus,bagus,['bagus'],['bagus'],bagus,2,positive
the best wallet,best wallet,best wallet,"['best', 'wallet']","['best', 'wallet']",best wallet,0,neutral
terima kasih developer nya jadi happy🎉,terima kasih developer jadi happy,terima kasih developer jadi happy,"['terima', 'kasih', 'developer', 'jadi', 'happy']","['terima', 'kasih', 'developer', 'happy']",terima kasih developer happy,9,positive
aplikasi ga jelas...isi pulsa muncul notif gopulsa error. Gimana nih admin gopay?,aplikasi jelasisi pulsa muncul notif gopulsa error gimana admin gopay,aplikasi jelasisi pulsa muncul notif gopulsa error bagaimana admin gopay,"['aplikasi', 'jelasisi', 'pulsa', 'muncul', 'notif', 'gopulsa', 'error', 'bagaimana', 'admin', 'gopay']","['aplikasi', 'jelasisi', 'pulsa', 'muncul', 'notif', 'gopulsa', 'error', 'admin', 'gopay']",aplikasi jelasisi pulsa muncul notif gopulsa error admin gopay,-11,negative
"baru kali ini sy kecewa dengan gopay karena sampai saat ini sy transfer ke teman belum di sampai dan saldo sy sudah terpotong. laporan ga ada tanggapan dan jawaban,nyesel knp ga pakai mbanking huft...",baru kali kecewa dengan gopay karena sampai saat transfer teman belum sampai saldo sudah terpotong laporan tanggapan jawabannyesel pakai mbanking huft,baru kali kecewa dengan gopay karena sampai saat transfer teman belum sampai saldo sudah terpotong laporan tanggapan jawabannyesel pakai mbanking huft,"['baru', 'kali', 'kecewa', 'dengan', 'gopay', 'karena', 'sampai', 'saat', 'transfer', 'teman', 'belum', 'sampai', 'saldo', 'sudah', 'terpotong', 'laporan', 'tanggapan', 'jawabannyesel', 'pakai', 'mbanking', 'huft']","['kali', 'kecewa', 'gopay', 'transfer', 'teman', 'saldo', 'terpotong', 'laporan', 'tanggapan', 'jawabannyesel', 'pakai', 'mbanking', 'huft']",kali kecewa gopay transfer teman saldo potong lapor tanggap jawabannyesel pakai mbanking huft,5,positive
"bagaimana cara nya lihat kode referal tolong di bantu untuk hp redmi ram 3,,",bagaimana cara lihat kode referal tolong bantu untuk redmi,bagaimana cara lihat kode referal tolong bantu untuk redmi,"['bagaimana', 'cara', 'lihat', 'kode', 'referal', 'tolong', 'bantu', 'untuk', 'redmi']","['lihat', 'kode', 'referal', 'tolong', 'bantu', 'redmi']",lihat kode referal tolong bantu redmi,6,positive
bagus semoga amanah,bagus semoga amanah,bagus semoga amanah,"['bagus', 'semoga', 'amanah']","['bagus', 'semoga', 'amanah']",bagus moga amanah,8,positive
Mulai instal gopay gara2 bisa nonton anime,mulai instal gopay gara bisa nonton anime,mulai instal gopay gara bisa menonton anime,"['mulai', 'instal', 'gopay', 'gara', 'bisa', 'menonton', 'anime']","['instal', 'gopay', 'gara', 'menonton', 'anime']",instal gopay gara tonton anime,-8,negative
goooddd,goooddd,goooddd,['goooddd'],['goooddd'],goooddd,0,neutral
baru pertama kali,baru pertama kali,baru pertama kali,"['baru', 'pertama', 'kali']",['kali'],kali,0,neutral
"terimakasih atas perbaikan nya, semoga Gopay dsn go to tetap jaya 💪💪💪💪❤️❤️❤️",terimakasih atas perbaikan semoga gopay tetap jaya,terimakasih atas perbaikan semoga gopay tetap jaya,"['terimakasih', 'atas', 'perbaikan', 'semoga', 'gopay', 'tetap', 'jaya']","['terimakasih', 'perbaikan', 'semoga', 'gopay', 'jaya']",terimakasih baik moga gopay jaya,13,positive
gopay dperbarui malah gk bisa buat transfer menjengkelkan,gopay dperbarui malah bisa buat transfer menjengkelkan,gopay dperbarui malah bisa buat transfer menjengkelkan,"['gopay', 'dperbarui', 'malah', 'bisa', 'buat', 'transfer', 'menjengkelkan']","['gopay', 'dperbarui', 'transfer', 'menjengkelkan']",gopay dperbarui transfer jengkel,-4,negative
ok banget,banget,banget,['banget'],['banget'],banget,1,positive
kecewa sih bikin promo kek apa banget,kecewa bikin promo banget,kecewa bikin promo banget,"['kecewa', 'bikin', 'promo', 'banget']","['kecewa', 'bikin', 'promo', 'banget']",kecewa bikin promo banget,4,positive
"aplikasi yang sangat membantu,mudah dan murah,,tetapi kalau bisa ditambahin dong fitur emas digital,biar tidak kalah sama kompetitor sebelah,!!",aplikasi yang sangat membantumudah murahtetapi kalau bisa ditambahin dong fitur emas digitalbiar tidak kalah sama kompetitor sebelah,aplikasi yang sangat membantumudah murahtetapi kalau bisa ditambahin dong fitur emas digitalbiar tidak kalah sama kompetitor sebelah,"['aplikasi', 'yang', 'sangat', 'membantumudah', 'murahtetapi', 'kalau', 'bisa', 'ditambahin', 'dong', 'fitur', 'emas', 'digitalbiar', 'tidak', 'kalah', 'sama', 'kompetitor', 'sebelah']","['aplikasi', 'membantumudah', 'murahtetapi', 'ditambahin', 'fitur', 'emas', 'digitalbiar', 'kalah', 'kompetitor', 'sebelah']",aplikasi membantumudah murahtetapi ditambahin fitur emas digitalbiar kalah kompetitor belah,-13,negative
ko mau kirim masih ga bisa,kirim masih bisa,kirim masih bisa,"['kirim', 'masih', 'bisa']",['kirim'],kirim,2,positive
senang deh pake gopay,senang pake gopay,senang pakai gopay,"['senang', 'pakai', 'gopay']","['senang', 'pakai', 'gopay']",senang pakai gopay,5,positive
mantap bnyak bonus dan murah lagi,mantap bnyak bonus murah lagi,mantap banyak bonus murah lagi,"['mantap', 'banyak', 'bonus', 'murah', 'lagi']","['mantap', 'bonus', 'murah']",mantap bonus murah,12,positive
tambah keren,tambah keren,tambah keren,"['tambah', 'keren']",['keren'],keren,0,neutral
bagus banget buat beli robux jadi gampang,bagus banget buat beli robux jadi gampang,bagus banget buat beli robux jadi gampang,"['bagus', 'banget', 'buat', 'beli', 'robux', 'jadi', 'gampang']","['bagus', 'banget', 'beli', 'robux', 'gampang']",bagus banget beli robux gampang,9,positive
murah,murah,murah,['murah'],['murah'],murah,3,positive
bagus bgt,bagus,bagus,['bagus'],['bagus'],bagus,2,positive
"udah update versi terbaru masih aja lemot, lelet ga jelas padahal sinyal bagus👎",udah update versi terbaru masih lemot lelet jelas padahal sinyal bagus,sudah update versi terbaru masih lemot lelet jelas padahal sinyal bagus,"['sudah', 'update', 'versi', 'terbaru', 'masih', 'lemot', 'lelet', 'jelas', 'padahal', 'sinyal', 'bagus']","['update', 'versi', 'terbaru', 'lemot', 'lelet', 'sinyal', 'bagus']",update versi baru lot lelet sinyal bagus,-3,negative
sangat bagus tapi kalo ada hadiah uang 1 hari lebih bagus,sangat bagus tapi kalo hadiah uang hari lebih bagus,sangat bagus tapi kalau hadiah uang hari lebih bagus,"['sangat', 'bagus', 'tapi', 'kalau', 'hadiah', 'uang', 'hari', 'lebih', 'bagus']","['bagus', 'hadiah', 'uang', 'bagus']",bagus hadiah uang bagus,8,positive
apk apaan ini gw spin yg kyk gitu mau berenti di 10jt gopay coin mlh berenti di 20 gopay coin,apaan spin gitu berenti jt gopay coin berenti gopay coin,apaan spin begitu berenti juta gopay coin berenti gopay coin,"['apaan', 'spin', 'begitu', 'berenti', 'juta', 'gopay', 'coin', 'berenti', 'gopay', 'coin']","['spin', 'berenti', 'juta', 'gopay', 'coin', 'berenti', 'gopay', 'coin']",spin renti juta gopay coin renti gopay coin,-4,negative
joss,joss,joss,['joss'],['joss'],joss,0,neutral
bagus jadi mudah transaksi,bagus jadi mudah transaksi,bagus jadi mudah transaksi,"['bagus', 'jadi', 'mudah', 'transaksi']","['bagus', 'mudah', 'transaksi']",bagus mudah transaksi,10,positive
terimakasih sangat membantu,terimakasih sangat membantu,terimakasih sangat membantu,"['terimakasih', 'sangat', 'membantu']","['terimakasih', 'membantu']",terimakasih bantu,8,positive
aplikasi keren. mudah digunakan praktis,aplikasi keren mudah digunakan praktis,aplikasi keren mudah digunakan praktis,"['aplikasi', 'keren', 'mudah', 'digunakan', 'praktis']","['aplikasi', 'keren', 'mudah', 'praktis']",aplikasi keren mudah praktis,4,positive
"aneh, nawarin promo, promonya aja gak ada sistemnya tolong diperbaiki",aneh nawarin promo promonya sistemnya tolong diperbaiki,aneh menawari promo promonya sistemnya tolong diperbaiki,"['aneh', 'menawari', 'promo', 'promonya', 'sistemnya', 'tolong', 'diperbaiki']","['aneh', 'menawari', 'promo', 'promonya', 'sistemnya', 'tolong', 'diperbaiki']",aneh tawar promo promonya sistem tolong baik,5,positive
GOPAY OK LAH..,gopay,gopay,['gopay'],['gopay'],gopay,0,neutral
baguss bangett gopayy bisa menangin kuota dengan 1perak,baguss bangett gopayy bisa menangin kuota dengan perak,bagus banget gopayy bisa menangin kuota dengan perak,"['bagus', 'banget', 'gopayy', 'bisa', 'menangin', 'kuota', 'dengan', 'perak']","['bagus', 'banget', 'gopayy', 'menangin', 'kuota', 'perak']",bagus banget gopayy menangin kuota perak,2,positive
uji coba dlu👍🙏,coba,coba,['coba'],['coba'],coba,2,positive
saya sebenarnya mengasih bintang 5 itu sedang ngelek,saya sebenarnya mengasih bintang sedang ngelek,saya sebenarnya mengasih bintang sedang ngelek,"['saya', 'sebenarnya', 'mengasih', 'bintang', 'sedang', 'ngelek']","['mengasih', 'bintang', 'ngelek']",asih bintang ngelek,3,positive
aplikasi yg bagus dan keren,aplikasi bagus keren,aplikasi bagus keren,"['aplikasi', 'bagus', 'keren']","['aplikasi', 'bagus', 'keren']",aplikasi bagus keren,-2,negative
kreeen,kreeen,kreeen,['kreeen'],['kreeen'],kreeen,0,neutral
